Genbank Accession,Organism,Phylm,Bacteria or Archaea,Genome Length (nt),Chromosomes/plasmids,GC Content,Coding Length (nt),Coding GC Content,Effective Number of Codons,Effective Number of Codons Corrected for CG Content,Total Genes,Coding Genes,rRNA 5S,rRNA 16S,rRNA 23S,tRNAs,Isolation Source,Host,Country
NC_015942,Acidithiobacillus ferrivorans SS3,Proteobacteria,Bacteria,3207552,1,0.565943124,2827222,0.574116217,57.6423,52.0916,3140,2990,2,2,2,48, , ,Russia
NC_011761,Acidithiobacillus ferrooxidans ATCC 23270,Proteobacteria,Bacteria,2982397,1,0.587724572,2663052,0.59473604,55.2547,43.4643,3030,2894,2,2,2,79, , , 
NC_012483,Acidobacterium capsulatum ATCC 51196,Acidobacteria,Bacteria,4127356,1,0.604970107,3619872,0.6113346,53.689,32.9097,3396,3281,1,1,1,45, , , 
NC_008578,Acidothermus cellulolyticus 11B,Actinobacteria,Bacteria,2443540,1,0.669073557,2152084,0.667651449,51.516,39.1057,2217,2083,1,1,1,46, , , 
NC_015138,Acidovorax avenae subsp. avenae ATCC 19860,Proteobacteria,Bacteria,5482170,1,0.688210143,4904079,0.695128688,47.8794,29.7166,4749,4632,3,3,3,52,maize leaf, ,USA
NC_011992,Acidovorax ebreus TPSY,Proteobacteria,Bacteria,3796573,1,0.668339842,3403684,0.675431386,52.9287,33.2954,3546,3423,3,3,3,53, , , 
NZ_CP016447,Acidovorax sp. RAC01,Proteobacteria,Bacteria,4574859,1,0.652893783,3951935,0.659014382,50.7923,24.83,4084,3968,3,3,3,53,Algal phycosphere, ,USA: WA: Seattle
NC_013926,Aciduliprofundum boonei T469,Euryarchaeota,Archaea,1486778,1,0.391579644,1408032,0.393863918,50.553,53.7515,1568,1516,1,1,1,44,,,
NC_019942,Aciduliprofundum sp. MAR08-339,Euryarchaeota,Archaea,1437090,1,0.441294561,1353862,0.444950076,55.4178,50.9623,1541,1482,1,1,1,45,,,
NZ_CP009257,Acinetobacter baumannii,Proteobacteria,Bacteria,4335793,1,0.390410243,3796042,0.400000053,55.658,56.6756,4336,4155,6,6,6,73,Hospital,Homo sapiens,Canada: Winnipeg
NZ_CP012808,Acinetobacter equi,Proteobacteria,Bacteria,3054269,1,0.348926372,2558580,0.360401082,39.8556,28.9872,2876,2707,7,7,7,87,horse dung,horse,Germany:Minsleben
NZ_CP010350,Acinetobacter johnsonii XBB1,Proteobacteria,Bacteria,4081329,9,0.410940407,3362208,0.422138369,49.0017,44.0563,3990,3681,7,7,7,83,Hospital sewage, ,China: Chengdu
NZ_CP019041,Acinetobacter junii,Proteobacteria,Bacteria,3378307,1,0.386366899,2965064,0.394589122,54.7193,56.6627,3248,3003,6,6,6,74,limnetic water, ,Russia: Novosibirsk region
NC_016603,Acinetobacter pittii PHEA-2,Proteobacteria,Bacteria,3862530,1,0.38824035,3378033,0.399946951,45.6092,36.4034, , , ,,, , , , 
NZ_CP016896,Acinetobacter soli,Proteobacteria,Bacteria,3636349,8,0.428297724,3206597,0.438878038,56.2772,54.3755,3453,3310,7,7,7,75,soil, ,Thailand
NC_009053,Actinobacillus pleuropneumoniae serovar 5b str. L20,Proteobacteria,Bacteria,2274482,1,0.412995135,2005707,0.422313927,53.0647,50.4492,2166,2035,7,3,6,62, , , 
NC_009655,Actinobacillus succinogenes 130Z,Proteobacteria,Bacteria,2319663,1,0.449185938,2052677,0.458867615,53.5564,53.1697,2188,2084,7,6,6,59, , , 
NZ_CP011489,Actinobacteria bacterium IMCC26256,Actinobacteria,Bacteria,2461858,1,0.554493395,2245998,0.556448403,54.8391,52.5986,2324,2233,1,1,1,45,freshwater, ,South Korea: Lake Soyang
NZ_CP012072,Actinomyces meyeri,Actinobacteria,Bacteria,2049088,1,0.655099732,1799860,0.66063416,51.7641,37.9081,1779,1682,3,3,3,47,curette,Homo sapiens,United Kingdom: London
NZ_CP014232,Actinomyces oris,Actinobacteria,Bacteria,3042917,1,0.68458259,2575058,0.693597969,43.7202,31.3007,2459,2336,3,3,3,50,curette,homo sapiens,"USA: Boston, MA"
NC_022657,Actinoplanes friuliensis DSM 7358,Actinobacteria,Bacteria,9376071,1,0.703550773,8393613,0.707996664,42.9295,29.9407,8617,8405,3,3,3,68, , , 
NC_017093,Actinoplanes missouriensis 431,Actinobacteria,Bacteria,8773466,1,0.708230818,7826487,0.712875266,46.1267,36.3361,8012,7804,6,6,6,58, , , 
NC_021191,Actinoplanes sp. N902-109,Actinobacteria,Bacteria,9228054,1,0.713110803,8191838,0.716880632,43.2122,60.0844,7945,7729,4,4,4,59, , , 
NC_017803,Actinoplanes sp. SE50,Actinobacteria,Bacteria,9239851,1,0.713172323,8032020,0.718128067,47.3708,39.6003,8197,7930,6,6,6,98, , , 
NC_013093,Actinosynnema mirum DSM 43827,Actinobacteria,Bacteria,8248144,1,0.737088732,7149681,0.740330513,42.9679,59.5246,7026,6824,4,5,4,59, , , 
NZ_CP008802,Actinotignum schaalii,Actinobacteria,Bacteria,2159306,1,0.621918339,1856611,0.62717015,54.4196,47.463,1781,1672,3,3,3,46, ,Homo sapiens,Sweden: Kristianstad
NC_022567,Adlercreutzia equolifaciens DSM 19450,Actinobacteria,Bacteria,2862526,1,0.634592664,2477903,0.643736256,52.3607,41.5268,2313,2214,2,2,2,48, , , 
NZ_CP003915,Advenella mimigardefordensis DPN7,Proteobacteria,Bacteria,4764126,2,0.542222855,4165971,0.551754921,57.4292,52.9489,4374,4228,2,2,2,40, , , 
NC_018013,Aequorivita sublithincola DSM 14238,Bacteroidetes,Bacteria,3520671,1,0.361912545,3155283,0.368904152,55.2111,57.3756,3196,3126,2,2,2,36,sea water, , 
NZ_CP014161,Aerococcus urinae,Firmicutes,Bacteria,1974262,1,0.425950558,1708124,0.435500584,57.219,58.0923,1802,1714,4,4,4,60,Human urine,Homo sapiens,Denmark: Copenhagen
NZ_CP014164,Aerococcus viridans,Firmicutes,Bacteria,2199877,1,0.39375656,1823343,0.402108106,56.3526,54.8475,2051,1914,7,7,7,55,Air sample, ,United Kingdom: London
NC_008570,Aeromonas hydrophila subsp. hydrophila ATCC 7966,Proteobacteria,Bacteria,4744448,1,0.615484035,4152465,0.628097528,37.1996,15.0753, , , ,,, , , , 
NC_004923,Aeromonas salmonicida subsp. salmonicida A449,Proteobacteria,Bacteria,5040536,6,0.581809554,4290219,0.596183785,53.5801,43.0509,4690,4325,10,9,9,109, , , 
NZ_CP012504,Aeromonas veronii,Proteobacteria,Bacteria,4923009,1,0.582628835,4222826,0.596973449,55.693,47.3789,4523,4279,12,10,10,120, ,Pelteobagrus fulvidraco,China: Zhongguan Village
NZ_CP013021,Agarivorans gilvus,Proteobacteria,Bacteria,4416600,1,0.459598786,3630852,0.466275133,51.7278,40.7067,4225,3901,8,7,7,91,water, ,China: the shallow coastal region of Weihai
NZ_CP012959,Aggregatibacter actinomycetemcomitans,Proteobacteria,Bacteria,2367908,1,0.44227225,2058816,0.452472198,55.2956,53.7482,2307,2163,7,6,6,54, , , 
NZ_CP012067,Aggregatibacter aphrophilus,Proteobacteria,Bacteria,2414427,1,0.423389897,2131346,0.432141004,56.0233,55.2093,2227,2113,7,6,6,57,curette,Homo sapiens,United Kingdom: London
NC_003062,Agrobacterium fabrum str. C58,Proteobacteria,Bacteria,5674258,4,0.590411469,5004747,0.598232438,43.855,15.8861, , , ,,, , , , 
NC_011989,Agrobacterium vitis S4,Proteobacteria,Bacteria,6320946,7,0.574707488,5488166,0.584710812,54.9931,43.5724,5768,5549,4,4,4,54, ,Vitis vinifera cv. 'Izsaki Sarfeher',Hungary: Orgovany
NC_010655,Akkermansia muciniphila ATCC BAA-835,Verrucomicrobia,Bacteria,2664102,1,0.557623544,2349634,0.567217703,52.8341,42.1202,2317,2220,3,3,3,52, , , 
NZ_CP013119,Alcaligenes faecalis,Proteobacteria,Bacteria,4248684,2,0.568345297,3740412,0.577359125,45.4417,24.9576,3846,3753,3,3,3,57, ,nematode,"China: Wuhan, Hubei"
NC_008260,Alcanivorax borkumensis SK2,Proteobacteria,Bacteria,3120143,1,0.547277801,2724019,0.552710903,58.1817,55.1853,2817,2744,3,3,3,42, , , 
NC_018691,Alcanivorax dieselolei B5,Proteobacteria,Bacteria,4928223,1,0.616315658,4389486,0.623618574,46.4727,31.4638,4424,4333,2,2,2,42, , , 
NZ_CP004387,Alcanivorax pacificus W11-5,Proteobacteria,Bacteria,4168427,1,0.625984964,3702452,0.632539634,49.4552,36.8226,3727,3627,2,2,2,46, , ,Pacific Ocean
NZ_CP012898,Algibacter alginolytica,Bacteroidetes,Bacteria,3994770,1,0.31801155,3567747,0.325674999,42.6023,33.0843,3334,3256,2,2,2,40,seawater, ,"China: Zhoushan islands, East China Sea"
NC_015422,Alicycliphilus denitrificans K601,Proteobacteria,Bacteria,5070751,2,0.678975757,4599127,0.687310005,46.6532,28.2254,4792,4660,3,3,3,54,anaerobic sewer sludge, ,Germany
NC_013205,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,Firmicutes,Bacteria,3205686,4,0.61892088,2790863,0.627495509,52.4166,28.444,3101,2972,6,6,6,64, , , 
NC_011312,Aliivibrio salmonicida LFI1238,Proteobacteria,Bacteria,4655660,6,0.389692415,4025999,0.396420217,55.824,55.9199,4436,4020,13,12,12,104,Atlantic cod, ,Norway:Hammerfest
NZ_LN554846,Aliivibrio wodanis,Proteobacteria,Bacteria,4635126,6,0.384772363,4029125,0.392125089,56.2508,57.4532,4201,3976,8,7,6,89, , , 
NC_018011,Alistipes finegoldii DSM 17242,Bacteroidetes,Bacteria,3734239,1,0.566457316,3285675,0.579562495,52.9654,43.6862,3225,3083,2,2,2,48,appendix tissue,Homo sapiens, 
NC_008340,Alkalilimnicola ehrlichii MLHE-1,Proteobacteria,Bacteria,3275944,1,0.675312521,2917222,0.679592091,44.1136,31.9343,2912,2814,2,2,2,48, , , 
NC_009633,Alkaliphilus metalliredigens QYMF,Firmicutes,Bacteria,4929566,1,0.368220245,4123254,0.374257079,50.5258,52.1296,4801,4576,11,10,10,104, , , 
NC_009922,Alkaliphilus oremlandii OhILAs,Firmicutes,Bacteria,3123558,1,0.362573066,2650315,0.370429553,52.6675,57.1065,3016,2878,9,8,8,86, , , 
NC_013851,Allochromatium vinosum DSM 180,Proteobacteria,Bacteria,3669074,3,0.641861407,3257533,0.651252957,47.9443,25.3689,3262,3148,3,3,3,50, , , 
NZ_CP010427,Allofrancisella guangzhouensis,Proteobacteria,Bacteria,1661527,2,0.319905123,1496396,0.324750267,44.7501,39.8129,1551,1485,4,3,3,38, , , 
NC_018643,alpha proteobacterium HIMB5,Proteobacteria,Bacteria,1343202,1,0.286318811,1294686,0.287383196,43.7855,46.2676,1432,1378,1,1,1,32, , , 
NC_018644,alpha proteobacterium HIMB59,Proteobacteria,Bacteria,1410127,1,0.322633351,1356335,0.323602945,49.0747,46.6383,1512,1467,1,1,1,35, , , 
NZ_CP011452,Altererythrobacter atlanticus,Proteobacteria,Bacteria,3475106,2,0.619104568,3150418,0.622165376,52.7284,41.7539,3270,3145,2,2,2,47,North Atlantic Rise deep-sea sediment, , 
NZ_CP011805,Altererythrobacter marensis,Proteobacteria,Bacteria,2885033,1,0.646540611,2638361,0.649170451,50.1115,36.6513,2721,2644,1,1,1,45,seawater, ,South Korea: Jeju
NZ_CP008849,Alteromonas australica,Proteobacteria,Bacteria,4308833,1,0.449302862,3837822,0.455183435,57.9476,58.1616,3760,3659,5,5,5,56,Sea water, ,Tasman Sea
NC_018632,Alteromonas macleodii ATCC 27126,Proteobacteria,Bacteria,4653851,1,0.447086295,4103255,0.454542796,58.0353,57.7758,3950,3792,6,5,5,52,seawater surface, ,Pacific Ocean: near Hawaii
NZ_CP013926,Alteromonas stellipolaris,Proteobacteria,Bacteria,4904192,2,0.435182799,4309676,0.442062698,56.7724,56.0917,4192,4077,5,5,5,57,seawater, ,Antarctica
NC_014011,Aminobacterium colombiense DSM 12261,Synergistetes,Bacteria,1980592,1,0.453068577,1809346,0.457401183,57.939,57.6063,1945,1874,3,3,3,47, , ,Colombia
NC_013385,Ammonifex degensii KC4,Firmicutes,Bacteria,2157067,2,0.594651441,1953987,0.599531624,56.1376,52.4426,2214,2112,2,2,2,48, , , 
NC_018704,Amphibacillus xylanus NBRC 15112,Firmicutes,Bacteria,2569486,1,0.357182721,2171273,0.362272731,52.6755,54.5396,2421,2312,6,6,6,55, , , 
NZ_CP008953,Amycolatopsis japonica,Actinobacteria,Bacteria,9053857,2,0.688852276,8172184,0.69492892,47.5434,33.0955,8459,8316,4,4,4,54,soil, ,Japan
NC_014318,Amycolatopsis mediterranei U32,Actinobacteria,Bacteria,10236715,1,0.712927927,9136554,0.71812042,31.2152,59.6787, , , ,,, , , , 
NZ_CP009110,Amycolatopsis methanolica 239,Actinobacteria,Bacteria,7237391,1,0.715271981,6449442,0.718922505,42.7012,59.8785,7096,6665,3,3,3,51, , , 
NC_019771,Anabaena cylindrica PCC 7122,Cyanobacteria,Bacteria,7063285,7,0.387905911,5751545,0.395753489,56.1984,58.0507,6062,5775,4,4,4,61,"water, most likely pond", ,United Kingdom
NC_019427,Anabaena sp. 90,Cyanobacteria,Bacteria,5305675,5,0.380965476,4307238,0.387184781,55.6292,56.5965,4667,4444,5,5,5,44, , ,Finland: Lake Vesijarvi
NC_013164,Anaerococcus prevotii DSM 20548,Firmicutes,Bacteria,1998633,2,0.356389092,1779971,0.360849699,48.4524,46.6367,1875,1783,4,4,4,47, , , 
NC_014960,Anaerolinea thermophila UNI-1,Chloroflexi,Bacteria,3532378,1,0.538496729,3210405,0.544409506,56.4398,49.001,3165,3091,2,2,2,49, , , 
NC_011891,Anaeromyxobacter dehalogenans 2CP-1,Proteobacteria,Bacteria,5029329,1,0.74716488,4552685,0.746989084,36.9897,58.9178,4538,4443,2,2,2,49, , , 
NC_009675,Anaeromyxobacter sp. Fw109-5,Proteobacteria,Bacteria,5277990,1,0.735314012,4709955,0.73569705,36.1615,58.1312,4615,4454,2,2,2,48, , , 
NC_013532,Anaplasma centrale str. Israel,Proteobacteria,Bacteria,1206806,1,0.499849189,1029103,0.499870275,59.1131,54.0312,1007,937,1,1,1,37, , , 
NC_012026,Anaplasma marginale str. Florida,Proteobacteria,Bacteria,1202435,1,0.497744992,1027533,0.497692045,58.6622,51.4729,1009,942,1,1,1,37,erythrocytes,cattle,USA: Florida
NC_007797,Anaplasma phagocytophilum str. HZ,Proteobacteria,Bacteria,1471282,1,0.416359338,1028662,0.426767004,54.7778,54.9712,1141,1058,1,1,1,37, , , 
NZ_CP014140,Aneurinibacillus sp. XH2,Firmicutes,Bacteria,3664835,1,0.448367525,3037341,0.459269473,57.1392,56.6027,3679,3441,11,11,12,114,oil produced water, ,China: Gudao oilfield
NZ_CP012152,Anoxybacillus gonensis,Firmicutes,Bacteria,2803668,1,0.416705188,2514989,0.419418137,52.1876,52.0911,2928,2786,8,8,8,78,hot spring, ,Turkey: Gonen
NC_000918,Aquifex aeolicus VF5,Aquificae,Bacteria,1590791,2,0.433016028,1445475,0.435413272,48.1932,43.9394, , , ,,, , , , 
NC_014218,Arcanobacterium haemolyticum DSM 20595,Actinobacteria,Bacteria,1986154,1,0.531332414,1736123,0.536892835,56.8179,50.7893,1830,1721,4,4,4,50, , , 
NC_000917,Archaeoglobus fulgidus DSM 4304,Euryarchaeota,Archaea,2178400,1,0.485816654,2010142,0.49370741,57.0678,53.2529,2456,2353,1,1,1,46,,,
NC_013742,Archaeoglobus profundus DSM 5631,Euryarchaeota,Archaea,1563423,2,0.420045631,1444250,0.423113727,54.2819,56.0658,1851,1771,1,1,1,48,,,
NC_021169,Archaeoglobus sulfaticallidus PM70-1,Euryarchaeota,Archaea,2076931,1,0.432389906,1828235,0.441677355,54.597,53.9455,2255,2180,1,1,1,52,,,Canada: Eastern flank of the Juan de Fuca Ridge
NC_015320,Archaeoglobus veneficus SNP6,Euryarchaeota,Archaea,1901943,1,0.470489915,1699531,0.479203969,57.9539,54.8824,2137,2066,1,1,1,46,"Black smoker wall, 3500 m depth",,
NZ_CP011509,Archangium gephyra,Proteobacteria,Bacteria,12489432,1,0.694487708,11293993,0.697307144,47.1315,60.1781,9988,9579,3,3,3,81, , , 
NC_009850,Arcobacter butzleri RM4018,Proteobacteria,Bacteria,2341251,1,0.270451566,2184583,0.271861495,36.9406,29.5432,2330,2255,5,5,5,54, , , 
NC_014166,Arcobacter nitrofigilis DSM 7299,Proteobacteria,Bacteria,3192235,1,0.283608506,2963078,0.286334008,41.0452,41.7766,3163,3073,4,4,4,55,roots,Spartina alterniflora,Canada: Nova Scotia
NC_017192,Arcobacter sp. L,Proteobacteria,Bacteria,2947662,2,0.26577267,2740793,0.267542277,37.7506,39.249,2912,2821,5,5,5,56, , , 
NC_006513,Aromatoleum aromaticum EbN1,Proteobacteria,Bacteria,4727255,3,0.646976099,4167270,0.652916418,53.2657,39.1099,4483,4313,4,4,4,58, , , 
NZ_CP012070,Arsenicicoccus sp. oral taxon 190,Actinobacteria,Bacteria,3525271,1,0.727285363,3151310,0.728453564,40.9419,60.1832,3271,3052,2,2,2,48,curette,Homo sapiens,"USA: Boston, MA"
NZ_CP012750,Arthrobacter halophytocola,Actinobacteria,Bacteria,3918424,2,0.599855707,3409289,0.609301529,53.5502,33.7328,3637,3508,7,6,6,65, , ,China:Jiangsu
NZ_CP014196,Arthrobacter sp. ATCC 21022,Actinobacteria,Bacteria,4434904,1,0.63408881,3964710,0.638928194,52.1137,34.5803,4063,3895,4,4,4,53,soil, , 
NC_008541,Arthrobacter sp. FB24,Actinobacteria,Bacteria,5070478,4,0.653884506,4490805,0.659481318,52.2257,37.2549,4588,4434,5,5,5,51, , , 
NZ_CP011005,Arthrobacter sp. IHBB 11108,Actinobacteria,Bacteria,3599434,2,0.589774948,3254447,0.594762182,55.6133,42.7126,3382,3247,2,2,2,46,water from surface of lake, ,India:Chandra Tal lake at Lahual and Spiti
NZ_CP012171,Arthrobacter sp. LS16,Actinobacteria,Bacteria,3851242,1,0.64324392,3288104,0.656255702,54.8917,34.1833,3545,3399,7,6,6,67,agricultural fields, ,Canada: London
NZ_CP007595,Arthrobacter sp. PAMC 25486,Actinobacteria,Bacteria,4593579,1,0.627879102,3888348,0.635667968,52.9569,31.235,4117,3893,6,6,6,53,environmental, ,Norway
NZ_AP014690,Asaia bogorensis NBRC 16594,Proteobacteria,Bacteria,3198265,1,0.59808271,2796797,0.604186146,55.8185,48.1683,2820,2670,5,5,5,57,flower, ,Indonesia:Bogor
NC_007716,Aster yellows witches-broom phytoplasma AYWB,Tenericutes,Bacteria,723970,5,0.268117463,536046,0.283393589,44.2285,36.2824,674,556,2,2,2,32, ,Lactuca sativa, 
NC_014816,Asticcacaulis excentricus CB 48,Proteobacteria,Bacteria,4308776,4,0.59508083,3772285,0.604505227,56.5057,54.5519,3816,3725,3,3,3,49,pond water, , 
NC_013203,Atopobium parvulum DSM 20469,Actinobacteria,Bacteria,1543805,1,0.45686599,1378550,0.463125023,56.5709,50.2675,1406,1340,1,1,1,45, , , 
NZ_CP016210,Azoarcus olearius,Proteobacteria,Bacteria,4451751,1,0.678333312,4008202,0.682321649,52.8534,44.9351,4071,3983,4,4,4,55, , ,Taiwan: Kaoshiung
NC_020516,Azoarcus sp. KH32C,Proteobacteria,Bacteria,5818755,2,0.650262127,5271398,0.656228006,42.909,21.7604,5211,5094,5,5,5,65, , , 
NC_009937,Azorhizobium caulinodans ORS 571,Proteobacteria,Bacteria,5369772,1,0.673190221,4706618,0.677684911,42.1837,21.4405,4819,4705,3,3,3,53, , , 
NZ_CP012914,Azospirillum brasilense,Proteobacteria,Bacteria,6587527,6,0.683251545,5712049,0.693291847,41.9176,25.174,5860,5662,9,10,10,90,root,Digitaria eriantha,Brazil
NC_016585,Azospirillum lipoferum 4B,Proteobacteria,Bacteria,6846400,7,0.676708343,5912759,0.686809829,46.7468,27.6133,6018,5853,8,9,9,80, , , 
NZ_CP012401,Azospirillum thiophilum,Proteobacteria,Bacteria,7609458,8,0.681582972,6602827,0.690364143,41.263,24.5866,6612,6420,8,9,9,79, , ,"Russia: Stavropol Krai, North Caucasus region"
NC_012560,Azotobacter vinelandii DJ,Proteobacteria,Bacteria,5365318,1,0.65675548,4574434,0.666396105,50.1547,28.9856,4793,4647,6,6,6,64, , , 
NC_014551,Bacillus amyloliquefaciens DSM 7,Firmicutes,Bacteria,3980199,1,0.460823441,3512193,0.468898207,56.4314,54.2486,4122,3867,10,10,10,94, , , 
NC_003997,Bacillus anthracis str. Ames,Firmicutes,Bacteria,5227293,1,0.353768385,4234317,0.360435225,44.5923,29.592, , , ,,, , , , 
NC_005945,Bacillus anthracis str. Sterne,Firmicutes,Bacteria,5228663,1,0.35379446,4191585,0.361014747,44.5972,29.6021, , , ,,, , , , 
NC_014829,Bacillus cellulosilyticus DSM 2522,Firmicutes,Bacteria,4681672,1,0.36521952,3745826,0.368921568,54.4891,57.8024,4271,4124,10,10,10,79,soil, , 
NC_004722,Bacillus cereus ATCC 14579,Firmicutes,Bacteria,5427083,2,0.352883492,4364619,0.358957563,44.5919,31.1747, , , ,,, , , , 
NC_006582,Bacillus clausii KSM-K16,Firmicutes,Bacteria,4303871,1,0.447533163,3710234,0.453054174,56.5315,51.7526,4276,4136,8,7,7,75, , , 
NZ_CP009709,Bacillus coagulans DSM 1 = ATCC 7050,Firmicutes,Bacteria,3366995,1,0.468972481,2765223,0.476360858,56.1919,52.8194,3377,3103,10,10,10,84,Dairy (evaporated milk), ,USA: Iowa
NC_009674,Bacillus cytotoxicus NVH 391-98,Firmicutes,Bacteria,4094159,2,0.358669998,3325680,0.36345379,50.9832,52.2686,4062,3767,13,13,13,106, , , 
NZ_CP011974,Bacillus endophyticus,Firmicutes,Bacteria,5313985,9,0.364938177,4374465,0.373731645,51.7124,52.4054,5263,5048,11,11,11,81, ,plant,China: Tianjin
NZ_LT603683,Bacillus glycinifermentans,Firmicutes,Bacteria,4607442,1,0.461314326,4000751,0.47121278,56.8055,54.6003,4695,4415,8,8,8,82, , , 
NC_022524,Bacillus infantis NRRL B-14911,Firmicutes,Bacteria,4884713,1,0.460332675,4110351,0.469760125,56.086,52.5551,4828,4670,9,9,9,85,open ocean, ,USA:Gulf of Mexico
NC_006270,Bacillus licheniformis DSM 13 = ATCC 14580,Firmicutes,Bacteria,4222597,1,0.461943917,3692860,0.471321144,56.9491,53.9458,4294,4158,7,7,7,72, , , 
NZ_CP009915,Bacillus megaterium NBRC 15308 = ATCC 14581,Firmicutes,Bacteria,5746640,7,0.378291141,4687644,0.388403002,54.8366,55.6918,5790,5532,15,13,13,124,Environmental sample, ,Japan
NZ_CP007739,Bacillus methanolicus MGA3,Firmicutes,Bacteria,3425208,3,0.38589405,2798266,0.393420783,55.3299,57.8549,3328,3110,9,9,9,91, , ,USA: Minnesota area
NZ_CP009692,Bacillus mycoides,Firmicutes,Bacteria,5637053,4,0.353802839,4641038,0.360271775,54.2912,57.9146,5686,5421,12,12,12,107,Soil, , 
NZ_CP015506,Bacillus oceanisediminis 2691,Firmicutes,Bacteria,5848607,2,0.408836497,4892035,0.416957156,55.146,55.4023,5839,5604,11,11,11,106,seawater, ,South Korea
NC_013791,Bacillus pseudofirmus OF4,Firmicutes,Bacteria,4249248,3,0.398605589,3590673,0.40392205,56.2249,58.4031,4211,4064,8,7,7,77, , , 
NZ_CP011007,Bacillus pumilus,Firmicutes,Bacteria,3878815,2,0.414287869,3404991,0.419416674,55.6159,56.5038,3936,3786,8,8,8,81,sugar beet rhizosphere, ,Netherlands: Wageningen
NC_014219,Bacillus selenitireducens MLS10,Firmicutes,Bacteria,3592487,1,0.486699604,3151881,0.494213455,58.2583,55.5852,3368,3210,8,7,7,68, , , 
NZ_CP011008,Bacillus simplex,Firmicutes,Bacteria,5521719,2,0.397608426,4313217,0.408167036,56.4973,58.4888,5173,4878,14,14,14,84,sugar beet rhizosphere, ,Netherlands: Wageningen
NZ_CP012024,Bacillus smithii,Firmicutes,Bacteria,3381292,2,0.407544217,2657835,0.414764272,55.8103,56.5516,3170,2982,11,11,11,94,cheese, ,USA
