"tax_id","genbank.Accession","org_name","name_class","rRNA16S_genes","tRNA_genes","genome_size","total_genes","coding_genes","isolation_source","reference","ref_type"
470,"NZ_CP009257","Acinetobacter baumannii","scientific name",6,73,4335793,4336,4155,"hospital","NZ_CP009257","genbank_accession"
1324350,"NZ_CP012808","Acinetobacter equi","scientific name",7,87,3054269,2876,2707,"horse dung","NZ_CP012808","genbank_accession"
1242245,"NZ_CP010350","Acinetobacter johnsonii XBB1","scientific name",7,83,4081329,3990,3681,"hospital sewage","NZ_CP010350","genbank_accession"
40215,"NZ_CP019041","Acinetobacter junii","scientific name",6,74,3378307,3248,3003,"limnetic water","NZ_CP019041","genbank_accession"
871585,"NC_016603","Acinetobacter pittii PHEA-2","scientific name",NA,NA,3862530,NA,NA," ","NC_016603","genbank_accession"
487316,"NZ_CP016896","Acinetobacter soli","scientific name",7,75,3636349,3453,3310,"soil","NZ_CP016896","genbank_accession"
416269,"NC_009053","Actinobacillus pleuropneumoniae serovar 5b str. L20","scientific name",3,62,2274482,2166,2035," ","NC_009053","genbank_accession"
339671,"NC_009655","Actinobacillus succinogenes 130Z","scientific name",6,59,2319663,2188,2084," ","NC_009655","genbank_accession"
1650658,"NZ_CP011489","Actinobacteria bacterium IMCC26256","scientific name",1,45,2461858,2324,2233,"freshwater","NZ_CP011489","genbank_accession"
52773,"NZ_CP012072","Actinomyces meyeri","scientific name",3,47,2049088,1779,1682,"curette","NZ_CP012072","genbank_accession"
544580,"NZ_CP014232","Actinomyces oris","scientific name",3,50,3042917,2459,2336,"curette","NZ_CP014232","genbank_accession"
1246995,"NC_022657","Actinoplanes friuliensis DSM 7358","scientific name",3,68,9376071,8617,8405," ","NC_022657","genbank_accession"
512565,"NC_017093","Actinoplanes missouriensis 431","scientific name",6,58,8773466,8012,7804," ","NC_017093","genbank_accession"
649831,"NC_021191","Actinoplanes sp. N902-109","scientific name",4,59,9228054,7945,7729," ","NC_021191","genbank_accession"
2033844,"NC_017803","Actinoplanes sp. SE50","scientific name",6,98,9239851,8197,7930," ","NC_017803","genbank_accession"
446462,"NC_013093","Actinosynnema mirum DSM 43827","scientific name",5,59,8248144,7026,6824," ","NC_013093","genbank_accession"
59505,"NZ_CP008802","Actinotignum schaalii","scientific name",3,46,2159306,1781,1672," ","NZ_CP008802","genbank_accession"
1384484,"NC_022567","Adlercreutzia equolifaciens DSM 19450","scientific name",2,48,2862526,2313,2214," ","NC_022567","genbank_accession"
1247726,"NZ_CP003915","Advenella mimigardefordensis DPN7","scientific name",2,40,4764126,4374,4228," ","NZ_CP003915","genbank_accession"
746697,"NC_018013","Aequorivita sublithincola DSM 14238","scientific name",2,36,3520671,3196,3126,"sea water","NC_018013","genbank_accession"
1376,"NZ_CP014161","Aerococcus urinae","scientific name",4,60,1974262,1802,1714,"human urine","NZ_CP014161","genbank_accession"
1377,"NZ_CP014164","Aerococcus viridans","scientific name",7,55,2199877,2051,1914,"air sample","NZ_CP014164","genbank_accession"
380703,"NC_008570","Aeromonas hydrophila subsp. hydrophila ATCC 7966","scientific name",NA,NA,4744448,NA,NA," ","NC_008570","genbank_accession"
382245,"NC_004923","Aeromonas salmonicida subsp. salmonicida A449","scientific name",9,109,5040536,4690,4325," ","NC_004923","genbank_accession"
654,"NZ_CP012504","Aeromonas veronii","scientific name",10,120,4923009,4523,4279," ","NZ_CP012504","genbank_accession"
680279,"NZ_CP013021","Agarivorans gilvus","scientific name",7,91,4416600,4225,3901,"water","NZ_CP013021","genbank_accession"
714,"NZ_CP012959","Aggregatibacter actinomycetemcomitans","scientific name",6,54,2367908,2307,2163," ","NZ_CP012959","genbank_accession"
732,"NZ_CP012067","Aggregatibacter aphrophilus","scientific name",6,57,2414427,2227,2113,"curette","NZ_CP012067","genbank_accession"
176299,"NC_003062","Agrobacterium fabrum str. C58","scientific name",NA,NA,5674258,NA,NA," ","NC_003062","genbank_accession"
311402,"NC_011989","Agrobacterium vitis S4","scientific name",4,54,6320946,5768,5549," ","NC_011989","genbank_accession"
349741,"NC_010655","Akkermansia muciniphila ATCC BAA-835","scientific name",3,52,2664102,2317,2220," ","NC_010655","genbank_accession"
511,"NZ_CP013119","Alcaligenes faecalis","scientific name",3,57,4248684,3846,3753," ","NZ_CP013119","genbank_accession"
393595,"NC_008260","Alcanivorax borkumensis SK2","scientific name",3,42,3120143,2817,2744," ","NC_008260","genbank_accession"
930169,"NC_018691","Alcanivorax dieselolei B5","scientific name",2,42,4928223,4424,4333," ","NC_018691","genbank_accession"
391936,"NZ_CP004387","Alcanivorax pacificus W11-5","scientific name",2,46,4168427,3727,3627," ","NZ_CP004387","genbank_accession"
1736674,"NZ_CP012898","Algibacter alginolytica","synonym",2,40,3994770,3334,3256,"seawater","NZ_CP012898","genbank_accession"
596154,"NC_015422","Alicycliphilus denitrificans K601","scientific name",3,54,5070751,4792,4660,"anaerobic sewer sludge","NC_015422","genbank_accession"
521098,"NC_013205","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","scientific name",6,64,3205686,3101,2972," ","NC_013205","genbank_accession"
316275,"NC_011312","Aliivibrio salmonicida LFI1238","scientific name",12,104,4655660,4436,4020,"atlantic cod","NC_011312","genbank_accession"
80852,"NZ_LN554846","Aliivibrio wodanis","scientific name",7,89,4635126,4201,3976," ","NZ_LN554846","genbank_accession"
679935,"NC_018011","Alistipes finegoldii DSM 17242","scientific name",2,48,3734239,3225,3083,"appendix tissue","NC_018011","genbank_accession"
187272,"NC_008340","Alkalilimnicola ehrlichii MLHE-1","scientific name",2,48,3275944,2912,2814," ","NC_008340","genbank_accession"
293826,"NC_009633","Alkaliphilus metalliredigens QYMF","scientific name",10,104,4929566,4801,4576," ","NC_009633","genbank_accession"
350688,"NC_009922","Alkaliphilus oremlandii OhILAs","scientific name",8,86,3123558,3016,2878," ","NC_009922","genbank_accession"
572477,"NC_013851","Allochromatium vinosum DSM 180","scientific name",3,50,3669074,3262,3148," ","NC_013851","genbank_accession"
594679,"NZ_CP010427","Allofrancisella guangzhouensis","scientific name",3,38,1661527,1551,1485," ","NZ_CP010427","genbank_accession"
859653,"NC_018643","alpha proteobacterium HIMB5","scientific name",1,32,1343202,1432,1378," ","NC_018643","genbank_accession"
744985,"NC_018644","alpha proteobacterium HIMB59","scientific name",1,35,1410127,1512,1467," ","NC_018644","genbank_accession"
1267766,"NZ_CP011452","Altererythrobacter atlanticus","scientific name",2,47,3475106,3270,3145,"north atlantic rise deep-sea sediment","NZ_CP011452","genbank_accession"
543877,"NZ_CP011805","Altererythrobacter marensis","scientific name",1,45,2885033,2721,2644,"seawater","NZ_CP011805","genbank_accession"
589873,"NZ_CP008849","Alteromonas australica","scientific name",5,56,4308833,3760,3659,"sea water","NZ_CP008849","genbank_accession"
529120,"NC_018632","Alteromonas macleodii ATCC 27126","scientific name",5,52,4653851,3950,3792,"seawater surface","NC_018632","genbank_accession"
233316,"NZ_CP013926","Alteromonas stellipolaris","scientific name",5,57,4904192,4192,4077,"seawater","NZ_CP013926","genbank_accession"
572547,"NC_014011","Aminobacterium colombiense DSM 12261","scientific name",3,47,1980592,1945,1874," ","NC_014011","genbank_accession"
429009,"NC_013385","Ammonifex degensii KC4","scientific name",2,48,2157067,2214,2112," ","NC_013385","genbank_accession"
698758,"NC_018704","Amphibacillus xylanus NBRC 15112","scientific name",6,55,2569486,2421,2312," ","NC_018704","genbank_accession"
208439,"NZ_CP008953","Amycolatopsis japonica","scientific name",4,54,9053857,8459,8316,"soil","NZ_CP008953","genbank_accession"
749927,"NC_014318","Amycolatopsis mediterranei U32","scientific name",NA,NA,10236715,NA,NA," ","NC_014318","genbank_accession"
1068978,"NZ_CP009110","Amycolatopsis methanolica 239","scientific name",3,51,7237391,7096,6665," ","NZ_CP009110","genbank_accession"
272123,"NC_019771","Anabaena cylindrica PCC 7122","scientific name",4,61,7063285,6062,5775,"water, most likely pond","NC_019771","genbank_accession"
46234,"NC_019427","Anabaena sp. 90","scientific name",5,44,5305675,4667,4444," ","NC_019427","genbank_accession"
525919,"NC_013164","Anaerococcus prevotii DSM 20548","scientific name",4,47,1998633,1875,1783," ","NC_013164","genbank_accession"
926569,"NC_014960","Anaerolinea thermophila UNI-1","scientific name",2,49,3532378,3165,3091," ","NC_014960","genbank_accession"
455488,"NC_011891","Anaeromyxobacter dehalogenans 2CP-1","scientific name",2,49,5029329,4538,4443," ","NC_011891","genbank_accession"
404589,"NC_009675","Anaeromyxobacter sp. Fw109-5","scientific name",2,48,5277990,4615,4454," ","NC_009675","genbank_accession"
574556,"NC_013532","Anaplasma centrale str. Israel","scientific name",1,37,1206806,1007,937," ","NC_013532","genbank_accession"
320483,"NC_012026","Anaplasma marginale str. Florida","scientific name",1,37,1202435,1009,942,"erythrocytes","NC_012026","genbank_accession"
212042,"NC_007797","Anaplasma phagocytophilum str. HZ","scientific name",1,37,1471282,1141,1058," ","NC_007797","genbank_accession"
1450761,"NZ_CP014140","Aneurinibacillus sp. XH2","scientific name",11,114,3664835,3679,3441,"oil produced water","NZ_CP014140","genbank_accession"
198467,"NZ_CP012152","Anoxybacillus gonensis","scientific name",8,78,2803668,2928,2786,"hot spring","NZ_CP012152","genbank_accession"
224324,"NC_000918","Aquifex aeolicus VF5","scientific name",NA,NA,1590791,NA,NA," ","NC_000918","genbank_accession"
644284,"NC_014218","Arcanobacterium haemolyticum DSM 20595","scientific name",4,50,1986154,1830,1721," ","NC_014218","genbank_accession"
224325,"NC_000917","Archaeoglobus fulgidus DSM 4304","scientific name",1,46,2178400,2456,2353,"","NC_000917","genbank_accession"
572546,"NC_013742","Archaeoglobus profundus DSM 5631","scientific name",1,48,1563423,1851,1771,"","NC_013742","genbank_accession"
387631,"NC_021169","Archaeoglobus sulfaticallidus PM70-1","scientific name",1,52,2076931,2255,2180,"","NC_021169","genbank_accession"
693661,"NC_015320","Archaeoglobus veneficus SNP6","scientific name",1,46,1901943,2137,2066,"black smoker wall, 3500 m depth","NC_015320","genbank_accession"
48,"NZ_CP011509","Archangium gephyra","scientific name",3,81,12489432,9988,9579," ","NZ_CP011509","genbank_accession"
367737,"NC_009850","Arcobacter butzleri RM4018","scientific name",5,54,2341251,2330,2255," ","NC_009850","genbank_accession"
572480,"NC_014166","Arcobacter nitrofigilis DSM 7299","scientific name",4,55,3192235,3163,3073,"roots","NC_014166","genbank_accession"
944547,"NC_017192","Arcobacter sp. L","scientific name",5,56,2947662,2912,2821," ","NC_017192","genbank_accession"
76114,"NC_006513","Aromatoleum aromaticum EbN1","scientific name",4,58,4727255,4483,4313," ","NC_006513","genbank_accession"
1658671,"NZ_CP012070","Arsenicicoccus sp. oral taxon 190","scientific name",2,48,3525271,3271,3052,"curette","NZ_CP012070","genbank_accession"
1933880,"NZ_CP012750","Arthrobacter halophytocola","misspelling",6,65,3918424,3637,3508," ","NZ_CP012750","genbank_accession"
1771959,"NZ_CP014196","Arthrobacter sp. ATCC 21022","scientific name",4,53,4434904,4063,3895,"soil","NZ_CP014196","genbank_accession"
290399,"NC_008541","Arthrobacter sp. FB24","scientific name",5,51,5070478,4588,4434," ","NC_008541","genbank_accession"
1618207,"NZ_CP011005","Arthrobacter sp. IHBB 11108","scientific name",2,46,3599434,3382,3247,"water from surface of lake","NZ_CP011005","genbank_accession"
1690248,"NZ_CP012171","Arthrobacter sp. LS16","scientific name",6,67,3851242,3545,3399,"agricultural fields","NZ_CP012171","genbank_accession"
1494608,"NZ_CP007595","Arthrobacter sp. PAMC 25486","scientific name",6,53,4593579,4117,3893,"environmental","NZ_CP007595","genbank_accession"
1231624,"NZ_AP014690","Asaia bogorensis NBRC 16594","scientific name",5,57,3198265,2820,2670,"flower","NZ_AP014690","genbank_accession"
322098,"NC_007716","Aster yellows witches'-broom phytoplasma AYWB","scientific name",2,32,723970,674,556," ","NC_007716","genbank_accession"
573065,"NC_014816","Asticcacaulis excentricus CB 48","scientific name",3,49,4308776,3816,3725,"pond water","NC_014816","genbank_accession"
521095,"NC_013203","Atopobium parvulum DSM 20469","scientific name",1,45,1543805,1406,1340," ","NC_013203","genbank_accession"
418699,"NZ_CP016210","Azoarcus olearius","scientific name",4,55,4451751,4071,3983," ","NZ_CP016210","genbank_accession"
748247,"NC_020516","Azoarcus sp. KH32C","scientific name",5,65,5818755,5211,5094," ","NC_020516","genbank_accession"
438753,"NC_009937","Azorhizobium caulinodans ORS 571","scientific name",3,53,5369772,4819,4705," ","NC_009937","genbank_accession"
192,"NZ_CP012914","Azospirillum brasilense","scientific name",10,90,6587527,5860,5662,"root","NZ_CP012914","genbank_accession"
862719,"NC_016585","Azospirillum lipoferum 4B","scientific name",9,80,6846400,6018,5853," ","NC_016585","genbank_accession"
528244,"NZ_CP012401","Azospirillum thiophilum","scientific name",9,79,7609458,6612,6420," ","NZ_CP012401","genbank_accession"
322710,"NC_012560","Azotobacter vinelandii DJ","scientific name",6,64,5365318,4793,4647," ","NC_012560","genbank_accession"
692420,"NC_014551","Bacillus amyloliquefaciens DSM 7","scientific name",10,94,3980199,4122,3867," ","NC_014551","genbank_accession"
198094,"NC_003997","Bacillus anthracis str. Ames","scientific name",NA,NA,5227293,NA,NA," ","NC_003997","genbank_accession"
260799,"NC_005945","Bacillus anthracis str. Sterne","scientific name",NA,NA,5228663,NA,NA," ","NC_005945","genbank_accession"
649639,"NC_014829","Bacillus cellulosilyticus DSM 2522","scientific name",10,79,4681672,4271,4124,"soil","NC_014829","genbank_accession"
226900,"NC_004722","Bacillus cereus ATCC 14579","scientific name",NA,NA,5427083,NA,NA," ","NC_004722","genbank_accession"
66692,"NC_006582","Bacillus clausii KSM-K16","scientific name",7,75,4303871,4276,4136," ","NC_006582","genbank_accession"
1121088,"NZ_CP009709","Bacillus coagulans DSM 1 = ATCC 7050","scientific name",10,84,3366995,3377,3103,"dairy (evaporated milk)","NZ_CP009709","genbank_accession"
315749,"NC_009674","Bacillus cytotoxicus NVH 391-98","scientific name",13,106,4094159,4062,3767," ","NC_009674","genbank_accession"
135735,"NZ_CP011974","Bacillus endophyticus","scientific name",11,81,5313985,5263,5048," ","NZ_CP011974","genbank_accession"
1664069,"NZ_LT603683","Bacillus glycinifermentans","scientific name",8,82,4607442,4695,4415," ","NZ_LT603683","genbank_accession"
1367477,"NC_022524","Bacillus infantis NRRL B-14911","scientific name",9,85,4884713,4828,4670,"open ocean","NC_022524","genbank_accession"
279010,"NC_006270","Bacillus licheniformis DSM 13 = ATCC 14580","scientific name",7,72,4222597,4294,4158," ","NC_006270","genbank_accession"
1348623,"NZ_CP009915","Bacillus megaterium NBRC 15308 = ATCC 14581","scientific name",13,124,5746640,5790,5532,"environmental sample","NZ_CP009915","genbank_accession"
796606,"NZ_CP007739","Bacillus methanolicus MGA3","scientific name",9,91,3425208,3328,3110," ","NZ_CP007739","genbank_accession"
1405,"NZ_CP009692","Bacillus mycoides","scientific name",12,107,5637053,5686,5421,"soil","NZ_CP009692","genbank_accession"
1196031,"NZ_CP015506","Bacillus oceanisediminis 2691","scientific name",11,106,5848607,5839,5604,"seawater","NZ_CP015506","genbank_accession"
398511,"NC_013791","Bacillus pseudofirmus OF4","scientific name",7,77,4249248,4211,4064," ","NC_013791","genbank_accession"
1408,"NZ_CP011007","Bacillus pumilus","scientific name",8,81,3878815,3936,3786,"sugar beet rhizosphere","NZ_CP011007","genbank_accession"
439292,"NC_014219","Bacillus selenitireducens MLS10","equivalent name",7,68,3592487,3368,3210," ","NC_014219","genbank_accession"
1478,"NZ_CP011008","Bacillus simplex","scientific name",14,84,5521719,5173,4878,"sugar beet rhizosphere","NZ_CP011008","genbank_accession"
1479,"NZ_CP012024","Bacillus smithii","scientific name",11,94,3381292,3170,2982,"cheese","NZ_CP012024","genbank_accession"
666686,"NC_021171","Bacillus sp. 1NLA3E","scientific name",12,87,4815602,4612,4407," ","NC_021171","genbank_accession"
98228,"NZ_AP013294","Bacillus sp. OxB-1","scientific name",8,83,3594618,3567,3413," ","NZ_AP013294","genbank_accession"
1565991,"NZ_CP008855","Bacillus sp. X1(2014)","scientific name",12,122,3422674,3372,3106," ","NZ_CP008855","genbank_accession"
224308,"NC_000964","Bacillus subtilis subsp. subtilis str. 168","scientific name",NA,NA,4215606,NA,NA," ","NC_000964","genbank_accession"
1428,"NZ_CP013055","Bacillus thuringiensis","scientific name",13,107,6227942,6373,6101,"soil","NZ_CP013055","genbank_accession"
281309,"NC_005957","Bacillus thuringiensis serovar konkukian str. 97-27","equivalent name",NA,NA,5314794,NA,NA," ","NC_005957","genbank_accession"
1307839,"NZ_CP013118","bacterium L21-Spi-D4","includes",3,46,4812386,3884,3777,"hypersaline microbial mat","NZ_CP013118","genbank_accession"
1400053,"NZ_CP006772","Bacteroidales bacterium CF","scientific name",3,38,2657245,2300,2226," ","NZ_CP006772","genbank_accession"
246787,"NZ_CP012801","Bacteroides cellulosilyticus","scientific name",4,63,7084828,5386,5206,"feces","NZ_CP012801","genbank_accession"
295405,"NC_006347","Bacteroides fragilis YCH46","scientific name",NA,NA,5310990,NA,NA," ","NC_006347","genbank_accession"
28116,"NZ_CP012938","Bacteroides ovatus","scientific name",5,71,6472489,4895,4749,"feces","NZ_CP012938","genbank_accession"
667015,"NC_015164","Bacteroides salanitronis DSM 18170","scientific name",6,82,4308663,3755,3593,"cecum","NC_015164","genbank_accession"
818,"NZ_CP012937","Bacteroides thetaiotaomicron","scientific name",5,70,6487685,5022,4857,"feces","NZ_CP012937","genbank_accession"
226186,"NC_004663","Bacteroides thetaiotaomicron VPI-5482","scientific name",NA,NA,6293399,NA,NA," ","NC_004663","genbank_accession"
435590,"NC_009614","Bacteroides vulgatus ATCC 8482","scientific name",7,83,5163189,4198,3995," ","NC_009614","genbank_accession"
880074,"NZ_CP007034","Barnesiella viscericola DSM 18177","scientific name",5,62,3076856,2559,2444,"chicken caecum","NZ_CP007034","genbank_accession"
1318743,"NZ_CP010401","Bartonella ancashensis","scientific name",2,42,1467695,1316,1190,"blood","NZ_CP010401","genbank_accession"
1094489,"NC_020300","Bartonella australis Aust/NH1","scientific name",2,42,1596490,1400,1328,"host blood","NC_020300","genbank_accession"
360095,"NC_008783","Bartonella bacilliformis KC583","scientific name",2,44,1445021,1266,1183," ","NC_008783","genbank_accession"
696125,"NC_014932","Bartonella clarridgeiae 73","scientific name",2,41,1522743,1275,1184," ","NC_014932","genbank_accession"
634504,"NC_012846","Bartonella grahamii as4aup","scientific name",2,42,2369520,2003,1855," ","NC_012846","genbank_accession"
283166,"NC_005956","Bartonella henselae str. Houston-1","scientific name",2,43,1931047,1665,1525," ","NC_005956","genbank_accession"
1225179,"NC_018533","Bartonella quintana RM-11","scientific name",2,42,1587646,1353,1211," ","NC_018533","genbank_accession"
382640,"NC_010160","Bartonella tribocorum CIP 105476","scientific name",2,42,2642404,2370,2205," ","NC_010160","genbank_accession"
1094497,"NC_020301","Bartonella vinsonii subsp. berkhoffii str. Winnie","scientific name",2,42,1802699,1640,1482,"host blood","NC_020301","genbank_accession"
1072685,"NZ_CP009238","Basilea psittacipulmonis DSM 24701","scientific name",3,39,1959069,1692,1618,"lung","NZ_CP009238","genbank_accession"
374463,"NC_007984","Baumannia cicadellinicola str. Hc (Homalodisca coagulata)","scientific name",2,39,686194,648,591," ","NC_007984","genbank_accession"
264462,"NC_005363","Bdellovibrio bacteriovorus HD100","scientific name",2,36,3782950,3582,3534," ","NC_005363","genbank_accession"
765869,"NZ_CP002190","Bdellovibrio bacteriovorus W","scientific name",2,34,3006992,2828,2743," ","NZ_CP002190","genbank_accession"
1184267,"NC_020813","Bdellovibrio exovorus JSS","scientific name",1,33,2657893,2639,2591," ","NC_020813","genbank_accession"
395963,"NC_010578","Beijerinckia indica subsp. indica ATCC 9039","scientific name",3,51,4418616,3972,3788," ","NC_010578","genbank_accession"
866536,"NC_018010","Belliella baltica DSM 15883","scientific name",4,39,4196595,3791,3654," ","NC_018010","genbank_accession"
880071,"NC_018018","Bernardetia litoralis DSM 6794","scientific name",3,47,4919337,4059,3914,"sea water aquarium outflow","NC_018018","genbank_accession"
471853,"NC_012669","Beutenbergia cavernae DSM 12333","scientific name",2,45,4669183,4237,4094," ","NC_012669","genbank_accession"
1171377,"NC_020515","Bibersteinia trehalosi USDA-ARS-USMARC-192","scientific name",6,56,2407846,2236,2139,"mucus","NC_020515","genbank_accession"
1437605,"NZ_CP011786","Bifidobacterium actinocoloniiforme DSM 22766","scientific name",2,47,1830060,1502,1386," ","NZ_CP011786","genbank_accession"
367928,"NC_008618","Bifidobacterium adolescentis ATCC 15703","scientific name",5,54,2089645,1722,1613," ","NC_008618","genbank_accession"
518635,"NZ_AP012322","Bifidobacterium angulatum DSM 20098 = JCM 7096","scientific name",4,53,2021974,1610,1511," ","NZ_AP012322","genbank_accession"
555970,"NC_012815","Bifidobacterium animalis subsp. lactis DSM 10140","scientific name",4,51,1938483,1610,1534," ","NC_012815","genbank_accession"
1147128,"NC_018720","Bifidobacterium asteroides PRL2011","scientific name",2,45,2167304,1726,1627," ","NC_018720","genbank_accession"
702459,"NC_014638","Bifidobacterium bifidum PRL2010","scientific name",NA,NA,2214656,NA,NA,"infant stool sample","NC_014638","genbank_accession"
518634,"NZ_AP012324","Bifidobacterium breve DSM 20213 = JCM 1192","scientific name",2,53,2269415,1961,1854," ","NZ_AP012324","genbank_accession"
1687,"NZ_CP007287","Bifidobacterium coryneforme","scientific name",3,46,1755151,1423,1335,"honeybee, hindgut","NZ_CP007287","genbank_accession"
1150423,"NZ_AP012326","Bifidobacterium dentium JCM 1195 = DSM 20436","scientific name",4,56,2635669,2180,2094," ","NZ_AP012326","genbank_accession"
206672,"NC_004307","Bifidobacterium longum NCC2705","scientific name",NA,NA,2260266,NA,NA," ","NC_004307","genbank_accession"
1447715,"NZ_CP007457","Bifidobacterium pseudolongum PV8-2","scientific name",4,53,2032698,1700,1589,"fecal sample","NZ_CP007457","genbank_accession"
1150461,"NZ_AP012331","Bifidobacterium scardovii JCM 12489 = DSM 13734","scientific name",3,56,3158347,2530,2377," ","NZ_AP012331","genbank_accession"
1254439,"NC_020546","Bifidobacterium thermophilum RBL67","scientific name",4,47,2291643,1725,1574,"baby feces","NC_020546","genbank_accession"
1079,"NZ_CP012946","Blastochloris viridis","scientific name",3,49,3724841,3236,3114,"freshwater river biome","NZ_CP012946","genbank_accession"
1146883,"NC_016943","Blastococcus saxobsidens DD2","scientific name",3,47,4875340,4622,4469," ","NC_016943","genbank_accession"
1842535,"NZ_CP016458","Blastomonas sp. RAC04","scientific name",2,46,4403499,4090,3999,"chrysochromulina tobin phycosphere","NZ_CP016458","genbank_accession"
1186051,"NC_017924","Blattabacterium sp. (Blaberus giganteus)","scientific name",1,33,632588,615,574," ","NC_017924","genbank_accession"
1072467,"NC_020195","Blattabacterium sp. (Blatta orientalis) str. Tarazona","scientific name",1,34,638184,625,546," ","NC_020195","genbank_accession"
331104,"NC_013454","Blattabacterium sp. (Blattella germanica) str. Bge","scientific name",1,34,640935,624,566," ","NC_013454","genbank_accession"
1075399,"NC_016598","Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu","scientific name",1,32,609561,587,537," ","NC_016598","genbank_accession"
1074889,"NC_016146","Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR","scientific name",1,34,590336,589,537," ","NC_016146","genbank_accession"
1316444,"NC_022550","Blattabacterium sp. (Nauphoeta cinerea)","scientific name",1,34,626626,621,538," ","NC_022550","genbank_accession"
1229512,"NC_020510","Blattabacterium sp. (Panesthia angustipennis spadica) str. BPAA","synonym",1,34,632490,622,572," ","NC_020510","genbank_accession"
600809,"NC_013418","Blattabacterium sp. (Periplaneta americana) str. BPLAN","scientific name",1,34,640442,633,582," ","NC_013418","genbank_accession"
1505597,"NZ_CP010049","Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus","scientific name",1,34,773940,638,581," ","NZ_CP010049","genbank_accession"
1505596,"NZ_CP010048","Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri","scientific name",1,38,749321,639,584," ","NZ_CP010048","genbank_accession"
568707,"NC_019382","Bordetella bronchiseptica 253","scientific name",NA,NA,5264383,NA,NA," ","NC_019382","genbank_accession"
