"tax_id","org_name","strain","reference","biosample_id","genome_size","gc_content","total_genes","coding_genes","tRNA_genes","host","RefSeq_category","genome_status","ftp_path","ref_type"
416269,"Actinobacillus pleuropneumoniae serovar 5b str. L20","L20","PRJNA18221","SAMN02603665",2274480,41.3,2171,2030,62,NA,NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/885/GCA_000015885.1_ASM1588v1","bioproject_id"
198804,"Buchnera aphidicola str. Sg (Schizaphis graminum)","Sg","PRJNA312","SAMN02604269",641454,25.3,625,560,30,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/365/GCA_000007365.1_ASM736v1","bioproject_id"
160492,"Xylella fastidiosa 9a5c","9a5c","PRJNA271","SAMN02603773",2731750,52.6433,2658,2379,49,"plants","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/725/GCA_000006725.1_ASM672v1","bioproject_id"
311403,"Agrobacterium radiobacter K84","K84","PRJNA13402","SAMN02602977",7273300,59.8671,6941,6750,52,"plants",NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/265/GCA_000016265.1_ASM1626v1","bioproject_id"
190304,"Fusobacterium nucleatum subsp. nucleatum ATCC 25586","ATCC 25586","PRJNA295","SAMN02603417",2174500,27.2,2062,1983,47,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/325/GCA_000007325.1_ASM732v1","bioproject_id"
198214,"Shigella flexneri 2a str. 301","301","PRJNA310","SAMN02603599",4828820,50.6659,4788,4313,97,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/925/GCA_000006925.2_ASM692v2","bioproject_id"
198094,"Bacillus anthracis str. Ames","Ames","PRJNA309","SAMN02603432",5227290,35.4,5632,5321,95,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/845/GCA_000007845.1_ASM784v1","bioproject_id"
206672,"Bifidobacterium longum NCC2705","NCC2705","PRJNA328","SAMN02603675",2260270,60.1075,1799,1728,57,NA,"reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/525/GCA_000007525.1_ASM752v1","bioproject_id"
205918,"Pseudomonas syringae pv. syringae B728a","B728a","PRJNA323","SAMN02604347",6093700,59.2,5220,5089,64,"plants","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/245/GCA_000012245.1_ASM1224v1","bioproject_id"
208435,"Streptococcus agalactiae 2603V/R","2603V/R","PRJNA330","SAMN02604013",2160270,35.6,2279,2127,80,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/265/GCA_000007265.1_ASM726v1","bioproject_id"
208964,"Pseudomonas aeruginosa PAO1","PAO1","PRJNA331","SAMN02603714",6264400,66.6,5697,5572,63,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1","bioproject_id"
290340,"Paenarthrobacter aurescens TC1","TC1","PRJNA12512","SAMN02604022",5226650,62.3869,4806,4662,54,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/925/GCA_000014925.1_ASM1492v1","bioproject_id"
470,"Acinetobacter baumannii","AB030","PRJNA256157","SAMN02940899",4335790,39,4296,3953,73,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/645/GCA_000746645.1_ASM74664v1","bioproject_id"
568814,"Streptococcus suis BM407","BM407","PRJEA32237","SAMEA2272697",2170810,41.0468,2136,1947,52,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/745/GCA_000026745.1_ASM2674v1","bioproject_id"
672,"Vibrio vulnificus","CECT 4999","PRJNA312018","SAMN04457466",5163130,46.5303,4878,4516,116,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1","bioproject_id"
115713,"Chlamydia pneumoniae CWL029","CWL029","PRJNA248","SAMN02603115",1230230,40.6,1091,1029,38,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/745/GCA_000008745.1_ASM874v1","bioproject_id"
1304892,"Xanthomonas axonopodis Xac29-1","Xac29-1","PRJNA193074","SAMN02603863",5296520,64.7171,4808,4389,54,"plants",NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/585/GCA_000348585.1_ASM34858v1","bioproject_id"
228400,"Histophilus somni 2336","2336","PRJNA388","SAMN02598524",2263860,37.4,2114,1984,48,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/405/GCA_000019405.1_ASM1940v1","bioproject_id"
262719,"Mycoplasma hyopneumoniae J","J","PRJNA10675","SAMN02603526",897405,28.5,728,666,30,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/205/GCA_000008205.1_ASM820v1","bioproject_id"
290317,"Chlorobium phaeobacteroides DSM 266","DSM 266","PRJNA12609","SAMN02598273",3133900,48.4,2902,2744,47,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/125/GCA_000015125.1_ASM1512v1","bioproject_id"
279010,"Bacillus licheniformis DSM 13 = ATCC 14580","ATCC 14580; DSM 13","PRJNA12388","SAMN02603685",4222600,46.2,4382,4219,72,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/645/GCA_000011645.1_ASM1164v1","bioproject_id"
272624,"Legionella pneumophila subsp. pneumophila str. Philadelphia 1","Philadelphia 1","PRJNA22","SAMN02603156",3397750,38.3,3003,2943,43,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/485/GCA_000008485.1_ASM848v1","bioproject_id"
295405,"Bacteroides fragilis YCH46","YCH46","PRJNA13067","SAMD00061068",5310990,43.2378,4717,4625,74,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/925/GCA_000009925.1_ASM992v1","bioproject_id"
300267,"Shigella dysenteriae Sd197","Sd197","PRJNA13145","SAMN02603600",4560910,50.921,4834,4294,85,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/005/GCA_000012005.1_ASM1200v1","bioproject_id"
320483,"Anaplasma marginale str. Florida","Florida","PRJNA16369","SAMN02604306",1202430,49.8,1038,959,37,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/305/GCA_000020305.1_ASM2030v1","bioproject_id"
1051074,"Streptococcus thermophilus JIM 8232","JIM 8232","PRJEA68521","SAMEA2272807",1929900,38.9,2033,1748,67,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/395/GCA_000253395.1_ASM25339v1","bioproject_id"
693973,"Shewanella baltica OS678","OS678","PRJNA47019","SAMN00016780",5368770,46.276,4729,4502,104,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/875/GCA_000178875.2_ASM17887v2","bioproject_id"
319224,"Shewanella putrefaciens CN-32","CN-32","PRJNA13393","SAMN00623063",4659220,44.5,4188,3981,101,NA,NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1","bioproject_id"
557436,"Lactobacillus reuteri DSM 20016","DSM 20016","PRJNA15766","SAMN02598351",1999620,38.9,2049,1917,68,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/825/GCA_000016825.1_ASM1682v1","bioproject_id"
1408,"Bacillus pumilus","SH-B9","PRJNA276289","SAMN03372270",3878810,41.4612,3998,3843,81,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/205/GCA_001578205.1_ASM157820v1","bioproject_id"
254945,"Ehrlichia ruminantium str. Welgevonden","Welgevonden","PRJNA9614","SAMEA1705918",1516350,27.5,995,934,36,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/005/GCA_000026005.1_ASM2600v1","bioproject_id"
292805,"Wolbachia endosymbiont strain TRS of Brugia malayi",NA,"PRJNA12475","SAMN02603678",1080080,34.2,1047,839,34,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/385/GCA_000008385.1_ASM838v1","bioproject_id"
269084,"Synechococcus elongatus PCC 6301","PCC 6301","PRJNA13282","SAMD00061073",2696250,55.5,2699,2602,44,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/065/GCA_000010065.1_ASM1006v1","bioproject_id"
272561,"Chlamydia trachomatis D/UW-3/CX","D/UW-3/CX","PRJNA45","SAMN02603114",1042520,41.3,935,887,37,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/725/GCA_000008725.1_ASM872v1","bioproject_id"
272560,"Burkholderia pseudomallei K96243","K96243","PRJNA178","SAMEA1705938",7247550,68.0502,5935,5726,61,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/545/GCA_000011545.1_ASM1154v1","bioproject_id"
216591,"Burkholderia cenocepacia J2315","J2315","PRJNA339","SAMEA1705928",8055780,66.9165,7645,7355,73,"human",NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/485/GCA_000009485.1_ASM948v1","bioproject_id"
281309,"[Bacillus thuringiensis] serovar konkukian str. 97-27","97-27","PRJNA10877","SAMN02598265",5314790,35.3594,5343,5197,105,NA,"reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/505/GCA_000008505.1_ASM850v1","bioproject_id"
243277,"Vibrio cholerae O1 biovar El Tor str. N16961","N16961","PRJNA36","SAMN02603969",4033460,47.4873,3693,3504,98,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/745/GCA_000006745.1_ASM674v1","bioproject_id"
243160,"Burkholderia mallei ATCC 23344","ATCC 23344","PRJNA171","SAMN02603987",5835530,68.5188,5506,5022,56,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/705/GCA_000011705.1_ASM1170v1","bioproject_id"
196627,"Corynebacterium glutamicum ATCC 13032","ATCC 13032","PRJNA307","SAMD00061105",3309400,53.8,3057,2959,60,NA,"reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/325/GCA_000011325.1_ASM1132v1","bioproject_id"
300852,"Thermus thermophilus HB8","HB8","PRJNA13202","SAMD00061070",2116060,69.4857,2245,2173,47,NA,"reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/545/GCA_000091545.1_ASM9154v1","bioproject_id"
306537,"Corynebacterium jeikeium K411","K411 = NCTC 11915","PRJNA13967","SAMEA3283089",2476820,61.3561,2195,2088,50,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/605/GCA_000006605.1_ASM660v1","bioproject_id"
267608,"Ralstonia solanacearum GMI1000","GMI1000","PRJNA13","SAMEA3138192",5810920,66.964,5208,4984,57,"plants","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/125/GCA_000009125.1_ASM912v1","bioproject_id"
335992,"Candidatus Pelagibacter ubique HTCC1062","HTCC1062","PRJNA13989","SAMN02603690",1308760,29.7,1396,1337,32,NA,NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/345/GCA_000012345.1_ASM1234v1","bioproject_id"
205920,"Ehrlichia chaffeensis str. Arkansas","Arkansas","PRJNA325","SAMN02604010",1176250,30.1,952,892,37,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/145/GCA_000013145.1_ASM1314v1","bioproject_id"
243273,"Mycoplasma genitalium G37","G-37","PRJNA97","SAMN02603983",580076,31.7,566,515,36,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/325/GCA_000027325.1_ASM2732v1","bioproject_id"
323261,"Nitrosococcus oceani ATCC 19707","ATCC 19707","PRJNA13993","SAMN02598329",3522110,50.3241,3348,3166,46,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/805/GCA_000012805.1_ASM1280v1","bioproject_id"
1304,"Streptococcus salivarius","NCTC 8618","PRJNA266841","SAMN03174835",2188920,40.1,2068,1903,68,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/515/GCA_000785515.1_ASM78551v1","bioproject_id"
316058,"Rhodopseudomonas palustris HaA2","HaA2","PRJNA15747","SAMN02598335",5331660,66,4785,4673,50,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/365/GCA_000013365.1_ASM1336v1","bioproject_id"
362242,"Mycobacterium ulcerans Agy99","Agy99","PRJNA16230","SAMN02603346",5805760,65.419,5238,4056,45,"human",NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/925/GCA_000013925.2_ASM1392v2","bioproject_id"
349102,"Rhodobacter sphaeroides ATCC 17025","ATCC 17025","PRJNA15755","SAMN02598341",4557130,68.2478,4547,4280,55,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/405/GCA_000016405.1_ASM1640v1","bioproject_id"
177416,"Francisella tularensis subsp. tularensis SCHU S4","SCHU S4","PRJNA9","SAMEA3138185",1892780,32.3,1834,1556,38,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/985/GCA_000008985.1_ASM898v1","bioproject_id"
349747,"Yersinia pseudotuberculosis IP 31758","IP 31758","PRJNA16070","SAMN02604043",4935130,47.1929,4534,4261,82,"human",NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/945/GCA_000016945.1_ASM1694v1","bioproject_id"
390333,"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002","ATCC 11842","PRJNA16871","SAMEA3138258",1865000,49.7,1961,1626,95,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/056/065/GCA_000056065.1_ASM5606v1","bioproject_id"
355276,"Leptospira borgpetersenii serovar Hardjo-bovis str. L550","L550","PRJNA16146","SAMN02603615",3931780,40.2,3847,3288,37,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/945/GCA_000013945.1_ASM1394v1","bioproject_id"
262698,"Brucella abortus bv. 1 str. 9-941","9-941","PRJNA9619","SAMN02604220",3286450,57.2354,3376,3153,55,"human",NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/145/GCA_000008145.1_ASM814v1","bioproject_id"
360094,"Xanthomonas oryzae pv. oryzae PXO99A","PXO99A","PRJNA28127","SAMN02603061",5238550,63.6,5058,4031,54,"plants","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/585/GCA_000019585.2_ASM1958v2","bioproject_id"
1125630,"Klebsiella pneumoniae subsp. pneumoniae HS11286","HS11286","PRJNA78789","SAMN02602959",5682320,57.1373,5867,5779,62,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/185/GCA_000240185.2_ASM24018v2","bioproject_id"
272563,"Clostridioides difficile 630","630","PRJNA78","SAMEA1705932",4298130,29.0978,3981,3766,87,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/205/GCA_000009205.2_ASM920v2","bioproject_id"
473426,"Xanthomonas citri pv. vignicola","CFBP7111","PRJNA390891","SAMN07252112",5710500,64.4637,5208,4772,54,"plants","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/218/245/GCA_002218245.1_ASM221824v1","bioproject_id"
1244528,"Campylobacter fetus subsp. testudinum 03-427","03-427","PRJNA177177","SAMN02604287",1775480,33.1,1758,1691,42,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/495/505/GCA_000495505.1_ASM49550v1","bioproject_id"
365659,"Streptococcus mitis B6","B6","PRJNA16302","SAMEA3138244",2146610,40,2096,2002,61,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/165/GCA_000027165.1_ASM2716v1","bioproject_id"
203123,"Oenococcus oeni PSU-1","PSU-1","PRJNA317","SAMN02598484",1780520,37.9,1831,1655,43,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/385/GCA_000014385.1_ASM1438v1","bioproject_id"
340047,"Mycoplasma capricolum subsp. capricolum ATCC 27343","ATCC 27343","PRJNA16208","SAMN02603434",1010020,23.8,877,797,30,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/765/GCA_000012765.1_ASM1276v1","bioproject_id"
347257,"Mycoplasma agalactiae PG2","PG2","PRJNA16095","SAMEA3138268",877438,29.7,775,660,34,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/605/GCA_000063605.1_ASM6360v1","bioproject_id"
360095,"Bartonella bacilliformis KC583","KC583; ATCC 35685","PRJNA16249","SAMN02604047",1445020,38.2,1290,1199,44,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/445/GCA_000015445.1_ASM1544v1","bioproject_id"
382245,"Aeromonas salmonicida subsp. salmonicida A449","A449","PRJNA16723","SAMN02603664",5040540,58.1696,4792,4366,108,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/395/GCA_000196395.1_ASM19639v1","bioproject_id"
369723,"Salinispora tropica CNB-440","CNB-440","PRJNA16342","SAMN02598367",5183330,69.5,4778,4522,50,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/425/GCA_000016425.1_ASM1642v1","bioproject_id"
264198,"Cupriavidus pinatubonensis JMP134","JMP134","PRJNA10646","SAMN02598255",7255290,64.4539,6708,6492,65,NA,NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/875/GCA_000203875.1_ASM20387v1","bioproject_id"
272564,"Desulfitobacterium hafniense DCB-2","DCB-2","PRJNA205","SAMN02598433",5279130,47.5,5038,4821,73,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/925/GCA_000021925.1_ASM2192v1","bioproject_id"
343509,"Sodalis glossinidius str. 'morsitans'","morsitans","PRJNA16309","SAMD00061079",4292500,54.5066,4736,3259,72,NA,NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/085/GCA_000010085.1_ASM1008v1","bioproject_id"
309803,"Thermotoga neapolitana DSM 4359","DSM 4359","PRJNA21023","SAMN02603251",1884560,46.9,1938,1833,48,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/945/GCA_000018945.1_ASM1894v1","bioproject_id"
227377,"Coxiella burnetii RSA 493","RSA 493","PRJNA41","SAMN02603970",2032810,42.6376,2085,1833,42,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/765/GCA_000007765.2_ASM776v2","bioproject_id"
223926,"Vibrio parahaemolyticus RIMD 2210633","O3:K6 substr. RIMD 2210633","PRJNA360","SAMD00058707",5165770,45.4,4991,4831,126,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/095/GCA_000196095.1_ASM19609v1","bioproject_id"
224308,"Bacillus subtilis subsp. subtilis str. 168","168","PRJNA76","SAMEA3138188",4215610,43.5,4420,4174,86,NA,"reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/045/GCA_000009045.1_ASM904v1","bioproject_id"
498216,"Lactobacillus casei str. Zhang","Zhang","PRJNA28537","SAMN02603933",2898460,46.4595,5653,5381,120,NA,NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/245/GCA_000019245.3_ASM1924v3","bioproject_id"
