species,isolate,volume,volume_citation
Asterionella glacialis,,97.75,"Romeo, A. J. and N. S. Fisher. 1982. Intraspecific comparisons of nitrate uptake in three marine diatoms. Journal of Phycology 18:220-225."
Aureoumbra lagunensis,,24.46,"Sunda, W., K. Shertzer, and D. Hardison. 2009. Ammonium uptake and growth models in marine diatoms: Monod and Droop revisited. Marine Ecology Progress Series 386:29-41."
Chaetoceros affinis,,1957,"Olenin, I., S. Hadju, L. Edler, A. Andersson, N. Wasmun, S. Busch, J. Gobel, S. Gromisz, S. Huseby, M. Huttunen, A. Jaanus, P. Kokoonen, I. Ledaine, and E. Niemkiewicz. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HELCOM Balt. Sea Environ. Proc. No. 106. "
Chaetoceros curvisetum,,5020,Anonymous (2000) Biological atlas of the Arctic Seas 2000: Plankton of the Barents and Kara Seas. International Ocean Atlas Series. Available at http://www.nodc.noaa.gov/OC5/BARPLAK/start.html
Chaetoceros debilis,,280,"Harrison, P. J., H. L. Conway, R. W. Holmes, and C. O. Davis. 1977. Marine diatoms grown  in chemostats under silicate or ammonium limitation. 3. Cellular chemical composition and morphology of Chaetoceros debilis, Skeletonema costatum, and Thalassiosira gravida. Marine Biology 43:19-31."
Chaetoceros lorenzianus,,8000,"Olenin, I., S. Hadju, L. Edler, A. Andersson, N. Wasmun, S. Busch, J. Gobel, S. Gromisz, S. Huseby, M. Huttunen, A. Jaanus, P. Kokoonen, I. Ledaine, and E. Niemkiewicz. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HELCOM Balt. Sea Environ. Proc. No. 106. "
Chaetoceros simplex,,1056,"Olenin, I., S. Hadju, L. Edler, A. Andersson, N. Wasmun, S. Busch, J. Gobel, S. Gromisz, S. Huseby, M. Huttunen, A. Jaanus, P. Kokoonen, I. Ledaine, and E. Niemkiewicz. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HELCOM Balt. Sea Environ. Proc. No. 106. "
Chaetoceros sp.,,71,"Lomas, M. W. and P. M. Glibert. 2000. Comparisons of nitrate uptake, storage, and reduction in marine diatoms and flagellates. Journal of Phycology 36:903-913."
Chattonella antiqua,,24000,"Nakamura, Y. and M. M. Watanabe. 1983. Nitrate and phosphate uptake kinetics of Chattonella antiqua grown in light/dark cycles. Journal of the Oceanographical Society of Japan 29:167-170."
Chattonella ovata,,33510,"Jeong, H., Y. Yoo, J. Park, and J. Song. 2005. Feeding by phototrophic red-tide dinoflagellates: five species newly revealed and six species previously known to be mixotrophic. Aquatic Microbial Ecology 40:133-150."
Chlamydomonas acidophila,SAG 2045,114,"Spijkerman, E. 2007. Phosphorus acquisition by Chlamydomonas acidophila under autotrophic and osmo-mixotrophic growth conditions. Journal of Experimental Botany 58:4195-4202."
Chlamydomonas sp.,,44.87,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Chlorella pyrenoidosa,,37.6,"Ketchum, B. H. and A. C. Redfield. 1949. Some physical and chemical characteristics of algae growth in mass culture. Journal of Cellular and Comparative Physiology 33:281-299."
Chlorella emersonii,CCAP 211/8H,322,"Nyholm, N. 1977. Kinetics of phosphate limited algal growth. Biotechnology and Bioengineering 19:467-492."
Chlorella sp.,,6,"Grover, J. P. 1991. Non-steady-state dynamics of algal population growth: Experiments with two chlorophytes. Journal of Phycology 27:70-79."
Chlorella vulgaris,,6.05,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Chlorella vulgaris,,27,"Passarge, J., S. Hol, M. Escher, and J. Huisman. 2006. Competition for nutrients and light: Stable coexistence, alternative stable states, or competitive exclusion? Ecological Monographs 76:57-72."
Coelastrum microporum,,80,"Dauta, A. 1982. Conditions de developpement du phytoplancton: Ûtude comparative du comportement de huit especes en culture. I. Determination des parametres de croissance en fonction de la lumere et de la temperature. Annales de limnologie 18:217-262."
Coscinodiscus wailesii,,600000,"Mullin, M., P. Sloan, and R. Eppley. 1966. Relationship between carbon content, cell volume, and area in phytoplankton. Limnology and oceanography 11:307-311."
Cosmarium abbreviatum var. planctonicum,,2500,"Spijkerman, E. and P. F. M. Coesel. 1996. Phosphorus uptake and growth kinetics of two planktonic desmid species. European Journal of Phycology 31:53-60."
Cosmarium subcostatum var. subcostatum f. minor,,8181.22,http://protist.i.hosei.ac.jp/pdb/images/Chlorophyta/Cosmarium/Margaritiferae/index.html; assume sphere
Cryptomonas sp.,,800,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Cyclotella cryptica,SAG 1070-1,700,"Montagnes, D., and D. Franklin. 2001. Effect of temperature on diatom volume, growth rate, and carbon and nitrogen content: reconsidering some paradigms. Limnology and Oceanography 46:2008-2018."
Cyclotella meneghiniana,,1058,"Shafik, H. M., S. Herodek, M. Presing, L. Voros, and K. V. Balogh. 1997. Growth of Cyclotella meneghiniana Kutz. II. Growth and cell composition under different growth rates with different limiting nutrient. Annales De Limnologie-International Journal of Limnology 33:223-233."
Diatoma elongatum,,500,"Simola, H. 1983. Population in a 69-year dynamics of plankton diatoms sequence of annually laminated sediment. Oikos 43:30-40."
Dictyosphaerium pulchellum,,140,"Dauta, A. 1982. Conditions de developpement du phytoplancton: Ûtude comparative du comportement de huit especes en culture. I. Determination des parametres de croissance en fonction de la lumere et de la temperature. Annales de limnologie 18:217-262."
Dinobryon sociale var. americanum,,215,"Kamjunke, N., T. Henrichs, and U. Gaedke. 2006. Phosphorus gain by bacterivory promotes the mixotrophic flagellate Dinobryon spp. during re-oligotrophication. Journal of Plankton Research 29:39-46."
Ditylum brightwellii,CCMP358,15500,"Brussaard, C. P. D., A. A. M. Noordeloos, and R. Riegman. 1997. Autolysis kinetics of the marine diatom Ditylum brightwellii (Bacillariophyceae) under nitrogen and phosphorus limitation and starvation. Journal of Phycology 33:980-987."
Dunaliella tertiolecta,,54,"Caperon, J. and J. Meyer. 1972. Nitrogen-limited growth of marine phytoplankton. II. Uptake kinetics in nutrient limited growth of phytoplankton. Deep-Sea Research 19:619-632."
Dunaliella tertiolecta,CCMP 1320,129,"Lomas, M. W. and P. M. Glibert. 2000. Comparisons of nitrate uptake, storage, and reduction in marine diatoms and flagellates. Journal of Phycology 36:903-913."
Emiliania huxleyi,NIOZ strain L,46.61,"Riegman, R., W. Stolte, A. A. M. Noordeloos, and D. Slezak. 2000. Nutrient uptake, and alkaline phosphate (EC 3 : 1 : 3 : 1) activity of Emiliania huxleyi (Prymnesiophyceae) during growth under N and P limitation in continuous cultures. Journal of Phycology 36:87-96."
Eucampia zodiacus,,20000,"Sommer, U. 1989. Maximal growth rates of Antarctic phytoplankton: only weak dependence on cell size. Limnology and oceanography 34:1109-1112."
Euglena gracilis,,4000,"Cook, J. 1963. Adaptations in growth and division in Euglena effected by energy supply. Journal of Eukaryotic Microbiology 10:436-444."
Fragilaria bidens,,280,"Dauta, A. 1982. Conditions de developpement du phytoplancton: Ûtude comparative du comportement de huit especes en culture. I. Determination des parametres de croissance en fonction de la lumere et de la temperature. Annales de limnologie 18:217-262."
Fragilaria capucina,,857.14,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Fragilaria crotonensis,,233,"Gotham, I. J. and G. Y. Rhee. 1981. Comparative kinetic studies of nitrate-limited growth and nitrate uptake in phytoplankton continuous culture. Journal of Phycology 17:309-314."
Fragilaria crotonensis,,258,"Gotham, I. J. and G. Y. Rhee. 1981. Comparative kinetic studies of phosphate-limited growth and phosphate uptake in phytoplankton continuous culture. Journal of Phycology 17:257-265."
Fragilaria pinnata,,131,"Charles, Don. Algal biovolumes for USGS NAWQA samples. 2001. "
Gymnodinium catenatum,,74000,"Yamamoto, T., S. J. Oh, and Y. Kataoka. 2004. Growth and uptake kinetics for nitrate, ammonium and phosphate by the toxic dinoflagellate Gymnodinium catenatum isolated from Hiroshima Bay, Japan. Fisheries Science 70:108-115."
Gymnodinium mikimotoi,,5575.28,"Yamaguchi, M. and S. Itakura. 1999. Nutrition and growth kinetics in nitrogen- or phosphorus-limited cultures of the noxious red tide dinoflagellate Gymnodinium mikimotoi. Fisheries Science 65:367-373."
Heterocapsa circularisquama,,2200,"Yamaguchi, M., S. Itakura, and T. Uchida. 2001. Nutrition and growth kinetics in nitrogen- or phosphorus-limited cultures of the 'novel red tide' dinoflagellate Heterocapsa circularisquama (Dinophyceae). Phycologia 40:313-318."
Heterocapsa triquetra,,1570.8,"Tomas, C. [Ed.] 1997. Identifying marine phytoplankton. Academic Press, San Diego."
Heterosigma akashiwo,,1103,"Thompson, P., P. Harrison, and J. Parslow. 1991. Influence of irradiance on cell volume and carbon quota for ten species of marine phytoplankton. Journal of Phycology 27:351-360."
Isochrysis galbana,CCAP 927/14,30,"Sayegh, F. a Q., and D. J. S. Montagnes. 2011. Temperature shifts induce intraspecific variation in microalgal production and biochemical composition. Bioresource technology 102:3007-3013."
Karenia brevis,,4200,"Van Dolah, F. M., T. a. Leighfield, D. Kamykowski, and G. J. Kirkpatrick. 2008. Cell cycle behavior of laboratory and field populations of the Florida red tide dinoflagellate, Karenia brevis. Continental Shelf Research 28:11_23."
Limnothrix redekei,,27.78,"Wernicke, P. and A. Nicklisch. 1986. Light dark cycle and temperature: their impact on phosphate-limited growth of Oscillatoria redekei Vangoor in semicontinuous culture. Internationale Revue Der Gesamten Hydrobiologie 71:297-313."
Microcystis aeruginosa,,66,"Robarts, R., and T. Zohary. 1984. Microcystis aeruginosa and underwater light attenuation in a hypertrophic lake. Journal of Ecology 72:1001-1017."
Microcystis sp. ,,7.11,"Gotham, I. J. and G. Y. Rhee. 1981. Comparative kinetic studies of phosphate-limited growth and phosphate uptake in phytoplankton continuous culture. Journal of Phycology 17:257-265."
Micromonas pusilla,NEPCC 29,2.25,"Cochlan, W. P. and P. J. Harrison. 1991. Kinetics of nitrogen (nitrate, ammonium and urea) uptake by the picoflagellate Micromonas pusilla (Prasinophyceae). Journal of Experimental Marine Biology and Ecology 153:129-141."
Monodus subterraneus,,66,"Passarge, J., S. Hol, M. Escher, and J. Huisman. 2006. Competition for nutrients and light: Stable coexistence, alternative stable states, or competitive exclusion? Ecological Monographs 76:57-72."
Monoraphidium griffithii,,151,"Passarge, J., S. Hol, M. Escher, and J. Huisman. 2006. Competition for nutrients and light: Stable coexistence, alternative stable states, or competitive exclusion? Ecological Monographs 76:57-72."
Monoraphidium minutum,,21,"Dauta, A. 1982. Conditions de developpement du phytoplancton: Ûtude comparative du comportement de huit especes en culture. I. Determination des parametres de croissance en fonction de la lumere et de la temperature. Annales de limnologie 18:217-262."
Nitzschia acicularis,,360.47,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Nitzschia closterium,,78,"Carpenter, E. J. 1970. Phosphorus requirements of two planktonic diatoms in steady state culture. Journal of Phycology 6:28-30."
Nitzschia linearis,,875,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Nitzschia longissima,,50.75,"Romeo, A. J. and N. S. Fisher. 1982. Intraspecific comparisons of nitrate uptake in three marine diatoms. Journal of Phycology 18:220-225."
Nitzschia palea,,216.67,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Nitzschia sp. 3,,187.5,"Yamamoto, T., M. Suzuki, K. Kim, and S. Asaoka. 2012. Growth and uptake kinetics of phosphate by benthic microalga Nitzschia sp isolated from Hiroshima Bay, Japan. Phycological Research 60:223-228."
Oocystis pusilla,,97.56,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Pavlova lutheri,,36,"Burmaster, D. E. 1979. Unsteady continuous culture of phosphate limited Monochrysis lutheri Droop: Experimental and theoretical analysis. Journal of Experimental Marine Biology and Ecology 39:167-186."
Pavlova lutheri,CCMP 1325,37,"Lomas, M. W. and P. M. Glibert. 2000. Comparisons of nitrate uptake, storage, and reduction in marine diatoms and flagellates. Journal of Phycology 36:903-913."
Pediastrum boryanum,,350,"Dauta, A. 1982. Conditions de developpement du phytoplancton: Ûtude comparative du comportement de huit especes en culture. I. Determination des parametres de croissance en fonction de la lumere et de la temperature. Annales de limnologie 18:217-262."
Pelagomonas calceolata,CCMP 1756,14.14,"Timmermans, K. R., B. van der Wagt, M. J. W. Veldhuis, A. Maatman, and H. J. W. de Baar. 2005. Physiological responses of three species of marine pico-phytoplankton to ammonium, phosphate, iron and light limitation. Journal of Sea Research 53:109-120."
Phaeocystis pouchetii,,166,"Olenin, I., S. Hadju, L. Edler, A. Andersson, N. Wasmun, S. Busch, J. Gobel, S. Gromisz, S. Huseby, M. Huttunen, A. Jaanus, P. Kokoonen, I. Ledaine, and E. Niemkiewicz. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HELCOM Balt. Sea Environ. Proc. No. 106. "
Phaeodactylum tricornutum,CCMP 630,126,"Strathmann, R. 1967. Estimating the organic carbon content of phytoplankton from cell volume or plasma volume. Limnology and oceanography 12:411-418."
Planktothrix agardhii,,85,"Akcaalan, R., F. M. Young, J. S. Metcalf, L. F. Morrison, M. Albay, and G. A. Codd. 2006. Microcystin analysis in single filaments of Planktothrix spp. in laboratory cultures and environmental blooms. Water research 40:1583-90."
Planktothrix agardhii,,50,"Montealegre, R. J., J. Verreth, K. Steenbergen, J. Moed, and M. Machiels. 1995. A dynamic simulation model for the blooming of Oscillatoria agardhii in a monomictic lake. Ecological Modelling 78:17-24."
Prasinomonas capsulatus,CCMP 1617,33.51,"Timmermans, K. R., B. van der Wagt, M. J. W. Veldhuis, A. Maatman, and H. J. W. de Baar. 2005. Physiological responses of three species of marine pico-phytoplankton to ammonium, phosphate, iron and light limitation. Journal of Sea Research 53:109-120."
Prochlorococcus,,0.113,"Campbell, L., and H. A. Nolla. 1993. The importance of Prochlorococcus to community structure in the central North Pacific Ccean. Limnology and Oceanography 39:954-961. "
Prochlorothrix hollandica,PCC 9006,20.42,"Burger-wiersma, T., L. J. Stal, and L. R. Mur. 1989. Prochlorothrix hollandica gen. nov., sp. nov., a Filamentous Oxygenic Photoautotrophic Procaryote Containing Chlorophylls a and b: Assignment to Prochlovotrichaceae fam. nov. and Order Prochlorales Florenzano, Balloni, and Materassi 1986, with Emendation. International Journal of Systematic Bateriology 39:250-257."
Prorocentrum donghaiense,,1799,"Ou, L. J., D. Wang, B. Q. Huang, H. S. Hong, Y. Z. Qi, and S. H. Lu. 2008. Comparative study of phosphorus strategies of three typical harmful algae in Chinese coastal waters. Journal of Plankton Research 30:1007-1017."
Prorocentrum micans,,21250,"Olenin, I., S. Hadju, L. Edler, A. Andersson, N. Wasmun, S. Busch, J. Gobel, S. Gromisz, S. Huseby, M. Huttunen, A. Jaanus, P. Kokoonen, I. Ledaine, and E. Niemkiewicz. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HELCOM Balt. Sea Environ. Proc. No. 106. "
Prorocentrum minimum,,907,"Lomas, M. W. and P. M. Glibert. 2000. Comparisons of nitrate uptake, storage, and reduction in marine diatoms and flagellates. Journal of Phycology 36:903-913."
Pseudo-nitzschia pungens,,2266,"Olenin, I., S. Hadju, L. Edler, A. Andersson, N. Wasmun, S. Busch, J. Gobel, S. Gromisz, S. Huseby, M. Huttunen, A. Jaanus, P. Kokoonen, I. Ledaine, and E. Niemkiewicz. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HELCOM Balt. Sea Environ. Proc. No. 106. "
Pyrocystis fusiformis,,8000000,"Shuter, B. 1978. Size dependence of phosphorus and nitrogen subsistence quotas in unicellular microorganisms. Limnology and Oceanography 23:1248-1255."
Pyrocystis lunula,,195000,"Shuter, B. 1978. Size dependence of phosphorus and nitrogen subsistence quotas in unicellular microorganisms. Limnology and Oceanography 23:1248-1255."
Pyrocystis noctiluca,,14000000,"Rivkin, R. B. and E. Swift. 1982. Phosphate uptake by the oceanic dinoflagellate Pyrocystis noctiluca. Journal of Phycology 18:113-120."
Pyrocystis noctiluca,,17000000,"Shuter, B. 1978. Size dependence of phosphorus and nitrogen subsistence quotas in unicellular microorganisms. Limnology and Oceanography 23:1248-1255."
Rhabdoderma lineare,,43,"Olenin, I., S. Hadju, L. Edler, A. Andersson, N. Wasmun, S. Busch, J. Gobel, S. Gromisz, S. Huseby, M. Huttunen, A. Jaanus, P. Kokoonen, I. Ledaine, and E. Niemkiewicz. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HELCOM Balt. Sea Environ. Proc. No. 106. "
Scenedesmus crassus,,100,"Dauta, A. 1982. Conditions de developpement du phytoplancton: Ûtude comparative du comportement de huit especes en culture. I. Determination des parametres de croissance en fonction de la lumere et de la temperature. Annales de limnologie 18:217-262."
Scenedesmus quadricauda,,180,"Dauta, A. 1982. Conditions de developpement du phytoplancton: Ûtude comparative du comportement de huit especes en culture. I. Determination des parametres de croissance en fonction de la lumere et de la temperature. Annales de limnologie 18:217-262."
Scenedesmus quadricauda,,93.02,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Scenedesmus quadricauda,UTEX 76,1125,"Lang, D. S. and E. J. Brown. 1981. Phosphorus-limited growth of a green alga and a blue-green alga. Applied and Environmental Microbiology 42:1002-1009."
Scenedesmus quadricauda,,276.21,"Rocha, O., A. Duncan, D. S. Carlos, and S. Carlos. 1985. The relationship between cell carbon and cell volume in freshwater algal species used in zooplanktonic studies. Journal of Plankton Research 7:279-294."
Scenedesmus sp.,,110,"Gotham, I. J. and G. Y. Rhee. 1981. Comparative kinetic studies of nitrate-limited growth and nitrate uptake in phytoplankton continuous culture. Journal of Phycology 17:309-314."
Scenedesmus sp.,,245,"Gotham, I. J. and G. Y. Rhee. 1981. Comparative kinetic studies of phosphate-limited growth and phosphate uptake in phytoplankton continuous culture. Journal of Phycology 17:257-265."
Selenastrum capricornutum,,106,"Passarge, J., S. Hol, M. Escher, and J. Huisman. 2006. Competition for nutrients and light: Stable coexistence, alternative stable states, or competitive exclusion? Ecological Monographs 76:57-72."
Selenastrum minutum,,12.2,"Butler, N., C. Suttle, and W. Neill. 1989. Discrimination by freshwater zooplankton between single algal cells differing in nutritional status. Oecologia 78:368-372."
Skeletonema costatum,,173,"Harrison, P. J., H. L. Conway, R. W. Holmes, and C. O. Davis. 1977. Marine diatoms grown  in chemostats under silicate or ammonium limitation. 3. Cellular chemical composition and morphology of Chaetoceros debilis, Skeletonema costatum, and Thalassiosira gravida. Marine Biology 43:19-31."
Skeletonema costatum,CCMP 1332,406,"Lomas, M. W. and P. M. Glibert. 2000. Comparisons of nitrate uptake, storage, and reduction in marine diatoms and flagellates. Journal of Phycology 36:903-913."
Skeletonema costatum,,113,"Ou, L. J., D. Wang, B. Q. Huang, H. S. Hong, Y. Z. Qi, and S. H. Lu. 2008. Comparative study of phosphorus strategies of three typical harmful algae in Chinese coastal waters. Journal of Plankton Research 30:1007-1017."
Skeletonema costatum,,52,"Romeo, A. J. and N. S. Fisher. 1982. Intraspecific comparisons of nitrate uptake in three marine diatoms. Journal of Phycology 18:220-225."
Sphaerocystis schroeteri,,217.65,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Staurastrum chaetoceros,,1500,"Spijkerman, E. and P. F. M. Coesel. 1996. Phosphorus uptake and growth kinetics of two planktonic desmid species. European Journal of Phycology 31:53-60."
Staurastrum luetkemuellerii,,2691,"Olsen, Y. 1989. Evaluation of competitive ability of Staurastrum leutkemuellerii (Chlorophyceae) and Microcystic aeruginosa (Cyanophyceae) under P limitation. Journal of Phycology 25:486-499."
Staurastrum paradoxum,,2727,"Healey, F. P. and L. L. Hendzel. 1988. Competition for phosphorus between desmids. Journal of Phycology 24:287-292."
Staurastrum pingue,,2000,"Spijkerman, E. and P. F. M. Coesel. 1996. Phosphorus uptake and growth kinetics of two planktonic desmid species. European Journal of Phycology 31:53-60."
Synechococcus sp.,,2.4,"Lang, D. S. and E. J. Brown. 1981. Phosphorus-limited growth of a green alga and a blue-green alga. Applied and Environmental Microbiology 42:1002-1009."
Synechococcus sp.,WH7803,0.46,"Morel, A., Y.-H. Ahn, F. Partensky, D. Vaulot, and H. Claustre. 1993. Prochlorococcus and Synechococcus: A comparative study of their optical properties in relation to their size and pigmentation. Journal of Marine Research 51:617-649."
Synechococcus sp.,CCMP 893,14.14,"Timmermans, K. R., B. van der Wagt, M. J. W. Veldhuis, A. Maatman, and H. J. W. de Baar. 2005. Physiological responses of three species of marine pico-phytoplankton to ammonium, phosphate, iron and light limitation. Journal of Sea Research 53:109-120."
Synechocystis,PCC 6803,8,"Passarge, J., S. Hol, M. Escher, and J. Huisman. 2006. Competition for nutrients and light: Stable coexistence, alternative stable states, or competitive exclusion? Ecological Monographs 76:57-72."
Synedra acus,,158,"Smith, R. E. H. and J. Kalff. 1982. Size-dependent phosphorus uptake kinetics and cell quota in phytoplankton. Journal of Phycology 18:275-284."
Synedra radians,,369.57,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Synedra rumpens,,352.94,"Grover, J. P. 1989. Phorphorus-dependent growth kinetics of 11 species of freshwater algae. Limnology and Oceanography 34:341-348."
Synedra ulna,,5100,"Smith, R. E. H. and J. Kalff. 1982. Size-dependent phosphorus uptake kinetics and cell quota in phytoplankton. Journal of Phycology 18:275-284."
Tetraselmis subcordiformis,,236,"Dickson, D. M., and G. O. Kirst. 1986. The role of Beta-dimethylsulphoniopropionate, glycine betaine and homarine in the osmoacclimation of Platymonas subcordiformis. Planta 167:536-43."
Thalassiosira gravida,,5620,"Harrison, P. J., H. L. Conway, R. W. Holmes, and C. O. Davis. 1977. Marine diatoms grown  in chemostats under silicate or ammonium limitation. 3. Cellular chemical composition and morphology of Chaetoceros debilis, Skeletonema costatum, and Thalassiosira gravida. Marine Biology 43:19-31."
Thalassiosira oceanica,CCMP 1005,14,"Caperon, J. and J. Meyer. 1972. Nitrogen-limited growth of marine phytoplankton. II. Uptake kinetics in nutrient limited growth of phytoplankton. Deep-Sea Research 19:619-632."
Thalassiosira oceanica,CCMP 1005,102,"Eppley, R. W. and E. H. Renger. 1974. Nitrogen assimilation of an oceanic diatom in nitrogen-limited continuous culture. Journal of Phycology 10:15-23."
Thalassiosira pseudonana,CCMP 1335,81,"Carpenter, E. J. 1970. Phosphorus requirements of two planktonic diatoms in steady state culture. Journal of Phycology 6:28-30."
Thalassiosira pseudonana,,77.5,"Fuhs, G. W., S. D. Demmerle, E. Canelli, and M. Chen. 1972. Characterization of phosphorus-limited algae.in G. E. Likens, editor. Nutrients and eutrophication. Allen Press Inc., Lawrence, Kansas."
Thalassiosira pseudonana,CCMP 1335,30,"Zehr, J. P., P. G. Falkowski, J. Fowler, and D. G. Capone. 1988. Coupling between ammonium uptake and incorporation in a marine diatom: experiments with the short-lived radioisotope N-13. Limnology and Oceanography 33:518-527."
Thalassiosira rotula,,15072,"Olenin, I., S. Hadju, L. Edler, A. Andersson, N. Wasmun, S. Busch, J. Gobel, S. Gromisz, S. Huseby, M. Huttunen, A. Jaanus, P. Kokoonen, I. Ledaine, and E. Niemkiewicz. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HELCOM Balt. Sea Environ. Proc. No. 106. "
Thalassiosira weissflogii,,1570,"Fuhs, G. W., S. D. Demmerle, E. Canelli, and M. Chen. 1972. Characterization of phosphorus-limited algae.in G. E. Likens, editor. Nutrients and eutrophication. Allen Press Inc., Lawrence, Kansas."
Thalassiosira weissflogii,CCMP 1047,2132,"Lomas, M. W. and P. M. Glibert. 2000. Comparisons of nitrate uptake, storage, and reduction in marine diatoms and flagellates. Journal of Phycology 36:903-913."
Thalassiosira weissflogii,CCMP 1336,2254,"Mullin, M., P. Sloan, and R. Eppley. 1966. Relationship between carbon content, cell volume, and area in phytoplankton. Limnology and oceanography 11:307-311."
Trichodesmium erythraeum,IMS101,950,"Fu, F.-X., Y. Zhang, P. R. F. Bell, and D. A. Hutchins. 2005. Phosphate Uptake and Growth Kinetics of Trichodesmium (Cyanobacteria) Isolates From the North Atlantic Ocean and the Great Barrier Reef, Australia. Journal of Phycology 41:62-73."
Volvox aureus,,588.98,"Solari, C. a, J. O. Kessler, and R. E. Michod. 2006. A hydrodynamics approach to the evolution of multicellularity: flagellar motility and germ-soma differentiation in volvocalean green algae. The American naturalist 167:537-54."
