species,isolate,taxon,system,temperature,irradiance,light_hours,synonym,volume,c_per_cell,c_citation,mu_inf_amm,mu_amm,k_amm_m,k_amm,vmax_amm,vmax_amm_c,qmin_amm,qmin_amm_c,qmax_amm,qmax_amm_c,mu_inf_nit,mu_nit,k_nit_m,k_nit,vmax_nit,vmax_nit_c,qmin_nit,qmin_nit_c,qmax_nit,qmax_nit_c,mu_inf_p,mu_p,k_p_m,k_p,vmax_p,vmax_p_c,qmin_p,qmin_p_c,qmax_p,qmax_p_c,citation
Euglena gracilis var. bacillaris,,euglenoid,freshwater,25,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,5.47E-06,NA,NA,NA,NA,NA,10
Isochrysis galbana,CCAP 927/14,haptophyte,marine,27,130,24,Isochrysis affinis galbana,NA,5.85E-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,0.1,5.62E-06,9.6,3.80E-08,0.065,8.48E-08,0.145,1.5,NA,NA,0.05,5.85E-09,0.01,5.27E-10,9.00E-04,1.93E-08,0.033,11
Selenastrum capricornutum,,green,freshwater,20,56,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,1.00E-09,NA,5.65E-08,NA,12
Ditylum brightwellii,CCMP358,diatom,marine,13,112.5,16,,15500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.83,NA,NA,NA,NA,2.50E-05,NA,NA,NA,0.59,0.83,NA,NA,NA,NA,1.80E-07,NA,NA,NA,13
Pavlova lutheri,,haptophyte,marine,20,85,24,Monochrysis lutheri,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,7.02E-10,NA,NA,NA,14
Pavlova lutheri,,haptophyte,marine,20,85,24,Monochrysis lutheri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,6.77E-07,NA,NA,NA,NA,NA,15
Isochrysis galbana,,haptophyte,marine,NA,NA,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,3.10E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.72E-10,NA,NA,NA,16
Dunaliella tertiolecta,,green,marine,25,309,24,,54,1.43E-06,0,NA,1.8,NA,NA,NA,NA,6.29E-08,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
Aphanothece stagnina,,cyano,marine,25,309,24,Coccochloris stagnina,20,7.20E-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,NA,NA,NA,NA,5.40E-09,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
Thalassiosira oceanica,CCMP 1005,diatom,marine,25,309,24,Cyclotella nana,14,3.80E-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,1.60E-08,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
Nitzschia closterium,,diatom,marine,15.5,74,19,Cylindrotheca closterium,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06E-09,NA,NA,NA,18
Thalassiosira pseudonana,CCMP 1335,diatom,marine,15.5,74,19,Cyclotella nana,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05E-09,NA,NA,NA,18
Fragilaria pinnata,,diatom,marine,20,76,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
Fragilaria pinnata,CCMP 398,diatom,marine,20,76,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
Thalassiosira pseudonana,CCMP 1335,diatom,marine,20,76,14,Cyclotella nana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
Thalassiosira pseudonana,,diatom,marine,20,76,14,Cyclotella nana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
Thalassiosira oceanica,CCMP 1005,diatom,marine,20,76,14,Cyclotella nana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
Alexandrium tamarense,,dino,marine,NA,NA,NA,Protogonyaulax tamarensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,7.18E-06,NA,NA,NA,NA,NA,20
Prorocentrum minimum,,dino,marine,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,4.01E-06,NA,NA,NA,NA,NA,20
Alexandrium minutum,RCC 1490,dino,marine,18,200,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,0.28,1.27E-06,NA,1.90E-07,NA,1.55E-06,NA,21
Heterocapsa triquetra,,dino,marine,18,200,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,0.97,8.00E-07,NA,1.32E-07,NA,7.52E-07,NA,21
Pseudo-nitzschia pungens,,diatom,marine,20,70,NA,,NA,NA,NA,1.45,NA,NA,2.18,4.54E-05,NA,6.30E-07,NA,NA,NA,NA,NA,NA,2.29,1.75E-05,NA,NA,NA,NA,NA,NA,NA,NA,1.4,3.55E-06,NA,6.90E-08,NA,NA,NA,22
Euglena gracilis,,green,freshwater,26,375,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.23E-06,NA,8.00E-08,NA,NA,NA,23
Tetraselmis subcordiformis,,green,marine,20,140,14,Carteria subcordiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,1.20E-06,NA,2.40E-09,NA,NA,NA,81
Micromonas pusilla,NEPCC 29,green,marine,17,120,NA,,2.25,NA,NA,NA,NA,NA,0.4,2.65E-08,NA,NA,NA,NA,NA,NA,1.11,NA,0.47,1.00E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
Anabaena cylindrica,,cyano,freshwater,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.70E-08,NA,1.30E-07,NA,NA,NA,NA,NA,NA,NA,5.40E-10,NA,3.18E-09,NA,25
Coelastrum microporum,,green,freshwater,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.10E-08,NA,2.00E-07,NA,NA,NA,NA,NA,NA,NA,1.90E-09,NA,1.16E-08,NA,25
Dictyosphaerium pulchellum,,green,freshwater,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.40E-08,NA,1.30E-07,NA,NA,NA,NA,NA,NA,NA,8.70E-10,NA,6.60E-09,NA,25
Fragilaria bidens,,diatom,freshwater,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60E-07,NA,5.30E-07,NA,NA,NA,NA,NA,NA,NA,1.20E-08,NA,6.80E-08,NA,25
Monoraphidium minutum,,green,freshwater,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-08,NA,9.30E-08,NA,NA,NA,NA,NA,NA,NA,1.73E-09,NA,3.06E-08,NA,25
Pediastrum boryanum,,green,freshwater,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80E-07,NA,2.60E-07,NA,NA,NA,NA,NA,NA,NA,7.56E-09,NA,4.69E-08,NA,25
Scenedesmus crassus,,green,freshwater,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20E-07,NA,3.90E-07,NA,NA,NA,NA,NA,NA,NA,1.24E-09,NA,8.33E-09,NA,25
Scenedesmus quadricauda,,green,freshwater,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70E-07,NA,3.80E-07,NA,NA,NA,NA,NA,NA,NA,7.33E-09,NA,4.14E-08,NA,25
Anabaena cylindrica,,cyano,freshwater,10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,2.76E-08,NA,NA,NA,NA,NA,NA,NA,NA,0.47,1.53E-07,NA,NA,NA,NA,NA,25
Anabaena cylindrica,,cyano,freshwater,15,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,9.55E-08,NA,NA,NA,NA,NA,NA,NA,NA,0.62,1.89E-07,NA,NA,NA,NA,NA,25
Anabaena cylindrica,,cyano,freshwater,20,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,1.34E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.73,2.30E-07,NA,NA,NA,NA,NA,25
Anabaena cylindrica,,cyano,freshwater,25,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57,1.70E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2.66E-07,NA,NA,NA,NA,NA,25
Anabaena cylindrica,,cyano,freshwater,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,1.89E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.97,3.02E-07,NA,NA,NA,NA,NA,25
Coelastrum microporum,,green,freshwater,10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632,4.18E-07,NA,NA,NA,NA,NA,25
Coelastrum microporum,,green,freshwater,15,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18,5.74E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.828,5.64E-07,NA,NA,NA,NA,NA,25
Coelastrum microporum,,green,freshwater,20,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.61E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.952,6.43E-07,NA,NA,NA,NA,NA,25
Coelastrum microporum,,green,freshwater,25,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,2.19E-06,NA,NA,NA,NA,NA,NA,NA,NA,1.14,7.92E-07,NA,NA,NA,NA,NA,25
Coelastrum microporum,,green,freshwater,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.06,3.29E-06,NA,NA,NA,NA,NA,NA,NA,NA,1.196,9.86E-07,NA,NA,NA,NA,NA,25
Dictyosphaerium pulchellum,,green,freshwater,10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.94E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1.75E-07,NA,NA,NA,NA,NA,25
Dictyosphaerium pulchellum,,green,freshwater,15,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,5.52E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.47,4.56E-07,NA,NA,NA,NA,NA,25
Dictyosphaerium pulchellum,,green,freshwater,20,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03,8.16E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.7,7.61E-07,NA,NA,NA,NA,NA,25
Dictyosphaerium pulchellum,,green,freshwater,25,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,1.09E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.94,1.01E-06,NA,NA,NA,NA,NA,25
Dictyosphaerium pulchellum,,green,freshwater,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99,1.46E-06,NA,NA,NA,NA,NA,NA,NA,NA,1,1.21E-06,NA,NA,NA,NA,NA,25
Fragilaria bidens,,diatom,freshwater,10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48,2.47E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.16,2.83E-07,NA,NA,NA,NA,NA,25
Fragilaria bidens,,diatom,freshwater,15,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,3.91E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.32,3.43E-07,NA,NA,NA,NA,NA,25
Fragilaria bidens,,diatom,freshwater,20,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,5.33E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.49,3.84E-07,NA,NA,NA,NA,NA,25
Fragilaria bidens,,diatom,freshwater,25,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08,5.71E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.64,4.49E-07,NA,NA,NA,NA,NA,25
Fragilaria bidens,,diatom,freshwater,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,6.14E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.79,6.00E-07,NA,NA,NA,NA,NA,25
Monoraphidium minutum,,green,freshwater,10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.18E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.94,6.91E-08,NA,NA,NA,NA,NA,25
Monoraphidium minutum,,green,freshwater,15,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,4.80E-07,NA,NA,NA,NA,NA,NA,NA,NA,1.09,1.19E-07,NA,NA,NA,NA,NA,25
Monoraphidium minutum,,green,freshwater,20,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,5.18E-07,NA,NA,NA,NA,NA,NA,NA,NA,1.37,1.58E-07,NA,NA,NA,NA,NA,25
Monoraphidium minutum,,green,freshwater,25,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,5.42E-07,NA,NA,NA,NA,NA,NA,NA,NA,1.99,2.24E-07,NA,NA,NA,NA,NA,25
Monoraphidium minutum,,green,freshwater,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24,5.69E-07,NA,NA,NA,NA,NA,NA,NA,NA,1.85,1.79E-07,NA,NA,NA,NA,NA,25
Pediastrum boryanum,,green,freshwater,10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,1.07E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.24,4.61E-07,NA,NA,NA,NA,NA,25
Pediastrum boryanum,,green,freshwater,15,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,3.22E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.36,7.61E-07,NA,NA,NA,NA,NA,25
Pediastrum boryanum,,green,freshwater,20,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.92E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.48,9.79E-07,NA,NA,NA,NA,NA,25
Pediastrum boryanum,,green,freshwater,25,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,6.65E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.67,1.20E-06,NA,NA,NA,NA,NA,25
Pediastrum boryanum,,green,freshwater,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,8.18E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.58,1.36E-06,NA,NA,NA,NA,NA,25
Scenedesmus crassus,,green,freshwater,10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,4.39E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1.40E-07,NA,NA,NA,NA,NA,25
Scenedesmus crassus,,green,freshwater,15,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21,9.31E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.34,1.88E-07,NA,NA,NA,NA,NA,25
Scenedesmus crassus,,green,freshwater,20,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,1.28E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.62,2.76E-07,NA,NA,NA,NA,NA,25
Scenedesmus crassus,,green,freshwater,25,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,1.56E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.96,4.13E-07,NA,NA,NA,NA,NA,25
Scenedesmus crassus,,green,freshwater,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49,1.86E-06,NA,NA,NA,NA,NA,NA,NA,NA,1.28,6.00E-07,NA,NA,NA,NA,NA,25
Scenedesmus quadricauda,,green,freshwater,10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,3.02E-07,NA,NA,NA,NA,NA,25
Scenedesmus quadricauda,,green,freshwater,15,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,1.94E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.49,6.12E-07,NA,NA,NA,NA,NA,25
Scenedesmus quadricauda,,green,freshwater,20,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,5.52E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.72,8.74E-07,NA,NA,NA,NA,NA,25
Scenedesmus quadricauda,,green,freshwater,25,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49,6.48E-06,NA,NA,NA,NA,NA,NA,NA,NA,0.94,1.13E-06,NA,NA,NA,NA,NA,25
Scenedesmus quadricauda,,green,freshwater,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99,7.39E-06,NA,NA,NA,NA,NA,NA,NA,NA,1.09,1.32E-06,NA,NA,NA,NA,NA,25
Alexandrium minutum,,dino,marine,18,366,12,,NA,NA,NA,NA,0.38,NA,NA,NA,NA,6.20E-06,NA,NA,NA,0.816,0.43,NA,3.9,6.17E-06,NA,6.20E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
Alexandrium minutum,,dino,marine,12,366,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20E-06,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
Heterosigma akashiwo,,raphidophyte,marine,18,366,12,,NA,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,3.84,1.22,NA,NA,2.74E-06,NA,2.10E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
