"S.NO","ID","PHYLA","CLASS","ORDER","FAMILY","GENUS","SPECIES","STRAIN","ENVIRONMENT","PLANTSPHERE","HOST PHENOTYPE","PGPT BLAST-HMM COUNT","KEGG/IMG PGPT COUNT","IMG ISOLATION SITE","IMG SAMPLE ID","GENOME SIZE","GENE COUNT","IMG PROTEIN_COUNT","IS PUBLIC","IMG SEUQNECING STATUS","NCBI TAX ID","NCBI BIOPROJECT ID","NCBI BIOSAMPLE ID","NCBI REFSEQ ID","NCBI GBK ID","NCBI ASSEMBLY ID","NCBI WGS","NCBI LINK"
"16","PAB_0000000016","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. Leaf334","Cellulomonas sp. Leaf334 [PHYL]","Plants","Phyllosphere","not_announced","not_announced","1284","Arabidopsis leaf|Arabidopsis|Arabidopsis leaf","2643221900","4742537","4426","4364","Yes","Permanent Draft","1736339","PRJNA297956","SAMN04151729","GCF_001424195.1","GCA_001424195.1","Leaf334","LMOO00000000.1","link"
"17","PAB_0000000017","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. Leaf395","Cellulomonas sp. Leaf395 [PHYL]","Plants","Phyllosphere","not_announced","not_announced","1226","Arabidopsis leaf|Arabidopsis|Arabidopsis leaf","2643221818","4166651","3931","3873","Yes","Permanent Draft","1736362","PRJNA297956","SAMN04151752","GCF_001424125.1","GCA_001424125.1","Leaf395","LMQI00000000.1","link"
"18","PAB_0000000018","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. Root137","Cellulomonas sp. Root137 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","1298","Arabidopsis root|Arabidopsis thaliana|Arabidopsis root","2643221694","4392972","4156","4096","Yes","Permanent Draft","1736459","PRJNA297942","SAMN04155728","GCF_001426725.1","GCA_001426725.1","Root137","LMFG00000000.1","link"
"19","PAB_0000000019","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. Root485","Cellulomonas sp. Root485 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","1305","Arabidopsis root|Arabidopsis thaliana|Arabidopsis root","2643221690","4654705","4299","4239","Yes","Permanent Draft","1736546","PRJNA297942","SAMN04155815","GCF_001426705.1","GCA_001426705.1","Root485","LMFC00000000.1","link"
"20","PAB_0000000020","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. Root930","Cellulomonas sp. Root930 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","1236","Arabidopsis root|Arabidopsis thaliana|Arabidopsis root","2643221722","4247614","3981","3923","Yes","Permanent Draft","1736609","PRJNA297942","SAMN04155878","GCA_001429255.1","GCA_001429255.1","Root930","LMJI00000000.1","link"
"21","PAB_0000000021","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Oerskovia","Oerskovia sp. Root22","Oerskovia sp. Root22 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","1254","Arabidopsis root|Arabidopsis thaliana|Arabidopsis root","2643221613","4622396","4061","3996","Yes","Permanent Draft","1736494","PRJNA297942","SAMN04155763","GCF_001429135.1","GCA_001429135.1","Root22","LMIL00000000.1","link"
"22","PAB_0000000022","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Oerskovia","Oerskovia sp. Root918","Oerskovia sp. Root918 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","1246","Arabidopsis root|Arabidopsis thaliana|Arabidopsis root","2643221721","4486924","3962","3896","Yes","Permanent Draft","1736607","PRJNA297942","SAMN04155876","GCF_001428945.1","GCA_001428945.1","Root918","LMJG00000000.1","link"
"23","PAB_0000000023","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Pseudactinotalea","Pseudactinotalea suaedae","Pseudactinotalea suaedae KACC 17839","Plants","not_announced","not_announced","not_announced","1361","Suaeda physophora|Suaeda physophora","2887398948","4539704","4249","4183","Yes","Permanent Draft","1524924","PRJNA590627","SAMN13336168","GCF_009733815.1","GCA_009733815.1","ASM973381v1","WNXY00000000.1","link"
"24","PAB_0000000024","Actinobacteria","Actinomycetia","Micrococcales","Demequinaceae","Demequina","Demequina mangrovi","Demequina mangrovi NBRC 105856 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","964","not_announced","2700989458","2968093","2816","2762","Yes","Permanent Draft","1043493","PRJDB3045","SAMD00019178","GCF_000759715.1","GCA_000759715.1","ASM75971v1","BBLU00000000.1","link"
"25","PAB_0000000025","Actinobacteria","Actinomycetia","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium endophyticum","Brachybacterium endophyticum M1HQ-2","Plants","not_announced","not_announced","not_announced","1061","Scutellaria baicalensis|surface-sterilized of plant","2837086405","3553347","3224","3153","Yes","Permanent Draft","2182385","PRJNA454806","SAMN09041774","GCF_003130585.1","GCA_003130585.1","ASM313058v1","QFKX00000000.1","link"
"26","PAB_0000000026","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium sp. J010B-136","Corynebacterium sp. J010B-136 [PHYL]","Plants","Phyllosphere","not_announced","not_announced","937","cassava|cassava leaf","2862046466","2863794","2709","2642","Yes","Permanent Draft","2099401","PRJNA435507","SAMN08580516","GCF_002967075.1","GCA_002967075.1","ASM296707v1","PUGE00000000.1","link"
"27","PAB_0000000027","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","unclassified Corynebacteriaceae","Corynebacterium-like bacterium B27","Corynebacterium-like bacterium B27","Plants","not_announced","not_announced","not_announced","1089","not_announced","2590828100","4230738","4893","4837","Yes","Permanent Draft","95617","PRJDA69967","SAMD00036573","GCA_000333435.1","GCA_000333435.1","ASM33343v1","BADC00000000.1","link"
"28","PAB_0000000028","Actinobacteria","Actinomycetia","Corynebacteriales","unclassified Corynebacteriales","Fodinicola","Fodinicola acaciae","Fodinicola acaciae GKU 173","Plants","not_announced","not_announced","not_announced","1858","Acacia mangium|Acacia mangium","2887328710","8860993","8639","8536","Yes","Permanent Draft","2681555","PRJNA592404","SAMN13425622","GCF_010993745.1","GCA_010993745.1","ASM1099374v1","WOTN00000000.1","link"
"29","PAB_0000000029","Actinobacteria","Actinomycetia","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium saurashtrense","Brachybacterium saurashtrense DSM 23186 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","1142","Salicornia brachiata|roots of Salicornia brachiata from coastal marshy swamps|Salicornia brachiata|roots of Salicornia brachiata from coastal marshy swamps","2848551377","3720646","3372","3297","Yes","Finished","556288","PRJNA484272","SAMN09762369","GCF_003994295.1","GCA_003994295.1","ASM399429v1","QSWH00000000.1","link"
"30","PAB_0000000030","Actinobacteria","Actinomycetia","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium sp. AG952","Brachybacterium sp. AG952","Plants","not_announced","not_announced","not_announced","1096","Oryza sativa|Oryza sativa","2767802490","3708640","3372","3307","Yes","Permanent Draft","2183989","PRJNA456345","SAMN09083407","GCF_004362645.1","GCA_004362645.1","ASM436264v1","SNXV00000000.1","link"
"31","PAB_0000000031","Actinobacteria","Actinomycetia","Kineosporiales","Kineosporiaceae","Kineosporia","Kineosporia rhamnosa","Kineosporia rhamnosa JCM 9954 [PHYL]","Plants","Phyllosphere","not_announced","not_announced","487","Typha latifolia|Leaves of cat|Plant|Typha latifolia|Leaves of cat-tail (Typha latifolia)","2734481998","5850563","10219","10148","Yes","Permanent Draft","1307454","PRJDB1003","SAMD00017040","GCA_001315665.1","GCA_001315665.1","ASM131566v1","BBID00000000.1","link"
"32","PAB_0000000032","Actinobacteria","Actinomycetia","Kineosporiales","Kineosporiaceae","Kineosporia","Kineosporia rhizophila","Kineosporia rhizophila JCM 9960 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","590","Cyperus microiria|Root of Galingale|Plant root|Cyperus microiria|Root of Galingale (Cyperus microiria)","2734482000","5525167","9339","9264","Yes","Permanent Draft","1307456","PRJDB1005","SAMD00017042","GCA_001315705.1","GCA_001315705.1","ASM131570v1","BBIF00000000.1","link"
"33","PAB_0000000033","Actinobacteria","Actinomycetia","Kineosporiales","Kineosporiaceae","Kineosporia","Kineosporia succinea","Kineosporia succinea JCM 9957 [PHYL]","Plants","Phyllosphere","not_announced","not_announced","218","Fallen leaves|forest|Fallen leaves, Saitama, Japan","2734481999","2128219","3905","3854","Yes","Permanent Draft","1307455","PRJDB1004","SAMD00017041","GCA_001315685.1","GCA_001315685.1","ASM131568v1","BBIE00000000.1","link"
"34","PAB_0000000034","Actinobacteria","Actinomycetia","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium sp. YJGR34","Brachybacterium sp. YJGR34","Plants","not_announced","not_announced","not_announced","1231","Kalidium foliatum|Kalidium foliatum (Pall.) Moq","2866054653","3993751","3680","3613","Yes","Permanent Draft","2059911","PRJNA421643","SAMN08148593","GCF_003347015.1","GCA_003347015.1","ASM334701v1","PNFB00000000.1","link"
"35","PAB_0000000035","Actinobacteria","Actinomycetia","Micrococcales","Dermacoccaceae","Dermacoccus","Dermacoccus sp. SAI-028","Dermacoccus sp. SAI-028 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","906","Sorghum bicolor|Sorghum roots","2784132109","3141763","2902","2838","Yes","Permanent Draft","2485144","PRJNA500367","SAMN10363205","GCF_004346775.1","GCA_004346775.1","ASM434677v1","SMFS00000000.1","link"
"36","PAB_0000000036","Actinobacteria","Actinomycetia","Micrococcales","Dermacoccaceae","Flexivirga","Flexivirga oryzae","Flexivirga oryzae DSM 105369","Plants","not_announced","not_announced","not_announced","1344","rice paddy|rice|rice paddy","2821263656","4991146","4845","4756","Yes","Permanent Draft","1794944","PRJNA546942","SAMN12025573","GCF_014190805.1","GCA_014190805.1","ASM1419080v1","JACHVQ000000000.1","link"
"37","PAB_0000000037","Actinobacteria","Actinomycetia","Micrococcales","Dermacoccaceae","Rudaeicoccus","Rudaeicoccus suwonensis","Rudaeicoccus suwonensis DSM 19560 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","1043","epidermal tissue of a surface|Phalaenopsis orchid|epidermal tissue of a surface-sterilized root of a Phalaenopsis orchid","2818991236","3827835","3570","3509","Yes","Permanent Draft","657409","PRJNA347153","SAMN05877996","GCF_007829035.1","GCA_007829035.1","ASM782903v1","VIVQ00000000.1","link"
"38","PAB_0000000038","Actinobacteria","Actinomycetia","Corynebacteriales","Dietziaceae","Dietzia","Dietzia cinnamea","Dietzia cinnamea 55 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1034","not_announced","2786546145","3549427","3354","3290","Yes","Permanent Draft","321318","PRJNA500537","SAMN10363100","GCF_004346635.1","GCA_004346635.1","ASM434663v1","SMCX00000000.1","link"
"39","PAB_0000000039","Actinobacteria","Actinomycetia","Corynebacteriales","Dietziaceae","Dietzia","Dietzia kunjamensis","Dietzia kunjamensis schimae DSM 45139 [PHYL]","Plants","Phyllosphere","not_announced","not_announced","1074","Schima|surface-sterilized stem sample of Schima sp.","2724679793","3648026","3418","3358","Yes","Permanent Draft","498198","PRJNA363539","SAMN06265174","GCF_900182685.1","GCA_900182685.1","IMG-taxon 2724679793 annotated assembly","FXTG00000000.1","link"
"40","PAB_0000000040","Actinobacteria","Actinomycetia","Corynebacteriales","Dietziaceae","Dietzia","Dietzia timorensis","Dietzia timorensis ID05-A0528 [RHIZ]","Plants|Soil","Rhizosphere","not_announced","not_announced","955","mahogany tree|soil under mahogany trees","2744054500","3430606","3326","3271","Yes","Permanent Draft","499555","PRJNA300343","SAMN04219460","GCF_001651825.1","GCA_001651825.1","ASM165182v1","LMTB00000000.1","link"
"41","PAB_0000000041","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia asymbiotica","Frankia asymbiotica NRRL B-16386 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1618","Morella californica|root nodule of Morella californica","2773857921","9435764","7904","7821","Yes","Finished","1834516","PRJNA318441","SAMN04851310","GCF_001983105.1","GCA_001983105.1","ASM198310v1","MOMC00000000.1","link"
"42","PAB_0000000042","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia casuarinae","Frankia casuarinae Thr [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1133","Casuarina cunninghamiana|Nodule Casuarina cunninghamiama|Casuarina cunninghamiana|Nodule Casuarina cunninghamiama","2527291627","5309833","4869","4805","Yes","Permanent Draft","106370","PRJNA209994","SAMN02639461","GCF_000611815.2","GCA_000611815.2","ASM61181v2","JENI00000000.1","link"
"43","PAB_0000000043","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia casuarinae","Frankia casuarinae BR","Plants","not_announced","not_announced","not_announced","1112","Casuarina equisetifolia|Casuarina equisetifolia","2639762510","5227240","4841","4777","Yes","Permanent Draft","106370","PRJNA282820","SAMN03579665","GCF_001636575.1","GCA_001636575.1","ASM163657v1","LRTJ00000000.1","link"
"44","PAB_0000000044","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia coriariae","Frankia coriariae BMG5.1","Plants","not_announced","not_announced","not_announced","1122","Coriaria sp.|Tunisia|Coriaria sp.|Tunisia","2700989114","5789716","5333","5277","Yes","Permanent Draft","1562887","PRJNA264340","SAMN03121018","GCF_001017755.1","GCA_001017755.1","ASM101775v1","JWIO00000000.1","link"
"45","PAB_0000000045","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia discariae","Frankia discariae BCU110501 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1350","root nodule of Discaria trinervis|Discaria trinervis|root nodule of Discaria trinervis","2515154087","7891711","6839","6742","Yes","Permanent Draft","365528","PRJNA169728","SAMN02441714","GCF_000373365.1","GCA_000373365.1","ASM37336v1","ARDT00000000.1","link"
"46","PAB_0000000046","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia elaeagni","Frankia elaeagni BMG5.12 [PSYMB]","Plants|Soil","not_announced","Plant Symbiont","not_announced","1350","Soil|Soil","2517093007","7589313","6342","6253","Yes","Permanent Draft","222534","PRJNA170084","SAMN02440438","GCF_000374165.1","GCA_000374165.1","ASM37416v1","ARFH00000000.1","link"
"47","PAB_0000000047","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia irregularis","Frankia irregularis DSM 45899 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1594","root nodules of Casuarina equisetifolia| Casuarina equisetifolia|root nodules of Casuarina equisetifolia","2634166352","9537992","7873","7790","Yes","Permanent Draft","795642","PRJNA300601","SAMN04233181","GCF_001536285.1","GCA_001536285.1","IMG-taxon 2634166352 annotated assembly","FAOZ00000000.1","link"
"48","PAB_0000000048","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia saprophytica","Frankia saprophytica CN3 [SPER|PSYMB]","Plants|Soil","Spermosphere","Plant Symbiont","not_announced","1703","soil samples with coriaria nepalensis seeds from Muree|coriaria nepalensis|soil samples with coriaria nepalensis seeds from Muree, Northern Pakistan","2508501039","9978592","8411","8332","Yes","Permanent Draft","298655","PRJNA61207","SAMN02256511","GCF_000235425.2","GCA_000235425.3","ASM23542v3","AGJN00000000.2","link"
"49","PAB_0000000049","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia sp. ACN1ag","Frankia sp. ACN1ag [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1383","nodules of Alnus glutinosa|nodules of Alnus viridis spp crispa|Alnus glutinosa|nodules of Alnus viridis spp crispa","2619618881","7521104","6312","6247","Yes","Permanent Draft","102891","PRJNA275977","SAMN03353435","GCF_001414035.1","GCA_001414035.1","ACN1AG","LJPA00000000.1","link"
"50","PAB_0000000050","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia sp. Allo2","Frankia sp. Allo2 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1123","Allocasuarina verticullara|Root nodules of  Allocasuarina verticullara|Plant symbiont|Allocasuarina verticullara|Root nodules of Allocasuarina verticullara","2576861409","5352113","4847","4777","Yes","Permanent Draft","981405","PRJNA218011","SAMN02344566","GCF_000733325.1","GCA_000733325.1","ASM73332v1","JPHT00000000.1","link"
"51","PAB_0000000051","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia sp AvcI.1","Frankia sp AvcI.1 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1414","Alnus viridis ssp crispa|isolated from plant root nodule Alnus viridis ssp crispa|Alnus viridis ssp crispa|isolated from plant root nodule Alnus viridis ssp crispa","2626541554","7741902","6530","6470","Yes","Permanent Draft","573496","PRJNA275998","SAMN03360499","GCF_001420875.1","GCA_001420875.1","Avc1","LJFZ00000000.1","link"
"52","PAB_0000000052","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia sp. B2","Frankia sp. B2 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1135","Casuarina cunninghamiana|isolated from plant root nodules|Casuarina cunninghamiana|isolated from plant root nodules","2895921873","5331321","4953","4871","Yes","Permanent Draft","2541730","PRJNA524914","SAMN11038663","GCF_004405155.1","GCA_004405155.1","ASM440515v1","SOPN00000000.1","link"
"53","PAB_0000000053","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia sp. BMG5.11","Frankia sp. BMG5.11 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","2388","Elaeagnus angustifolia|root nodule|Elaeagnus angustifolia|root nodule","2895880812","11255272","10281","10106","Yes","Permanent Draft","222540","PRJNA318498","SAMN04856672","GCF_004337455.1","GCA_004337455.1","ASM433745v1","SJXI00000000.1","link"
"54","PAB_0000000054","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia sp. BMGG5.23","Frankia sp. BMGG5.23 [PSYMB]","Plants","not_announced","Plant Symbiont","not_announced","1096","Casuarina glauca|Casuarina glauca","2576861579","5265958","4787","4723","Yes","Permanent Draft","683305","PRJNA217862","SAMN02338736","GCF_000685765.2","GCA_000685765.2","BMG5.23v1","JDWE00000000.1","link"
"55","PAB_0000000055","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia sp. BMG5.30","Frankia sp. BMG5.30 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1205","Coriaria myrtifolia|root nodule of Coriaria myrtifolia|Coriaria myrtifolia|root nodule of Coriaria myrtifolia","2773857933","5818019","5034","4976","Yes","Finished","1834514","PRJNA318444","SAMN04851312","GCF_001983005.1","GCA_001983005.1","ASM198300v1","MOME00000000.1","link"
"56","PAB_0000000056","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia sp. BMG5.36","Frankia sp. BMG5.36 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1786","Coriaria myrtifolia|root nodule of Coriaria myrtifolia|Coriaria myrtifolia|root nodule of Coriaria myrtifolia","2687453737","11203906","8330","8250","Yes","Permanent Draft","1834512","PRJNA318448","SAMN04851314","GCF_001854805.1","GCA_001854805.1","ASM185480v1","MBLO00000000.1","link"
"57","PAB_0000000057","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia sp. Cc1.17","Frankia sp. Cc1.17 [RHIZ|PSYMB]","Plants","Rhizosphere","Plant Symbiont","not_announced","1446","Colletia cruciata|Nodule of Colletia|Colletia cruciata|Nodule of Colletia","2687453743","8361025","6392","6343","Yes","Permanent Draft","573497","PRJNA217936","SAMN02343076","GCF_001854655.1","GCA_001854655.1","ASM185465v1","MBLM00000000.1","link"
