#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),CDS,Genes,Host,RefSeq category,tRNA
"Mesoplasma florum L1","Bacteria;Terrabacteria group;Tenericutes","L1; ATCC 33453","SAMN03081416","PRJNA10650","Complete",0.793224,680,715,,"reference",29
"Methylococcus capsulatus str. Bath","Bacteria;Proteobacteria;Gammaproteobacteria","Bath","SAMN02603968","PRJNA21","Complete",3.30456,2957,3078,,"representative",46
"Cutibacterium acnes KPA171202","Bacteria;Terrabacteria group;Actinobacteria","KPA171202","SAMN02603281","PRJNA12460","Complete",2.56026,2416,2565,"human","representative",45
"Mycoplasma mobile 163K","Bacteria;Terrabacteria group;Tenericutes","163K","SAMN03081417","PRJNA10697","Complete",0.777079,652,689,,"representative",28
"Wolbachia endosymbiont strain TRS of Brugia malayi","Bacteria;Proteobacteria;Alphaproteobacteria","","SAMN02603678","PRJNA12475","Complete",1.08008,839,1047,,"representative",34
"Idiomarina loihiensis L2TR","Bacteria;Proteobacteria;Gammaproteobacteria","L2TR","SAMN02604184","PRJNA10790","Complete",2.83932,2640,2722,,"representative",56
"Legionella pneumophila subsp. pneumophila str. Philadelphia 1","Bacteria;Proteobacteria;Gammaproteobacteria","Philadelphia 1","SAMN02603156","PRJNA22","Complete",3.39775,2943,3003,"human","reference",43
"[Bacillus thuringiensis] serovar konkukian str. 97-27","Bacteria;Terrabacteria group;Firmicutes","97-27","SAMN02598265","PRJNA10877","Complete",5.31479,5197,5343,,"reference",105
"Helicobacter pylori 26695","Bacteria;Proteobacteria;delta/epsilon subdivisions","26695","SAMN02603995","PRJNA233","Complete",1.66787,1445,1555,"human","reference",36
"Thermotoga maritima MSB8","Bacteria;Thermotogae;Thermotogae","MSB8","SAMN02603986","PRJNA111","Complete",1.86072,1858,1928,,"reference",46
"Deinococcus radiodurans R1","Bacteria;Terrabacteria group;Deinococcus-Thermus","R1","SAMN02603976","PRJNA65","Complete",3.28416,3167,3238,,"reference",49
"Aquifex aeolicus VF5","Bacteria;Aquificae;Aquificae","VF5","SAMN02603207","PRJNA215","Complete",1.59079,1526,1605,,"reference",44
"Methanothermobacter thermautotrophicus str. Delta H","Archaea;Euryarchaeota;Methanomada group","Delta H","SAMN02603244","PRJNA289","Complete",1.75138,1756,1870,,"representative",38
"Archaeoglobus fulgidus DSM 4304","Archaea;Euryarchaeota;Archaeoglobi","DSM 4304","SAMN02603985","PRJNA104","Complete",2.1784,2369,2482,,"representative",46
"Chlamydia trachomatis D/UW-3/CX","Bacteria;PVC group;Chlamydiae","D/UW-3/CX","SAMN02603114","PRJNA45","Complete",1.04252,887,935,"human","reference",37
"Chlamydia pneumoniae CWL029","Bacteria;PVC group;Chlamydiae","CWL029","SAMN02603115","PRJNA248","Complete",1.23023,1029,1091,"human","reference",38
"Clostridium acetobutylicum ATCC 824","Bacteria;Terrabacteria group;Firmicutes","ATCC 824","SAMN02603243","PRJNA77","Complete",4.13288,3778,3911,,"reference",73
"Neisseria meningitidis MC58","Bacteria;Proteobacteria;Betaproteobacteria","MC58","SAMN02603997","PRJNA251","Complete",2.27236,1943,2104,"human","reference",59
"Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMD00061100","PRJNA274","Complete",0.703004,636,686,,"representative",34
"Lactobacillus salivarius UCC118","Bacteria;Terrabacteria group;Firmicutes","UCC118","SAMN02604111","PRJNA13280","Complete",2.13398,2013,2182,,"reference",78
"Francisella tularensis subsp. tularensis SCHU S4","Bacteria;Proteobacteria;Gammaproteobacteria","SCHU S4","SAMEA3138185","PRJNA9","Complete",1.89278,1556,1834,"human","reference",38
"Bacillus subtilis subsp. subtilis str. 168","Bacteria;Terrabacteria group;Firmicutes","168","SAMEA3138188","PRJNA76","Complete",4.21561,4174,4420,,"reference",86
"Yersinia pestis CO92","Bacteria;Proteobacteria;Gammaproteobacteria","CO92","SAMEA1705942","PRJNA34","Complete",4.82986,3979,4230,"human","reference",70
"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","Bacteria;Proteobacteria;delta/epsilon subdivisions","NCTC 11168","SAMEA1705929","PRJNA8","Complete",1.64148,1572,1668,"human","reference",43
"Ralstonia solanacearum GMI1000","Bacteria;Proteobacteria;Betaproteobacteria","GMI1000","SAMEA3138192","PRJNA13","Complete",5.81092,4984,5208,"plants","representative",57
"Nitrosomonas europaea ATCC 19718","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 19718","SAMEA3138193","PRJNA52","Complete",2.81209,2544,2694,,"representative",41
"Xanthomonas campestris pv. vesicatoria str. 85-10","Bacteria;Proteobacteria;Gammaproteobacteria","85-10","SAMEA3138194","PRJNA13649","Complete",5.42015,4503,4900,,,56
"Helicobacter acinonychis str. Sheeba","Bacteria;Proteobacteria;delta/epsilon subdivisions","Sheeba","SAMEA3138199","PRJNA17251","Complete",1.55759,1362,1549,,,36
"Yersinia enterocolitica subsp. enterocolitica 8081","Bacteria;Proteobacteria;Gammaproteobacteria","8081","SAMEA1705958","PRJNA190","Complete",4.68362,4023,4259,"human","reference",82
"Alcanivorax borkumensis SK2","Bacteria;Proteobacteria;Gammaproteobacteria","SK2","SAMEA3138202","PRJNA13005","Complete",3.12014,2750,2832,,"representative",42
"Staphylococcus carnosus subsp. carnosus TM300","Bacteria;Terrabacteria group;Firmicutes","TM300","SAMEA2272563","PRJEA34811","Complete",2.56642,2359,2504,,,58
"Burkholderia cenocepacia J2315","Bacteria;Proteobacteria;Betaproteobacteria","J2315","SAMEA1705928","PRJNA339","Complete",8.05578,7355,7645,"human",,73
"Streptococcus uberis 0140J","Bacteria;Terrabacteria group;Firmicutes","0140J","SAMEA3138207","PRJNA353","Complete",1.85235,1762,1873,,"representative",59
"Mesorhizobium japonicum MAFF 303099","Bacteria;Proteobacteria;Alphaproteobacteria","MAFF 303099","SAMD00061086","PRJNA18","Complete",7.5963,7114,7487,,,52
"Nostoc sp. PCC 7120","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","PCC 7120","SAMD00061094","PRJNA244","Complete",7.21179,5842,6126,,,68
"Synechocystis sp. PCC 6803","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","PCC 6803","SAMD00061113","PRJNA60","Complete",3.94702,3584,3719,,,41
"Bacillus clausii KSM-K16","Bacteria;Terrabacteria group;Firmicutes","KSM-K16","SAMD00061074","PRJNA13291","Complete",4.30387,4172,4329,,"representative",75
"Onion yellows phytoplasma OY-M","Bacteria;Terrabacteria group;Tenericutes","onion yellows","SAMD00061121","PRJNA9615","Complete",0.853092,728,913,"plants","representative",32
"Staphylococcus haemolyticus JCSC1435","Bacteria;Terrabacteria group;Firmicutes","JCSC1435","SAMD00061066","PRJNA12508","Complete",2.69786,2484,2648,"human","representative",60
"Symbiobacterium thermophilum IAM 14863","Bacteria;Terrabacteria group;Firmicutes","IAM14863","SAMD00061067","PRJNA12994","Complete",3.56614,3175,3337,,"representative",97
"Bacteroides fragilis YCH46","Bacteria;FCB group;Bacteroidetes/Chlorobi group","YCH46","SAMD00061068","PRJNA13067","Complete",5.31099,4625,4717,"human","reference",74
"Chlamydia felis Fe/C-56","Bacteria;PVC group;Chlamydiae","Fe/C-56","SAMD00061108","PRJNA370","Complete",1.17379,974,1032,"human","representative",38
"Thermococcus kodakarensis KOD1","Archaea;Euryarchaeota;Thermococci","KOD1","SAMD00061071","PRJNA13213","Complete",2.08874,2237,2328,,"representative",47
"Magnetospirillum magneticum AMB-1","Bacteria;Proteobacteria;Alphaproteobacteria","AMB-1","SAMD00061077","PRJNA16217","Complete",4.96715,4489,4695,,"representative",49
"Geobacillus kaustophilus HTA426","Bacteria;Terrabacteria group;Firmicutes","HTA426","SAMD00061072","PRJNA13233","Complete",3.59267,3420,3700,,,87
"Synechococcus elongatus PCC 6301","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","PCC 6301","SAMD00061073","PRJNA13282","Complete",2.69625,2602,2699,,"representative",44
"Sodalis glossinidius str. 'morsitans'","Bacteria;Proteobacteria;Gammaproteobacteria","morsitans","SAMD00061079","PRJNA16309","Complete",4.2925,3259,4736,,,72
"Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305","Bacteria;Terrabacteria group;Firmicutes","ATCC 15305","SAMD00061076","PRJNA15596","Complete",2.5779,2351,2523,"human","representative",58
"Lactobacillus fermentum IFO 3956","Bacteria;Terrabacteria group;Firmicutes","IFO 3956","SAMD00060917","PRJDA18979","Complete",2.09869,1916,2134,,"representative",57
"Brevibacillus brevis NBRC 100599","Bacteria;Terrabacteria group;Firmicutes","NBRC 100599 (= 47)","SAMD00060942","PRJDA29147","Complete",6.29644,5760,6055,,"representative",127
"Finegoldia magna ATCC 29328","Bacteria;Terrabacteria group;Firmicutes","ATCC 29328","SAMD00060918","PRJDA18981","Complete",1.98674,1820,1901,"human","representative",47
"Kocuria rhizophila DC2201","Bacteria;Terrabacteria group;Actinobacteria","DC2201 (= NBRC 103217)","SAMD00060935","PRJDA27833","Complete",2.69754,2264,2364,,"representative",46
"Gemmatimonas aurantiaca T-27","Bacteria;FCB group;Gemmatimonadetes","T-27","SAMD00060909","PRJDA18501","Complete",4.63696,3915,3997,,"representative",48
"Nitratiruptor sp. SB155-2","Bacteria;Proteobacteria;delta/epsilon subdivisions","SB155-2","SAMD00060914","PRJDA18963","Complete",1.87793,1912,1982,,,45
"Sulfurovum sp. NBC37-1","Bacteria;Proteobacteria;delta/epsilon subdivisions","NBC37-1","SAMD00060915","PRJDA18965","Complete",2.56228,2496,2581,,,43
"Candidatus Vesicomyosocius okutanii HA","Bacteria;Proteobacteria;Gammaproteobacteria","HA","SAMD00060908","PRJDA18267","Complete",1.02215,951,994,,"representative",35
"Bifidobacterium adolescentis ATCC 15703","Bacteria;Terrabacteria group;Actinobacteria","ATCC 15703","SAMD00061080","PRJNA16321","Complete",2.08964,1624,1749,,"representative",54
"Porphyromonas gingivalis ATCC 33277","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 33277","SAMD00060922","PRJDA19051","Complete",2.35489,1955,2118,"human","representative",53
"Azorhizobium caulinodans ORS 571","Bacteria;Proteobacteria;Alphaproteobacteria","ORS 571","SAMD00060925","PRJDA19267","Complete",5.36977,4719,4892,,"representative",53
"Burkholderia multivorans ATCC 17616","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 17616","SAMD00060926","PRJDA19401","Complete",7.00881,6398,6737,"human",,66
"Pelotomaculum thermopropionicum SI","Bacteria;Terrabacteria group;Firmicutes","SI","SAMD00060921","PRJDA19023","Complete",3.02537,2920,2977,,,51
"Macrococcus caseolyticus JCSC5402","Bacteria;Terrabacteria group;Firmicutes","JCSC5402","SAMD00060930","PRJDA20209","Complete",2.21974,2227,2332,,,49
"Streptomyces griseus subsp. griseus NBRC 13350","Bacteria;Terrabacteria group;Actinobacteria","NBRC 13350","SAMD00060929","PRJDA20085","Complete",8.54593,6969,7284,,"representative",66
"Microcystis aeruginosa NIES-843","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","NIES-843","SAMD00060936","PRJDA27835","Complete",5.84279,5190,5867,,"representative",42
"Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2","Bacteria;FCB group;Bacteroidetes/Chlorobi group","","SAMD00060940","PRJDA29025","Complete",1.22492,968,1042,,,38
"Desulfovibrio magneticus RS-1","Bacteria;Proteobacteria;delta/epsilon subdivisions","RS-1","SAMD00060954","PRJDA32105","Complete",5.31562,4486,4612,,"representative",53
"Acetobacter pasteurianus IFO 3283-01","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01","SAMD00060943","PRJDA31129","Complete",3.34025,2917,3154,,,57
"Bacteroides thetaiotaomicron VPI-5482","Bacteria;FCB group;Bacteroidetes/Chlorobi group","VPI-5482","SAMN02604314","PRJNA399","Complete",6.2934,4816,4902,,"reference",71
"Haloarcula marismortui ATCC 43049","Archaea;Euryarchaeota;Stenosarchaea group","ATCC 43049","SAMN02603385","PRJNA105","Complete",4.27464,4144,4299,,,49
"Pyrococcus horikoshii OT3","Archaea;Euryarchaeota;Thermococci","OT3","SAMD00061090","PRJNA207","Complete",1.7385,1801,1922,,"representative",46
"Aeropyrum pernix K1","Archaea;TACK group;Crenarchaeota","K1","SAMD00061092","PRJNA211","Complete",1.6697,1700,1752,,,47
"Bacillus halodurans C-125","Bacteria;Terrabacteria group;Firmicutes","C-125","SAMD00061093","PRJNA235","Complete",4.20235,3950,4134,,,78
"Thermoplasma volcanium GSS1","Archaea;Euryarchaeota;Diaforarchaea group","GSS1","SAMD00061089","PRJNA206","Complete",1.5848,1545,1629,,"representative",46
"Sulfurisphaera tokodaii str. 7","Archaea;TACK group;Crenarchaeota","7","SAMD00061096","PRJNA246","Complete",2.69476,2770,2951,,"representative",46
"Mycoplasma penetrans HF-2","Bacteria;Terrabacteria group;Tenericutes","HF-2","SAMD00061084","PRJNA176","Complete",1.35863,1016,1068,"human","representative",30
"Oceanobacillus iheyensis HTE831","Bacteria;Terrabacteria group;Firmicutes","HTE831","SAMD00061101","PRJNA284","Complete",3.63053,3464,3604,,"representative",70
"Corynebacterium efficiens YS-314","Bacteria;Terrabacteria group;Actinobacteria","YS-314","SAMD00061103","PRJNA305","Complete",3.2195,2837,2959,,"representative",56
"Corynebacterium glutamicum ATCC 13032","Bacteria;Terrabacteria group;Actinobacteria","ATCC 13032","SAMD00061105","PRJNA307","Complete",3.3094,2959,3057,,"reference",60
"Thermosynechococcus elongatus BP-1","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","BP-1","SAMD00061106","PRJNA308","Complete",2.59386,2476,2525,,"reference",42
"Bradyrhizobium diazoefficiens USDA 110","Bacteria;Proteobacteria;Alphaproteobacteria","USDA110","SAMD00061083","PRJNA17","Complete",9.10583,8317,8373,,"reference",50
"Gloeobacter violaceus PCC 7421","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","PCC 7421","SAMD00061120","PRJNA9606","Complete",4.65902,4430,4482,,"reference",45
"Mycoplasma mycoides subsp. mycoides SC str. PG1","Bacteria;Terrabacteria group;Tenericutes","PG1","SAMEA3138208","PRJNA10616","Complete",1.2117,1017,1053,,"reference",30
"Burkholderia pseudomallei K96243","Bacteria;Proteobacteria;Betaproteobacteria","K96243","SAMEA1705938","PRJNA178","Complete",7.24755,5726,5935,"human","reference",61
"Pectobacterium atrosepticum SCRI1043","Bacteria;Proteobacteria;Gammaproteobacteria","SCRI1043","SAMEA1705920","PRJNA350","Complete",5.06402,4381,4615,"plants",,77
"Bacillus licheniformis DSM 13 = ATCC 14580","Bacteria;Terrabacteria group;Firmicutes","ATCC 14580; DSM 13","SAMN02603685","PRJNA12388","Complete",4.2226,4219,4382,,"representative",72
"Gluconobacter oxydans 621H","Bacteria;Proteobacteria;Alphaproteobacteria","621H","SAMN02603293","PRJNA13325","Complete",2.92238,2607,2836,,"representative",55
"Burkholderia mallei ATCC 23344","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 23344","SAMN02603987","PRJNA171","Complete",5.83553,5022,5506,"human","reference",56
"Candidatus Blochmannia pennsylvanicus str. BPEN","Bacteria;Proteobacteria;Gammaproteobacteria","BPEN","SAMN02603465","PRJNA13875","Complete",0.791654,610,659,,,39
"Aliivibrio fischeri ES114","Bacteria;Proteobacteria;Gammaproteobacteria","ES114","SAMN02604303","PRJNA12986","Complete",4.27372,3814,3984,,"reference",118
"Dehalococcoides mccartyi 195","Bacteria;Terrabacteria group;Chloroflexi","195","SAMN02603990","PRJNA214","Complete",1.46972,1497,1582,,"representative",46
"Lactobacillus acidophilus NCFM","Bacteria;Terrabacteria group;Firmicutes","NCFM","SAMN02603047","PRJNA82","Complete",1.99356,1832,1927,,"reference",61
"Shigella dysenteriae Sd197","Bacteria;Proteobacteria;Gammaproteobacteria","Sd197","SAMN02603600","PRJNA13145","Complete",4.56091,4294,4834,"human","reference",85
"Pseudomonas savastanoi pv. phaseolicola 1448A","Bacteria;Proteobacteria;Gammaproteobacteria","1448A; BAA-978","SAMN02603162","PRJNA12416","Complete",6.11245,5165,5850,"plants",,64
"Aster yellows witches'-broom phytoplasma AYWB","Bacteria;Terrabacteria group;Tenericutes","","SAMN02603687","PRJNA13478","Complete",0.72397,557,714,"plants","representative",32
"Pseudomonas syringae pv. syringae B728a","Bacteria;Proteobacteria;Gammaproteobacteria","B728a","SAMN02604347","PRJNA323","Complete",6.0937,5089,5220,"plants","reference",64
"Pseudomonas protegens Pf-5","Bacteria;Proteobacteria;Gammaproteobacteria","Pf-5","SAMN02604012","PRJNA327","Complete",7.07489,6250,6415,,,70
"Sulfolobus acidocaldarius DSM 639","Archaea;TACK group;Crenarchaeota","DSM 639","SAMN02603173","PRJNA13935","Complete",2.22596,2243,2331,,"representative",48
"Psychrobacter arcticus 273-4","Bacteria;Proteobacteria;Gammaproteobacteria","273-4","SAMN02598544","PRJNA9633","Complete",2.6507,2113,2250,,"representative",49
"Colwellia psychrerythraea 34H","Bacteria;Proteobacteria;Gammaproteobacteria","34H; BAA-681","SAMN02604001","PRJNA275","Complete",5.37318,4441,4634,,"representative",88
"Candidatus Pelagibacter ubique HTCC1062","Bacteria;Proteobacteria;Alphaproteobacteria","HTCC1062","SAMN02603690","PRJNA13989","Complete",1.30876,1337,1396,,,32
"Burkholderia thailandensis E264","Bacteria;Proteobacteria;Betaproteobacteria","E264; ATCC 700388","SAMN02604021","PRJNA10774","Complete",6.72397,5912,6422,"human",,59
"Rickettsia bellii RML369-C","Bacteria;Proteobacteria;Alphaproteobacteria","RML369-C","SAMN02603144","PRJNA13996","Complete",1.52208,1398,1537,"human","representative",34
"Thermobifida fusca YX","Bacteria;Terrabacteria group;Actinobacteria","YX","SAMN02598543","PRJNA94","Complete",3.64225,3064,3148,,"representative",52
"Dechloromonas aromatica RCB","Bacteria;Proteobacteria;Betaproteobacteria","RCB","SAMN02598546","PRJNA9635","Complete",4.5011,4192,4329,,"representative",64
"Rickettsia felis URRWXCal2","Bacteria;Proteobacteria;Alphaproteobacteria","URRWXCal2; California 2","SAMN02603143","PRJNA13884","Complete",1.58724,1363,1704,"human","representative",33
"Pelodictyon luteolum DSM 273","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 273","SAMN02598284","PRJNA13012","Complete",2.36484,2125,2256,,"representative",48
"Synechococcus sp. CC9902","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","CC9902","SAMN02598312","PRJNA13655","Complete",2.23483,2337,2401,,,44
"Methanosphaera stadtmanae DSM 3091","Archaea;Euryarchaeota;Methanomada group","DSM 3091","SAMN02604180","PRJNA15579","Complete",1.7674,1518,1591,,"representative",41
"Ehrlichia canis str. Jake","Bacteria;Proteobacteria;Alphaproteobacteria","Jake","SAMN02598261","PRJNA10694","Complete",1.31503,933,985,,"representative",36
"Chlorobium chlorochromatii CaD3","Bacteria;FCB group;Bacteroidetes/Chlorobi group","CaD3","SAMN02598328","PRJNA13921","Complete",2.57208,2060,2183,,"representative",45
"Hydrogenovibrio crunogenus XCL-2","Bacteria;Proteobacteria;Gammaproteobacteria","XCL-2","SAMN02598288","PRJNA13018","Complete",2.42773,2244,2310,,"representative",43
"Nitrosococcus oceani ATCC 19707","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 19707","SAMN02598329","PRJNA13993","Complete",3.52211,3166,3348,,"representative",46
"Bacteroides vulgatus ATCC 8482","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 8482","SAMN02604309","PRJNA13378","Complete",5.16319,4077,4333,"human","representative",83
