rRNA16S,Habitat,Oxygen,Motility,Spore,Pigment,Shape,Aggregation,Gram,GC,Length,Width,pH_optimum,Temp_optimum,Salt_optimum
FJ463881,other,facultative anaerobe,non-motile,NA,NA,rod,NA,NA,42.5,NA,NA,NA,37,NA
HM775387,other,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,47.1,2.25,0.45,8,30,NA
AY129774,soil,obligate aerobe,non-motile,NA,no,cocci,NA,positive,NA,NA,NA,NA,NA,NA
EU878006,other,facultative anaerobe,flagella,NA,NA,rod,NA,negative,71.8,1.325,0.7,NA,29,3
AF466095,soil,obligate aerobe,non-motile,NA,no,cocci,NA,positive,NA,NA,NA,NA,NA,NA
FN646663,soil,NA,non-motile,yes,yes,NA,chain,positive,68.9,NA,NA,NA,NA,NA
FJ230078,freshwater,facultative anaerobe,flagella,no,NA,rod,NA,negative,NA,3.25,0.65,9,NA,NA
HQ436534,hypersaline environment,obligate aerobe,non-motile,NA,no,NA,NA,positive,66.4,NA,NA,7,37,NA
FJ214352,plant associated,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,NA,positive,70.4,NA,NA,NA,28,NA
FJ822615,other,facultative anaerobe,non-motile,NA,NA,rod,chain,negative,40,14,NA,NA,NA,NA
FJ828659,other,obligate aerobe,non-motile,NA,yes,rod,NA,positive,70.3,0.8,0.55,NA,25,NA
EU188441,other,obligate aerobe,flagella,NA,NA,rod,NA,negative,43.4,NA,NA,NA,NA,NA
EU188441,other,obligate aerobe,flagella,NA,NA,NA,NA,negative,47.8,NA,NA,NA,NA,NA
EU188448,other,obligate aerobe,flagella,NA,NA,rod,NA,negative,43.4,NA,NA,NA,NA,NA
FM177879,wastewater,NA,"motile, but unspecified structure",NA,NA,NA,NA,negative,66,1.19,0.45,NA,NA,NA
AJ550672,freshwater,obligate aerobe,non-motile,NA,NA,rod,NA,NA,44.9,0.95,0.4,NA,NA,NA
HM151013,other,NA,non-motile,no,yes,ovoid/coccobacillus,NA,NA,NA,5.625,7.5,NA,33,NA
EF421176,soil,obligate aerobe,non-motile,NA,yes,rod,NA,negative,67.1,1.3,0.55,7.2,30,NA
AB326110,other,facultative anaerobe,"motile, but unspecified structure",NA,NA,rod,NA,negative,59.9,1.25,0.4,4,30,0
AB326111,other,anaerobic,"motile, but unspecified structure",NA,NA,rod,NA,negative,57.5,1.05,0.45,4,22.5,0
EF643377,other,facultative anaerobe,NA,NA,NA,NA,NA,negative,50.1,NA,NA,NA,29,NA
EU156067,other,NA,flagella,NA,NA,ovoid/coccobacillus,NA,negative,68.4,2,1,5.5,30,NA
FJ467624,other,NA,non-motile,NA,NA,rod,NA,negative,60,8.25,NA,NA,27.5,2
GU002071,other,obligate aerobe,NA,yes,yes,NA,NA,positive,71.3,NA,NA,NA,NA,NA
AB453700,other,NA,non-motile,NA,NA,ovoid/coccobacillus,NA,negative,43.9,1.45,1,NA,25,NA
FR692107,soil,obligate aerobe,NA,yes,NA,NA,NA,positive,73.2,1.6,0.95,NA,NA,NA
EU008565,other,NA,"motile, but unspecified structure",NA,NA,rod,NA,negative,65,NA,NA,8,30,NA
AB578855,plant associated,obligate aerobe,NA,yes,yes,NA,NA,NA,72.5,NA,NA,NA,NA,NA
FJ463255,other,NA,flagella,NA,NA,rod,NA,negative,67.7,1.9,0.6,NA,32.5,3.25
EU541604,other,facultative anaerobe,"motile, but unspecified structure",NA,NA,rod,NA,negative,NA,NA,NA,NA,NA,NA
EU999955,marine sediment,obligate aerobe,gliding,NA,NA,rod,NA,negative,38.9,2.6,0.625,7.75,30,NA
FJ004994,soil,obligate aerobe,non-motile,NA,NA,rod,NA,negative,47.8,1.6,0.5,NA,30,NA
FJ360684,marine sediment,NA,gliding,NA,NA,NA,NA,negative,32.7,1.725,0.425,7.8,33.5,1.25
EU747841,freshwater,obligate aerobe,non-motile,no,NA,rod,NA,negative,7,NA,NA,7,25,NA
FJ669216,other,NA,non-motile,no,NA,rod,NA,negative,41.4,2.65,0.55,NA,30,2
EU246691,marine sediment,obligate aerobe,gliding,NA,yes,rod,NA,negative,36.5,3.85,0.4,7.25,25.5,1.25
FM998003,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,positive,73.2,2.15,0.65,6.6,30,NA
HQ171909,soil,obligate aerobe,non-motile,NA,yes,rod,NA,positive,72.6,NA,NA,7.5,30,NA
HQ401007,other,obligate aerobe,non-motile,no,yes,rod,NA,positive,70.9,1.45,0.6,7,28,NA
GU784867,other,obligate aerobe,non-motile,NA,yes,ovoid/coccobacillus,NA,positive,57.3,1.3,0.6,NA,NA,NA
FJ487951,soil,obligate aerobe,non-motile,NA,yes,NA,NA,positive,71.5,NA,0.4,8,37,NA
GU784866,other,obligate aerobe,non-motile,NA,yes,rod,NA,positive,71.9,2.25,0.45,NA,25,NA
AB449109,soil,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,47,4,1.25,8.25,30,NA
U49078,other,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,chain,positive,36.7,NA,NA,NA,37,NA
X82492,other,obligate aerobe,non-motile,yes,yes,rod,chain,negative,35.2,NA,NA,NA,37,NA
GU994085,other,facultative anaerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,42.4,1.5,0.6,8.35,25,NA
FR681899,other,facultative anaerobe,non-motile,no,yes,rod,chain,positive,41.9,1.33,NA,6,37,NA
GU586225,other,facultative anaerobe,flagella,yes,yes,rod,NA,variable,39.5,2.5,0.75,7.75,37,NA
GU434676,plant associated,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,40.8,2.3,0.8,7.5,32.5,NA
EU701006,other,NA,flagella,NA,NA,rod,NA,negative,NA,NA,NA,NA,NA,NA
HM625820,other,microaerophile,flagella,no,NA,spirillum/corkscrew,NA,negative,NA,4.75,0.65,NA,37,NA
HM776997,plant associated,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA
NA,other,NA,non-motile,NA,yes,ovoid/coccobacillus,NA,negative,NA,NA,NA,NA,NA,NA
FR773700,marine sediment,obligate aerobe,NA,no,yes,rod,NA,negative,NA,2,1,NA,NA,NA
EU723884,marine sediment,obligate aerobe,flagella,no,yes,rod,NA,negative,50.4,1.6,0.45,8.75,32.5,NA
FM208181,freshwater,facultative aerobe,non-motile,NA,no,rod,NA,NA,49.4,1.2,0.45,NA,NA,NA
FN908483,seawater,obligate aerobe,flagella,NA,yes,rod,none,negative,NA,1.35,0.7,NA,NA,NA
HM153810,hypersaline environment,obligate aerobe,non-motile,no,yes,rod,NA,negative,43,2,0.3,7.75,37,NA
EF217418,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,48.5,1.75,0.4,NA,25,NA
EF016285,other,anaerobic,non-motile,no,NA,rod,NA,negative,33.8,NA,0.425,7.3,28,NA
FM992367,other,NA,NA,NA,NA,cocci,NA,positive,67.8,NA,NA,NA,NA,NA
FM956091,other,NA,NA,NA,NA,rod,NA,positive,NA,NA,NA,NA,27.5,NA
EU551684,other,obligate aerobe,non-motile,NA,NA,rod,NA,positive,NA,NA,NA,7.5,30,NA
EU551682,other,NA,non-motile,NA,NA,rod,NA,positive,NA,NA,NA,7.5,30,NA
EU551683,other,obligate aerobe,non-motile,NA,NA,rod,NA,positive,NA,NA,NA,7.5,30,NA
EU484189,other,NA,non-motile,no,NA,rod,NA,positive,69.8,1,0.5,8,30,NA
AM944497,other,NA,non-motile,yes,NA,NA,NA,positive,71,NA,NA,NA,28,NA
AB245391,soil,obligate aerobe,non-motile,no,NA,NA,NA,positive,66.3,NA,NA,NA,NA,NA
DQ185597,other,obligate aerobe,non-motile,no,NA,ovoid/coccobacillus,NA,positive,60.1,NA,NA,NA,NA,NA
FJ666101,soil,obligate aerobe,non-motile,no,NA,rod,NA,positive,73,1,0.3,7,27.5,1
FM995533,other,NA,NA,no,NA,cocci,NA,positive,NA,NA,1.25,NA,NA,NA
DQ886938,other,obligate aerobe,non-motile,yes,NA,NA,NA,positive,NA,NA,NA,NA,NA,NA
DQ536404,other,NA,non-motile,no,yes,rod,NA,NA,NA,NA,NA,NA,37,NA
AB377289,soil,obligate aerobe,non-motile,NA,NA,ovoid/coccobacillus,NA,positive,65.5,NA,NA,NA,NA,NA
FJ477040,other,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,37.2,NA,0.9,NA,30,NA
FJ357159,other,anaerobic,flagella,yes,NA,rod,NA,variable,37.6,NA,0.3,NA,NA,8
DQ196623,other,facultative anaerobe,flagella,yes,NA,rod,NA,positive,30.4,3.75,0.9,7.9,35,NA
DQ196621,other,anaerobic,NA,yes,NA,rod,NA,positive,28.5,6.1,0.7,7.45,30.5,NA
DQ023221,other,anaerobic,NA,yes,NA,rod,NA,negative,45.8,NA,0.65,NA,NA,NA
EU874387,other,anaerobic,flagella,yes,NA,rod,NA,positive,48.1,5.15,0.3,8.75,37,10
HM234096,marine sediment,facultative anaerobe,non-motile,NA,yes,rod,NA,negative,30.6,2.5,0.3,7.25,30,NA
FN545354,other,obligate aerobe,gliding,NA,yes,rod,NA,negative,31.3,21,0.4,7,23.5,NA
AM887760,other,facultative anaerobe,flagella,no,yes,rod,NA,negative,57.6,6,0.5,4.75,24,NA
HQ593535,plant associated,NA,NA,NA,yes,ovoid/coccobacillus,NA,NA,NA,3,2.25,NA,NA,NA
HQ593534,plant associated,NA,NA,no,yes,ovoid/coccobacillus,NA,NA,NA,3.5,2.5,NA,NA,NA
FR692104,soil,obligate aerobe,NA,yes,NA,NA,chain,positive,NA,0.8,0.75,NA,NA,NA
FR692106,soil,obligate aerobe,NA,yes,NA,NA,chain,positive,69.2,0.75,0.75,NA,NA,NA
FR821260,other,obligate aerobe,NA,no,yes,cocci,NA,positive,NA,NA,1.25,NA,30,NA
FM179321,other,obligate aerobe,non-motile,no,yes,rod,NA,positive,75,5,1,NA,24,NA
EU710748,soil,obligate aerobe,flagella,no,yes,rod,NA,positive,74.6,0.9,0.5,7,25,NA
GQ339904,soil,obligate aerobe,non-motile,no,yes,rod,NA,positive,70.3,2.15,0.55,7,30,NA
HQ660227,soil,NA,NA,yes,no,ovoid/coccobacillus,chain,NA,70.33,0.75,0.5,7,28,NA
FR729900,soil,obligate aerobe,NA,no,yes,rod,NA,positive,NA,NA,NA,NA,27.5,NA
HQ322270,other,facultative anaerobe,non-motile,no,yes,rod,NA,positive,36.3,5.75,0.75,NA,NA,NA
FJ436724,seawater,obligate aerobe,non-motile,no,yes,cocci,NA,positive,43.5,NA,0.5,8.5,28,NA
HQ020487,wastewater,anaerobic,non-motile,yes,NA,NA,NA,positive,35.2,NA,NA,7.25,52.5,NA
AB602569,human - fecal,facultative anaerobe,non-motile,no,yes,rod,NA,positive,48.7,2.25,1,NA,NA,NA
AB602570,human - fecal,facultative anaerobe,non-motile,no,yes,rod,NA,positive,39.8,NA,0.7,NA,NA,NA
FR693626,soil,obligate aerobe,flagella,yes,no,rod,NA,positive,39.4,2.75,0.8,8.25,33.5,NA
GQ872425,hotspring,anaerobic,flagella,yes,NA,rod,NA,positive,51,NA,0.4,6.9,65,NA
EU289803,wastewater,anaerobic,non-motile,no,yes,rod,NA,negative,63.7,0.55,1.1,7,28,NA
GQ262812,marine sediment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,54,3.75,0.4,NA,27.5,NA
GQ262813,marine sediment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,56.7,3.75,0.4,NA,33.5,NA
HQ340606,seawater,obligate aerobe,non-motile,no,yes,rod,NA,negative,47,3.65,0.3,7.25,30,NA
HM777013,soil,obligate aerobe,NA,NA,yes,rod,NA,negative,68.7,2,0.7,7.25,29,NA
DQ533556,seawater,obligate aerobe,flagella,no,no,rod,NA,negative,55,1.4,0.7,NA,27.5,NA
EF534725,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,65.7,1.5,0.65,7,28,NA
FJ638616,seawater,obligate aerobe,flagella,NA,yes,ovoid/coccobacillus,NA,negative,71.6,NA,NA,8,25,NA
EU586035,soil,obligate aerobe,flagella,NA,yes,rod,NA,negative,65.2,2.9,0.55,5.75,22.5,NA
FJ232451,marine sediment,obligate aerobe,"motile, but unspecified structure",NA,NA,rod,NA,negative,60.5,2.28,0.71,7.75,25,NA
HQ340608,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,69.6,8.1,1,NA,30,NA
GU319965,freshwater,facultative anaerobe,non-motile,no,NA,rod,NA,negative,68.6,1.65,0.9,NA,33.5,0
HQ641379,soil,NA,non-motile,NA,yes,cocci,NA,negative,70.3,NA,1.8,7.25,30,NA
FM177586,seawater,obligate aerobe,flagella,NA,NA,rod,NA,negative,63.1,NA,0.6,7.1,30,2
GU441678,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,61.4,NA,0.5,NA,NA,NA
HM474794,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,63.6,1.75,0.7,NA,NA,NA
AB473549,other,obligate aerobe,"motile, but unspecified structure",NA,no,rod,NA,negative,NA,NA,NA,7.25,30,NA
FM863818,other,obligate aerobe,"motile, but unspecified structure",no,NA,rod,NA,negative,NA,2,NA,NA,27.5,NA
EF660342,other,obligate aerobe,flagella,no,NA,rod,NA,negative,69,1.2,0.7,NA,27.5,0.5
EU822512,other,obligate aerobe,flagella,NA,NA,rod,NA,negative,60,1.6,0.8,7,37,NA
AM941388,other,obligate aerobe,flagella,no,NA,rod,NA,negative,62,NA,1,NA,32.5,5.25
AM941396,other,obligate aerobe,flagella,no,yes,rod,NA,negative,64.6,NA,0.95,NA,32.5,6.25
"AM941399,",other,obligate aerobe,flagella,no,yes,rod,NA,negative,64.4,2.75,0.8,NA,32.5,2.5
FJ373058,other,obligate aerobe,non-motile,no,NA,rod,NA,negative,63.8,1.15,0.55,7.5,30,NA
EU009209,other,obligate aerobe,non-motile,no,NA,rod,NA,negative,63.8,1.8,0.55,NA,30,NA
EU781657,other,obligate aerobe,non-motile,no,NA,rod,NA,negative,65,2.15,1,7,28,1
FJ48223,hypersaline environment,obligate aerobe,non-motile,NA,NA,rod,NA,negative,63.5,NA,0.4,7.4,32,NA
AB455265,marine sediment,obligate aerobe,non-motile,no,NA,rod,NA,negative,33.9,1.75,0.75,7,20,0
EU109724,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,37.2,NA,0.8,7,27.5,NA
EF217419,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,37.7,2,1.25,NA,32.5,NA
HQ455786,marine sediment,facultative aerobe,non-motile,no,yes,rod,NA,negative,49.8,1.65,0.5,6.75,25,NA
HQ144198,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,35.7,5,0.35,NA,30,NA
HQ257254,other,obligate aerobe,gliding,no,yes,rod,NA,negative,34.8,2.3,0.45,6.5,NA,NA
HQ401024,seawater,obligate aerobe,NA,no,yes,rod,NA,negative,44.8,NA,0.3,7.25,30,NA
HM748604,plant associated,obligate aerobe,non-motile,no,yes,rod,NA,negative,42.7,NA,NA,NA,25,NA
HM140980,other,obligate aerobe,NA,NA,yes,rod,NA,negative,39.8,NA,0.75,9,33,NA
HQ223078,soil,obligate aerobe,non-motile,NA,yes,rod,NA,negative,44.9,1.6,0.5,7,30,NA
EU161637,freshwater,obligate aerobe,non-motile,no,yes,rod,NA,negative,41.8,8.25,1.5,8,27.5,NA
GQ988781,wastewater,obligate aerobe,non-motile,no,yes,rod,NA,negative,40.3,1,0.45,NA,30,NA
FR666706,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,60.7,2.85,0.85,4.95,22,NA
HQ616669,plant associated,NA,NA,yes,yes,ovoid/coccobacillus,NA,NA,NA,NA,NA,NA,NA,NA
FN428965,soil,NA,NA,yes,NA,ovoid/coccobacillus,NA,NA,NA,25,NA,NA,25,NA
HQ605707,soil,obligate aerobe,NA,NA,yes,rod,NA,positive,66.9,NA,NA,NA,33.5,NA
AB245388,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,71.8,NA,NA,NA,NA,NA
HQ266601,wastewater,obligate aerobe,non-motile,no,yes,rod,NA,positive,65.8,0.5,0.25,7.25,30,NA
HQ612241,other,obligate aerobe,NA,no,yes,rod,NA,positive,61.7,NA,NA,7,30,NA
AB583921,plant associated,obligate aerobe,non-motile,no,yes,rod,NA,positive,71,NA,0.6,7,28,0
FN547412,plant associated,microaerophile,non-motile,NA,yes,rod,NA,positive,70.1,2.25,0.55,NA,NA,NA
HM748598,soil,obligate aerobe,NA,yes,yes,NA,NA,positive,70,NA,NA,NA,28,NA
GQ871748,marine sediment,obligate aerobe,NA,yes,yes,NA,NA,positive,71.9,NA,NA,NA,32.5,NA
GU367155,plant endophyte,obligate aerobe,non-motile,NA,yes,ovoid/coccobacillus,NA,positive,66.2,NA,NA,NA,28.5,NA
GU253338,hypersaline environment,obligate aerobe,NA,yes,no,rod,NA,positive,60.1,NA,NA,NA,37,NA
HQ157185,soil,obligate aerobe,NA,NA,yes,NA,NA,positive,70.2,NA,NA,7,27.5,NA
FR692111,soil,obligate aerobe,NA,yes,NA,NA,NA,positive,71.2,NA,NA,NA,NA,NA
HQ222356,soil,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,NA,positive,72.4,NA,NA,7,30,NA
FM210337,soil,NA,NA,yes,yes,NA,NA,NA,70.9,NA,NA,NA,39.5,NA
HM807481,hotspring,anaerobic,non-motile,no,NA,rod,NA,negative,40.3,4.75,0.35,8.2,60,NA
EF217419,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,37.7,2,0.45,NA,32.5,NA
EU360967,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,43,1.8,0.6,7,30,NA
EU360966,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,34,2.05,0.55,NA,27.5,2
EU313814,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,52,1,0.5,7,22.5,0.5
AM162405,other,obligate aerobe,non-motile,NA,NA,ovoid/coccobacillus,NA,negative,55.6,0.95,0.65,6,25,NA
AM260555,hotspring,NA,flagella,NA,NA,rod,NA,negative,40.3,3.15,0.55,6.2,75,NA
AF333759,other,obligate aerobe,"motile, but unspecified structure",NA,NA,rod,NA,negative,67.1,3.875,0.75,7.5,40,23.75
EF593038,soil,obligate aerobe,non-motile,NA,NA,rod,NA,positive,70.2,0.7,0.35,NA,30,NA
EU305672,bioreactor,obligate aerobe,non-motile,no,yes,NA,NA,positive,66,NA,NA,7,30,NA
HM626177,human - fecal,anaerobic,non-motile,no,yes,cocci,NA,positive,35.6,2,0.65,NA,37,NA
HQ433452,hypersaline environment,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,42.4,1.85,0.7,7.5,35,NA
HQ315787,soil,obligate aerobe,flagella,yes,yes,rod,NA,negative,50.3,1.8,0.25,NA,25,NA
FJ862996,wastewater,anaerobic,non-motile,no,NA,rod,NA,negative,46.6,2.2,0.45,7,55,NA
HQ419073,hotspring,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,56.09,3.15,0.45,7,55,NA
HM443954,other,facultative anaerobe,NA,no,NA,rod,NA,positive,46.6,NA,NA,NA,30,NA
JF775504,seawater,obligate aerobe,"motile, but unspecified structure",no,yes,cocci,NA,positive,51,NA,NA,NA,30,NA
GU584133,hotspring,anaerobic,flagella,no,yes,rod,NA,positive,50.9,NA,0.55,6.5,59,NA
GU583651,freshwater,facultative anaerobe,flagella,yes,yes,rod,NA,positive,43.9,3,0.45,9,30,NA
GU253339,human - mouth,obligate aerobe,non-motile,no,yes,rod,NA,negative,34.3,0.95,0.45,8,28,NA
HM748834,wastewater,obligate aerobe,non-motile,no,yes,NA,NA,negative,63.8,1.1,0.7,7,28,NA
JF260872,seawater,obligate aerobe,non-motile,no,yes,rod,NA,negative,65.1,NA,0.85,7.25,30,NA
FR727679,seawater,obligate aerobe,flagella,NA,NA,NA,NA,negative,60.7,2.25,0.75,NA,NA,NA
FM201274,other,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,NA,NA,NA,NA,NA,NA
