"reference","genus","species","accession","acc_text","accession","ncbi_nucid","ncbi_taxid","name","ncbi_spid","ncbi_species","species","subsp","formasp","candidatus","ncbi_taxid","name","ncbi_spid","ncbi_species"
"gbm00012.pdf","Actinomyces","Actinomyces neuii subsp. anitratus","AM084229","accession no. (16S rRNA gene): AM084229 (ATCC 51849).","AM084229","77681060","29318","Actinomyces neuii subsp. anitratus","33007","Actinomyces neuii","Actinomyces neuii subsp. anitratus",TRUE,FALSE,FALSE,"29318","Actinomyces neuii subsp. anitratus","33007","Actinomyces neuii"
"gbm00012.pdf","Actinomyces","Actinomyces odontolyticus","AJ234040","accession no. (16S rRNA gene): AJ234040.","AJ234040","6997974","1660","Actinomyces odontolyticus","1660","Actinomyces odontolyticus","Actinomyces odontolyticus",FALSE,FALSE,FALSE,"1660","Actinomyces odontolyticus","1660","Actinomyces odontolyticus"
"gbm00012.pdf","Actinomyces","Actinomyces oricola","AJ507295","accession no. (16S rRNA gene): AJ507295.","AJ507295","23558707","206043","Actinomyces oricola","206043","Actinomyces oricola","Actinomyces oricola",FALSE,FALSE,FALSE,"206043","Actinomyces oricola","206043","Actinomyces oricola"
"gbm00012.pdf","Actinomyces","Actinomyces oris","EU667403","accession no. (16S rRNA gene): EU667403.","EU667403","194477377","544580","Actinomyces oris","544580","Actinomyces oris","Actinomyces oris",FALSE,FALSE,FALSE,"544580","Actinomyces oris","544580","Actinomyces oris"
"gbm00012.pdf","Actinomyces","Actinomyces radicidentis","AJ251986","accession no. (16S rRNA gene): AJ251986.","AJ251986","10178949","111015","Actinomyces radicidentis","111015","Actinomyces radicidentis","Actinomyces radicidentis",FALSE,FALSE,FALSE,"111015","Actinomyces radicidentis","111015","Actinomyces radicidentis"
"gbm00012.pdf","Actinomyces","Actinomyces radingae","X78719","accession no. (16S rRNA gene): X78719.","X78719","642969","131110","Actinomyces radingae","131110","Actinomyces radingae","Actinomyces radingae",FALSE,FALSE,FALSE,"131110","Actinomyces radingae","131110","Actinomyces radingae"
"gbm00012.pdf","Actinomyces","Actinomyces ruminicola","DQ072005","accession no. (16S rRNA gene): DQ072005.","DQ072005","67866968","332524","Actinomyces ruminicola","332524","Actinomyces ruminicola","Actinomyces ruminicola",FALSE,FALSE,FALSE,"332524","Actinomyces ruminicola","332524","Actinomyces ruminicola"
"gbm00012.pdf","Actinomyces","Actinomyces slackii","AJ234066","accession no. (16S rRNA gene): AJ234066.","AJ234066","6997976","52774","Actinomyces slackii","52774","Actinomyces slackii","Actinomyces slackii",FALSE,FALSE,FALSE,"52774","Actinomyces slackii","52774","Actinomyces slackii"
"gbm00012.pdf","Actinomyces","Actinomyces suimastitidis","AJ277385","accession no. (16S rRNA gene): AJ277385.","AJ277385","20146065","121163","Actinomyces suimastitidis","121163","Actinomyces suimastitidis","Actinomyces suimastitidis",FALSE,FALSE,FALSE,"121163","Actinomyces suimastitidis","121163","Actinomyces suimastitidis"
"gbm00012.pdf","Actinomyces","Actinomyces timonensis","EU484334","accession no. (16S rRNA gene): EU484334.","EU484334","185479346","521393","Actinomyces timonensis DSM 23838","1288391","Actinomyces timonensis","Actinomyces timonensis",FALSE,FALSE,FALSE,"1288391","Actinomyces timonensis","1288391","Actinomyces timonensis"
"gbm00012.pdf","Actinomyces","Actinomyces turicensis","X78720","accession no. (16S rRNA gene): X78720.","X78720","642970","131111","Actinomyces turicensis","131111","Actinomyces turicensis","Actinomyces turicensis",FALSE,FALSE,FALSE,"131111","Actinomyces turicensis","131111","Actinomyces turicensis"
"gbm00012.pdf","Actinomyces","Actinomyces urogenitalis","AJ243791","accession no. (16S rRNA gene): AJ243791.","AJ243791","8980290","103621","Actinomyces urogenitalis","103621","Actinomyces urogenitalis","Actinomyces urogenitalis",FALSE,FALSE,FALSE,"103621","Actinomyces urogenitalis","103621","Actinomyces urogenitalis"
"gbm00012.pdf","Actinomyces","Actinomyces vaccimaxillae","AJ427451","accession no. (16S rRNA gene): AJ427451.","AJ427451","29823185","183916","Actinomyces vaccimaxillae","183916","Actinomyces vaccimaxillae","Actinomyces vaccimaxillae",FALSE,FALSE,FALSE,"183916","Actinomyces vaccimaxillae","183916","Actinomyces vaccimaxillae"
"gbm00012.pdf","Actinomyces","Actinomyces viscosus","X82453","accession no. (16S rRNA gene): X82453.","X82453","1838951","1656","Actinomyces viscosus","1656","Actinomyces viscosus","Actinomyces viscosus",FALSE,FALSE,FALSE,"1656","Actinomyces viscosus","1656","Actinomyces viscosus"
"gbm00012.pdf","Actinomyces","Actinomyces houstonensis",NA,NA,NA,NA,NA,NA,NA,NA,"Actinomyces houstonensis",FALSE,FALSE,FALSE,NA,NA,NA,NA
"gbm00012.pdf","Actinomyces","Actinomyces suis",NA,NA,NA,NA,NA,NA,NA,NA,"Actinomyces suis",FALSE,FALSE,FALSE,"1657","Actinobaculum suis","1657","Actinobaculum suis"
"gbm00013.pdf","Arcanobacterium","Arcanobacterium haemolyticum","AJ234059","accession no. (16S rRNA gene): AJ234059.","AJ234059","6997860","644284","Arcanobacterium haemolyticum DSM 20595","28264","Arcanobacterium haemolyticum","Arcanobacterium haemolyticum",FALSE,FALSE,FALSE,"28264","Arcanobacterium haemolyticum","28264","Arcanobacterium haemolyticum"
"gbm00013.pdf","Arcanobacterium","Arcanobacterium abortisuis","AB305159","accession no. (16S rRNA gene): AB305159.","AB305159","161338998","445930","Trueperella abortisuis","445930","Trueperella abortisuis","Arcanobacterium abortisuis",FALSE,FALSE,FALSE,"445930","Trueperella abortisuis","445930","Trueperella abortisuis"
"gbm00013.pdf","Arcanobacterium","Arcanobacterium bernardiae","X79224","accession no. (16S rRNA gene): X79224.","X79224","639800","59561","Trueperella bernardiae","59561","Trueperella bernardiae","Arcanobacterium bernardiae",FALSE,FALSE,FALSE,"59561","Trueperella bernardiae","59561","Trueperella bernardiae"
"gbm00013.pdf","Arcanobacterium","Arcanobacterium bialowiezense","AJ879696","accession no. (16S rRNA gene): AJ879696.","AJ879696","59889717","312285","Trueperella bialowiezensis","312285","Trueperella bialowiezensis","Arcanobacterium bialowiezense",FALSE,FALSE,FALSE,"312285","Trueperella bialowiezensis","312285","Trueperella bialowiezensis"
"gbm00013.pdf","Arcanobacterium","Arcanobacterium bonasi","AJ879697","accession no. (16S rRNA gene): AJ879697.","AJ879697","59889718","312286","Trueperella bonasi","312286","Trueperella bonasi","Arcanobacterium bonasi",FALSE,FALSE,FALSE,"312286","Trueperella bonasi","312286","Trueperella bonasi"
"gbm00013.pdf","Arcanobacterium","Arcanobacterium hippocoleae","AJ300767","accession no. (16S rRNA gene): AJ300767.","AJ300767","20068309","149017","Arcanobacterium hippocoleae","149017","Arcanobacterium hippocoleae","Arcanobacterium hippocoleae",FALSE,FALSE,FALSE,"149017","Arcanobacterium hippocoleae","149017","Arcanobacterium hippocoleae"
"gbm00013.pdf","Arcanobacterium","Arcanobacterium phocae","EU1945657","accession no. (16S rRNA gene): EU1945657.","EU1945657",NA,NA,NA,NA,NA,"Arcanobacterium phocae",FALSE,FALSE,FALSE,"131112","Arcanobacterium phocae","131112","Arcanobacterium phocae"
"gbm00013.pdf","Arcanobacterium","Arcanobacterium pluranimalium","AJ250959","accession no. (16S rRNA gene): AJ250959.","AJ250959","12831925","108028","Arcanobacterium pluranimalium","108028","Arcanobacterium pluranimalium","Arcanobacterium pluranimalium",FALSE,FALSE,FALSE,"108028","Arcanobacterium pluranimalium","108028","Arcanobacterium pluranimalium"
"gbm00013.pdf","Arcanobacterium","Arcanobacterium pyogenes","X79225","accession no. (16S rRNA gene): X79225.","X79225","1838947","1661","Trueperella pyogenes","1661","Trueperella pyogenes","Arcanobacterium pyogenes",FALSE,FALSE,FALSE,"1661","Trueperella pyogenes","1661","Trueperella pyogenes"
"gbm00014.pdf","Mobiluncus","Mobiluncus curtisii","AJ427623","accession no. (16S rRNA gene): AJ427623.","AJ427623","27657380","585198","Mobiluncus curtisii subsp. curtisii ATCC 35241","2051","Mobiluncus curtisii","Mobiluncus curtisii",FALSE,FALSE,FALSE,"2051","Mobiluncus curtisii","2051","Mobiluncus curtisii"
"gbm00014.pdf","Mobiluncus","Mobiluncus curtisii subsp. curtisii","AJ427623","accession no. (16S rRNA gene): AJ427623.","AJ427623","27657380","585198","Mobiluncus curtisii subsp. curtisii ATCC 35241","2051","Mobiluncus curtisii","Mobiluncus curtisii subsp. curtisii",TRUE,FALSE,FALSE,"144177","Mobiluncus curtisii subsp. curtisii","2051","Mobiluncus curtisii"
"gbm00014.pdf","Mobiluncus","Mobiluncus curtisii subsp. holmesii","AJ427624","accession no. (16S rRNA gene): AJ427624.","AJ427624","34392275","887899","Mobiluncus curtisii subsp. holmesii ATCC 35242","2051","Mobiluncus curtisii","Mobiluncus curtisii subsp. holmesii",TRUE,FALSE,FALSE,"144178","Mobiluncus curtisii subsp. holmesii","2051","Mobiluncus curtisii"
"gbm00014.pdf","Mobiluncus","Mobiluncus mulieris","AJ427625","accession no. (16S rRNA gene): AJ427625.","AJ427625","27657382","2052","Mobiluncus mulieris","2052","Mobiluncus mulieris","Mobiluncus mulieris",FALSE,FALSE,FALSE,"2052","Mobiluncus mulieris","2052","Mobiluncus mulieris"
"gbm00015.pdf","Varibaculum","Varibaculum cambriense","AJ428402","accession no. (16S rRNA gene): AJ428402, AJ491326.","AJ428402","27803995","184870","Varibaculum cambriense","184870","Varibaculum cambriense","Varibaculum cambriense",FALSE,FALSE,FALSE,"184870","Varibaculum cambriense","184870","Varibaculum cambriense"
"gbm00016.pdf","Actinopolyspora","Actinopolyspora halophila","X54287","accession no. (16S rRNA gene): X54287.","X54287","311922","1850","Actinopolyspora halophila","1850","Actinopolyspora halophila","Actinopolyspora halophila",FALSE,FALSE,FALSE,"1850","Actinopolyspora halophila","1850","Actinopolyspora halophila"
"gbm00016.pdf","Actinopolyspora","Actinopolyspora mortivallis","DQ883812","accession no. (16S rRNA gene): DQ883812.","DQ883812","113201902","1050202","Actinopolyspora mortivallis DSM 44261","33906","Actinopolyspora mortivallis","Actinopolyspora mortivallis",FALSE,FALSE,FALSE,"33906","Actinopolyspora mortivallis","33906","Actinopolyspora mortivallis"
"gbm00016.pdf","Actinopolyspora","Actinopolyspora iraqiensis","EF372523","accession no. (16S rRNA gene): EF372523.","EF372523","125975802","882080","[Actinopolyspora] iraqiensis IQ-H1","52698","[Actinopolyspora] iraqiensis","Actinopolyspora iraqiensis",FALSE,FALSE,FALSE,"52698","[Actinopolyspora] iraqiensis","52698","[Actinopolyspora] iraqiensis"
"gbm00017.pdf","Aeriscardovia","Aeriscardovia aeriphila","AY174107","accession no. (16S rRNA gene): AY174107.","AY174107","27818754","218139","Aeriscardovia aeriphila","218139","Aeriscardovia aeriphila","Aeriscardovia aeriphila",FALSE,FALSE,FALSE,"218139","Aeriscardovia aeriphila","218139","Aeriscardovia aeriphila"
"gbm00018.pdf","Alloscardovia","Alloscardovia omnicolens","AM419460","accession no. (16S rRNA gene) : AM419460.","AM419460","123278134","419015","Alloscardovia omnicolens","419015","Alloscardovia omnicolens","Alloscardovia omnicolens",FALSE,FALSE,FALSE,"419015","Alloscardovia omnicolens","419015","Alloscardovia omnicolens"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium bifidum","M38018","accession no. (16S rRNA gene): M38018.","M38018","173880","500634","Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456","1681","Bifidobacterium bifidum","Bifidobacterium bifidum",FALSE,FALSE,FALSE,"1681","Bifidobacterium bifidum","1681","Bifidobacterium bifidum"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium adolescentis","M58729","accession no. (16S rRNA gene): M58729.","M58729","173865","1680","Bifidobacterium adolescentis","1680","Bifidobacterium adolescentis","Bifidobacterium adolescentis",FALSE,FALSE,FALSE,"1680","Bifidobacterium adolescentis","1680","Bifidobacterium adolescentis"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium angulatum","M84775","accession no. (16S rRNA gene): M84775.","M84775","304199","1683","Bifidobacterium angulatum","1683","Bifidobacterium angulatum","Bifidobacterium angulatum",FALSE,FALSE,FALSE,"1683","Bifidobacterium angulatum","1683","Bifidobacterium angulatum"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium animalis","D86185","accession no. (16S rRNA gene): D86185.","D86185","4730860","28025","Bifidobacterium animalis","28025","Bifidobacterium animalis","Bifidobacterium animalis",FALSE,FALSE,FALSE,"28025","Bifidobacterium animalis","28025","Bifidobacterium animalis"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium animalis subsp. animalis","X70971","accession no. (16S rRNA gene): X70971.","X70971","287930","703613","Bifidobacterium animalis subsp. animalis ATCC 25527","28025","Bifidobacterium animalis","Bifidobacterium animalis subsp. animalis",TRUE,FALSE,FALSE,"302912","Bifidobacterium animalis subsp. animalis","28025","Bifidobacterium animalis"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium animalis subsp. lactis","X89513","accession no. (16S rRNA gene): X89513.","X89513","1429247","555970","Bifidobacterium animalis subsp. lactis DSM 10140","28025","Bifidobacterium animalis","Bifidobacterium animalis subsp. lactis",TRUE,FALSE,FALSE,"302911","Bifidobacterium animalis subsp. lactis","28025","Bifidobacterium animalis"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium asteroides","M58730","accession no. (16S rRNA gene): M58730.","M58730","173866","1684","Bifidobacterium asteroides","1684","Bifidobacterium asteroides","Bifidobacterium asteroides",FALSE,FALSE,FALSE,"1684","Bifidobacterium asteroides","1684","Bifidobacterium asteroides"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium bombi","EU127549","accession no. (16S rRNA gene): EU127549.","EU127549","157399687","471511","Bifidobacterium bombi","471511","Bifidobacterium bombi","Bifidobacterium bombi",FALSE,FALSE,FALSE,"471511","Bifidobacterium bombi","471511","Bifidobacterium bombi"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium boum","D86190","accession no. (16S rRNA gene): D86190.","D86190","4730865","78343","Bifidobacterium boum","78343","Bifidobacterium boum","Bifidobacterium boum",FALSE,FALSE,FALSE,"78343","Bifidobacterium boum","78343","Bifidobacterium boum"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium breve","M58731","accession no. (16S rRNA gene): M58731.","M58731","173867","1685","Bifidobacterium breve","1685","Bifidobacterium breve","Bifidobacterium breve",FALSE,FALSE,FALSE,"1685","Bifidobacterium breve","1685","Bifidobacterium breve"
"gbm00019.pdf","Bifidobacterium","Bifidobacterium catenulatum","M58732","accession no. (16S rRNA gene): M58732.","M58732","173868","566552","Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043","1686","Bifidobacterium catenulatum","Bifidobacterium catenulatum",FALSE,FALSE,FALSE,"1686","Bifidobacterium catenulatum","1686","Bifidobacterium catenulatum"
