"t_number","org_code","aliases","full_name","definition","annotation","taxonomy","lineage","data_source","keywords","disease","comment","number_of_nucleotides","number_of_protein_genes","number_of_RNA_genes","created","type","detail","accession","length","accession2","tax_id"
"T00778","ecf","ECO5E, 444450","Escherichia coli O157:H7 EC4115 (EHEC)","Escherichia coli O157:H7 EC4115 (EHEC)","manual","TAX: 444450","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000021125.1)            BioProject: 27739","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Collected at the time of the 2006 spinach outbreak.",5704171,5477,188,2008,"Chromosome","Circular","CP001164",5572075,"CP001164","444450"
"T00778","ecf","ECO5E, 444450","Escherichia coli O157:H7 EC4115 (EHEC)","Escherichia coli O157:H7 EC4115 (EHEC)","manual","TAX: 444450","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000021125.1)            BioProject: 27739","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Collected at the time of the 2006 spinach outbreak.",5704171,5477,188,2008,"Plasmid","pEC4115; Circular","CP001165",37452,"CP001165","444450"
"T00778","ecf","ECO5E, 444450","Escherichia coli O157:H7 EC4115 (EHEC)","Escherichia coli O157:H7 EC4115 (EHEC)","manual","TAX: 444450","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000021125.1)            BioProject: 27739","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Collected at the time of the 2006 spinach outbreak.",5704171,5477,188,2008,"Plasmid","pO157; Circular","CP001163",94644,"CP001163","444450"
"T00949","etw","544404","Escherichia coli O157:H7 TW14359 (EHEC)","Escherichia coli O157:H7 TW14359 (EHEC)","KOALA","TAX: 544404","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000022225.1)            BioProject: 30045","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Clinical isolate obtained from a patient of 2006 spinach-associated outbreak in the USA.",5622737,5373,128,2009,"Chromosome","Circular","CP001368",5528136,"CP001368","544404"
"T00949","etw","544404","Escherichia coli O157:H7 TW14359 (EHEC)","Escherichia coli O157:H7 TW14359 (EHEC)","KOALA","TAX: 544404","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000022225.1)            BioProject: 30045","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Clinical isolate obtained from a patient of 2006 spinach-associated outbreak in the USA.",5622737,5373,128,2009,"Plasmid","pO157; Circular","CP001369",94601,"CP001369","544404"
"T02122","elx","741093","Escherichia coli O157:H7 Xuzhou21 (EHEC)","Escherichia coli O157:H7 Xuzhou21 (EHEC)","KOALA","TAX: 741093","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000262125.1)            BioProject: 45823","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated from an hemolytic uremic syndrome patient from the 1999 Xuzhou outbreak.",5516736,5183,115,2012,"Chromosome","Circular","CP001925",5386223,"CP001925","741093"
"T02122","elx","741093","Escherichia coli O157:H7 Xuzhou21 (EHEC)","Escherichia coli O157:H7 Xuzhou21 (EHEC)","KOALA","TAX: 741093","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000262125.1)            BioProject: 45823","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated from an hemolytic uremic syndrome patient from the 1999 Xuzhou outbreak.",5516736,5183,115,2012,"Plasmid","pO157; Circular","CP001926",92728,"CP001926","741093"
"T02122","elx","741093","Escherichia coli O157:H7 Xuzhou21 (EHEC)","Escherichia coli O157:H7 Xuzhou21 (EHEC)","KOALA","TAX: 741093","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000262125.1)            BioProject: 45823","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated from an hemolytic uremic syndrome patient from the 1999 Xuzhou outbreak.",5516736,5183,115,2012,"Plasmid","pO157_Sal; Circular","CP001927",37785,"CP001927","741093"
"T01098","eoj","573235","Escherichia coli O26:H11 11368 (EHEC)","Escherichia coli O26:H11 11368 (EHEC)","KOALA","TAX: 573235","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000091005.1)            BioProject: 32509","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with diarrhea during a diffuse outbreak.",5855531,5519,194,2009,"Chromosome","Circular","AP010953",5697240,"AP010953","573235"
"T01098","eoj","573235","Escherichia coli O26:H11 11368 (EHEC)","Escherichia coli O26:H11 11368 (EHEC)","KOALA","TAX: 573235","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000091005.1)            BioProject: 32509","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with diarrhea during a diffuse outbreak.",5855531,5519,194,2009,"Plasmid","pO26_1; Circular","AP010954",85167,"AP010954","573235"
"T01098","eoj","573235","Escherichia coli O26:H11 11368 (EHEC)","Escherichia coli O26:H11 11368 (EHEC)","KOALA","TAX: 573235","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000091005.1)            BioProject: 32509","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with diarrhea during a diffuse outbreak.",5855531,5519,194,2009,"Plasmid","pO26_2; Circular","AP010955",63365,"AP010955","573235"
"T01098","eoj","573235","Escherichia coli O26:H11 11368 (EHEC)","Escherichia coli O26:H11 11368 (EHEC)","KOALA","TAX: 573235","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000091005.1)            BioProject: 32509","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with diarrhea during a diffuse outbreak.",5855531,5519,194,2009,"Plasmid","pO26_3; Circular","AP010956",5686,"AP010956","573235"
"T01098","eoj","573235","Escherichia coli O26:H11 11368 (EHEC)","Escherichia coli O26:H11 11368 (EHEC)","KOALA","TAX: 573235","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000091005.1)            BioProject: 32509","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with diarrhea during a diffuse outbreak.",5855531,5519,194,2009,"Plasmid","pO26_4; Circular","AP010957",4073,"AP010957","573235"
"T01097","eoi","585396","Escherichia coli O111:H- 11128 (EHEC)","Escherichia coli O111:H- 11128 (EHEC)","KOALA","TAX: 585396","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010765.1)            BioProject: 32513","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with a sporadic case of diarrhea.",5766081,5407,203,2009,"Chromosome","Circular","AP010960",5371077,"AP010960","585396"
"T01097","eoi","585396","Escherichia coli O111:H- 11128 (EHEC)","Escherichia coli O111:H- 11128 (EHEC)","KOALA","TAX: 585396","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010765.1)            BioProject: 32513","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with a sporadic case of diarrhea.",5766081,5407,203,2009,"Plasmid","pO111_1; Circular","AP010961",204604,"AP010961","585396"
"T01097","eoi","585396","Escherichia coli O111:H- 11128 (EHEC)","Escherichia coli O111:H- 11128 (EHEC)","KOALA","TAX: 585396","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010765.1)            BioProject: 32513","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with a sporadic case of diarrhea.",5766081,5407,203,2009,"Plasmid","pO111_2; Circular","AP010962",97897,"AP010962","585396"
"T01097","eoi","585396","Escherichia coli O111:H- 11128 (EHEC)","Escherichia coli O111:H- 11128 (EHEC)","KOALA","TAX: 585396","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010765.1)            BioProject: 32513","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with a sporadic case of diarrhea.",5766081,5407,203,2009,"Plasmid","pO111_3; Circular","AP010963",77690,"AP010963","585396"
"T01097","eoi","585396","Escherichia coli O111:H- 11128 (EHEC)","Escherichia coli O111:H- 11128 (EHEC)","KOALA","TAX: 585396","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010765.1)            BioProject: 32513","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with a sporadic case of diarrhea.",5766081,5407,203,2009,"Plasmid","pO111_4; Circular","AP010964",8140,"AP010964","585396"
"T01097","eoi","585396","Escherichia coli O111:H- 11128 (EHEC)","Escherichia coli O111:H- 11128 (EHEC)","KOALA","TAX: 585396","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010765.1)            BioProject: 32513","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with a sporadic case of diarrhea.",5766081,5407,203,2009,"Plasmid","pO111_5; Circular","AP010965",6673,"AP010965","585396"
"T01096","eoh","585395","Escherichia coli O103:H2 12009 (EHEC)","Escherichia coli O103:H2 12009 (EHEC)","KOALA","TAX: 585395","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010745.1)            BioProject: 32511","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with a sporadic case of bloody stool.",5524860,5121,191,2009,"Chromosome","Circular","AP010958",5449314,"AP010958","585395"
"T01096","eoh","585395","Escherichia coli O103:H2 12009 (EHEC)","Escherichia coli O103:H2 12009 (EHEC)","KOALA","TAX: 585395","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010745.1)            BioProject: 32511","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated in Japan in 2001 from a patient with a sporadic case of bloody stool.",5524860,5121,191,2009,"Plasmid","pO103; Circular","AP010959",75546,"AP010959","585395"
"T00796","ecg","ECO27, 574521","Escherichia coli O127:H6 E2348/69 (EPEC)","Escherichia coli O127:H6 E2348/69 (EPEC)","manual","TAX: 574521","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000026545.1)            BioProject: 32571","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Isolated in Taunton, United Kingdom, in 1969 during an outbreak of infantile diarrhea.",5069678,4653,191,2008,"Chromosome","Circular","FM180568",4965553,"FM180568","574521"
"T00796","ecg","ECO27, 574521","Escherichia coli O127:H6 E2348/69 (EPEC)","Escherichia coli O127:H6 E2348/69 (EPEC)","manual","TAX: 574521","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000026545.1)            BioProject: 32571","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Isolated in Taunton, United Kingdom, in 1969 during an outbreak of infantile diarrhea.",5069678,4653,191,2008,"Plasmid","pMAR2; Circular","FM180569",97978,"FM180569","574521"
"T00796","ecg","ECO27, 574521","Escherichia coli O127:H6 E2348/69 (EPEC)","Escherichia coli O127:H6 E2348/69 (EPEC)","manual","TAX: 574521","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000026545.1)            BioProject: 32571","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Isolated in Taunton, United Kingdom, in 1969 during an outbreak of infantile diarrhea.",5069678,4653,191,2008,"Plasmid","pE2348-2; Circular","FM180570",6147,"FM180570","574521"
"T01190","eok","701177","Escherichia coli O55:H7 CB9615 (EPEC)","Escherichia coli O55:H7 CB9615 (atypical EPEC)","KOALA","TAX: 701177","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000025165.1)            BioProject: 42729","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Isolated from an infant with diarrhea in Germany in 2003.",5452353,5121,174,2010,"Chromosome","Circular","CP001846",5386352,"CP001846","701177"
"T01190","eok","701177","Escherichia coli O55:H7 CB9615 (EPEC)","Escherichia coli O55:H7 CB9615 (atypical EPEC)","KOALA","TAX: 701177","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000025165.1)            BioProject: 42729","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Isolated from an infant with diarrhea in Germany in 2003.",5452353,5121,174,2010,"Plasmid","pO55; Circular","CP001847",66001,"CP001847","701177"
"T02066","elr","1048689","Escherichia coli O55:H7 RM12579 (EPEC)","Escherichia coli O55:H7 RM12579 (EPEC)","KOALA","TAX: 1048689","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000245515.1)            BioProject: 68245","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Multidrug-resistant.            Isolated in December 1974 from the urine of a child less than 5 years old by the California Department of Public Health.",5448306,5128,127,2012,"Chromosome","Circular","CP003109",5263980,"CP003109","1048689"
"T02066","elr","1048689","Escherichia coli O55:H7 RM12579 (EPEC)","Escherichia coli O55:H7 RM12579 (EPEC)","KOALA","TAX: 1048689","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000245515.1)            BioProject: 68245","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Multidrug-resistant.            Isolated in December 1974 from the urine of a child less than 5 years old by the California Department of Public Health.",5448306,5128,127,2012,"Plasmid","p12579_1; Circular","CP003110",94015,"CP003110","1048689"
"T02066","elr","1048689","Escherichia coli O55:H7 RM12579 (EPEC)","Escherichia coli O55:H7 RM12579 (EPEC)","KOALA","TAX: 1048689","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000245515.1)            BioProject: 68245","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Multidrug-resistant.            Isolated in December 1974 from the urine of a child less than 5 years old by the California Department of Public Health.",5448306,5128,127,2012,"Plasmid","p12579_2; Circular","CP003111",66078,"CP003111","1048689"
"T02066","elr","1048689","Escherichia coli O55:H7 RM12579 (EPEC)","Escherichia coli O55:H7 RM12579 (EPEC)","KOALA","TAX: 1048689","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000245515.1)            BioProject: 68245","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Multidrug-resistant.            Isolated in December 1974 from the urine of a child less than 5 years old by the California Department of Public Health.",5448306,5128,127,2012,"Plasmid","p12579_3; Circular","CP003112",12068,"CP003112","1048689"
"T02066","elr","1048689","Escherichia coli O55:H7 RM12579 (EPEC)","Escherichia coli O55:H7 RM12579 (EPEC)","KOALA","TAX: 1048689","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000245515.1)            BioProject: 68245","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Multidrug-resistant.            Isolated in December 1974 from the urine of a child less than 5 years old by the California Department of Public Health.",5448306,5128,127,2012,"Plasmid","p12579_4; Circular","CP003113",6211,"CP003113","1048689"
"T02066","elr","1048689","Escherichia coli O55:H7 RM12579 (EPEC)","Escherichia coli O55:H7 RM12579 (EPEC)","KOALA","TAX: 1048689","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000245515.1)            BioProject: 68245","Human pathogen","H00278  Enteropathogenic Escherichia coli (EPEC) infection","Multidrug-resistant.            Isolated in December 1974 from the urine of a child less than 5 years old by the California Department of Public Health.",5448306,5128,127,2012,"Plasmid","p12579_5; Circular","CP003114",5954,"CP003114","1048689"
"T00106","ecc","ECOLX, 199310","Escherichia coli O6:K2:H1 CFT073 (UPEC)","Escherichia coli O6:K2:H1 CFT073 (UPEC)","manual","TAX: 199310","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000007445.1)            BioProject: 313","Human pathogen","H00279  Uropathogenic Escherichia coli (UPEC) infection","Isolated from the blood of a woman with acute pyelonephritis at the University of Maryland Hospital.",5231428,5379,116,2002,"Chromosome","Circular","AE014075",5231428,"AE014075","199310"
"T00373","ecp","ECOL5, 362663","Escherichia coli O6:K15:H31 536 (UPEC)","Escherichia coli O6:K15:H31 536 (UPEC)","manual","TAX: 362663","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000013305.1)            BioProject: 16235","Human pathogen","H00279  Uropathogenic Escherichia coli (UPEC) infection","Isolated from a patient with acute pyelonephritis.",4938920,4629,103,2006,"Chromosome","Circular","CP000247",4938920,"CP000247","362663"
"T00338","eci","ECOUT, 364106","Escherichia coli O18:K1:H7 UTI89 (UPEC)","Escherichia coli O18:K1:H7 UTI89 (UPEC)","manual","TAX: 364106","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000013265.1)            BioProject: 16259","Human pathogen","H00279  Uropathogenic Escherichia coli (UPEC) infection","Isolated from a patient with an acute bladder infection.",5179971,5211,110,2006,"Chromosome","Circular","CP000243",5065741,"CP000243","364106"
"T00338","eci","ECOUT, 364106","Escherichia coli O18:K1:H7 UTI89 (UPEC)","Escherichia coli O18:K1:H7 UTI89 (UPEC)","manual","TAX: 364106","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000013265.1)            BioProject: 16259","Human pathogen","H00279  Uropathogenic Escherichia coli (UPEC) infection","Isolated from a patient with an acute bladder infection.",5179971,5211,110,2006,"Plasmid","pUTI89; Circular","CP000244",114230,"CP000244","364106"
"T00425","ecv","ECOK1, 405955","Escherichia coli APEC O1 (APEC)","Escherichia coli APEC O1 (Avian pathogenic Escherichia coli)","manual","TAX: 405955","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000014845.1)            BioProject: 16718","Animal pathogen",NA,"Avian pathogenic Escherichia coli strain isolated from the lung of a chicken clinically diagnosed with colisepticemia.",5497653,4890,93,2006,"Chromosome","Circular","CP000468",5082025,"CP000468","405955"
"T00425","ecv","ECOK1, 405955","Escherichia coli APEC O1 (APEC)","Escherichia coli APEC O1 (Avian pathogenic Escherichia coli)","manual","TAX: 405955","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000014845.1)            BioProject: 16718","Animal pathogen",NA,"Avian pathogenic Escherichia coli strain isolated from the lung of a chicken clinically diagnosed with colisepticemia.",5497653,4890,93,2006,"Plasmid","pAPEC-O1-R; Circular","DQ517526",241387,"DQ517526","405955"
"T00425","ecv","ECOK1, 405955","Escherichia coli APEC O1 (APEC)","Escherichia coli APEC O1 (Avian pathogenic Escherichia coli)","manual","TAX: 405955","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000014845.1)            BioProject: 16718","Animal pathogen",NA,"Avian pathogenic Escherichia coli strain isolated from the lung of a chicken clinically diagnosed with colisepticemia.",5497653,4890,93,2006,"Plasmid","pAPEC-O1-ColBM; Circular","DQ381420",174241,"DQ381420","405955"
"T00591","ecx","ECOHS, 331112","Escherichia coli O9 HS (commensal)","Escherichia coli O9 HS (commensal strain)","manual","TAX: 331112","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000017765.1)            BioProject: 13959",NA,NA,"Isolated from a healthy human with no disease.            Has been shown to colonize the human gastrointestinal tract without any apparent clinical symptoms.",4643538,4384,158,2007,"Chromosome","Circular","CP000802",4643538,"CP000802","331112"
"T00590","ecw","ECO24, 331111","Escherichia coli E24377A (ETEC)","Escherichia coli E24377A (ETEC)","manual","TAX: 331111","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000017745.1)            BioProject: 13960","Human pathogen","H00280  Enterotoxigenic Escherichia coli (ETEC) infection","Verified human pathogen.            Produces labile toxin and stable toxin.            Produces the CS1 and CS3 colonization factor antigens (CFA).",5249288,4997,113,2007,"Chromosome","Circular","CP000800",4979619,"CP000800","331111"
